id,trans
filename,scene_evt141231_cp6_q4_s20
translator,ゼタラガ推し
info,scene_evt141231_cp6_q4_s20
31,好的！
30,总觉得不能输给他们啊！\n咱们也走吧！
29,走吧！
28,风神是你的啊。
27,雷神就交给你了。
26,看起来我们总算被他们当做是敌人了。
25,啊，风神和雷神，看这边了。
24,不知是否是看到这个场景而感觉到了威胁，\n风神和雷神的意识从露莉亚的身上，转移到了两个人那里。
23,呼应两个人的声音，\n枪和镰发出了光辉。
22,大镰格罗诺乌斯！\n啜吸星之兽的鲜血，\n将它的灵魂化为刀刃吧！
21,阿尔贝斯之枪啊！\n吾等即是信条，\n显现吧，然后化为贯穿一切的獠牙吧！
20,啊啊。
19,那，就不用阴险的小人手段了！\n就从正面直接冲过去吧！
18,看来没错啊。
17,呜哦哦哦哦哦哦嗯！
16,嗯，是说那俩家伙，\n脑袋不太好使来着是吧。
15,哈、哈哈哈……\n终于，终于与神话只有咫尺的距离了……！
14,随着露莉亚解放的力量变强，\n风神和雷神\n也随之发出了比那还要巨大的吼叫声……
13,呜哦哦哦哦哦哦嗯！
12,我们走吧，姬塔！
11,已经，没事了。\n因为姬塔在我身边\n所以我不会害怕。
10,风神和雷神盯上了露莉亚，\n而露莉亚，\n只是静静的看了回去。
9,咕嘎嘎嘎嘎……\n寻找的功夫……\n也省下了……
8,嗅、嗅\n这个，香气……
4,啊哈哈……他们两人，\n说不定实际上关系很好呢。
3,喂你！   刚才不是从你那边\n向我搭话的吗！
2,毕竟和嘴上不留情的家伙搭档\n是真的挺难办的啊。
1,嘛，各种事情。\n只是回想起了，\n为什么要战斗的理由而已。
0,呐呐，你们两个人说什么话呐？
0-chapter_name,第六话  窥视神话的人们
