id,trans
filename,scene_evt200729_cp4_q1_s10
info,scene_evt200729_cp4_q1_s10
107,是、是这样啊……
106,……就是发生了这么一件事呢。
101,<span class='scene-font-katari'>梅格边哭边收下了票，</span><br><span class='scene-font-katari'>老婆婆直到最后都误会了她眼泪的含义。</span>
100,哎呀哎呀，别哭啊。<br>是因为听我讲了难过的事吗？<br>小姑娘你真温柔呢……
99,呜……呜呜……<br>好的……<br>我、我我，我会去的～……
98,所以也连带我的份去享受吧？<br>我想把这票让给救命恩人的你。<br>……好吗？
97,…………
96,但是已经没关系了。<br>重要的不是<span class='scene-font-place'>奥古斯提</span>，<br>而是和那个人的回忆啊。
95,但是一直忙于工作，<br>几年前丈夫还先走了……<br>就一直都没有去那个地方呢……
94,<span class='scene-font-place'>奥古斯提</span>啊……<br>是我年轻的时候，<br>和丈夫约好要两个人一起去的地方。
93,该说是顾虑呢还是……<br>我光是听到<span class='scene-font-place'>奥古斯提</span>就眼前一黑呢……
92,拜托了，收下吧？<br>不用顾虑那么多哦。
91,不，但是，<span class='scene-font-place'>奥古斯提</span>对我来说……
90,但是得了这病就不能去了……<br>果然还是老老实实和儿孙们一起度过吧。
89,这个夏天，<br>本来是想作为享受退休后生活一个人去的。
88,…………
87,这是去<span class='scene-font-place'>奥古斯提</span>的旅游券。<br>是包含了往返交通和住宿的套票哦。
86,那个，这个是……？
85,<span class='scene-font-katari'>梅格本以为老婆婆拿出的是钱，</span><br><span class='scene-font-katari'>但仔细一看是张小纸片。</span>
84,来，给你这个。
83,这不算什么大事！<br>我只是做了理所应当的事……<br>我不能收下回——
82,<span class='scene-font-katari'>老婆婆这么说着，</span><br><span class='scene-font-katari'>在怀里翻了一下，</span><br><span class='scene-font-katari'>像是在找什么东西。</span>
81,啊，等等，等等！<br>至少让我给你回礼吧。
80,不，我只是习惯突发事件了而已……<br>那我就先告辞了。
79,小姑娘你很厉害呢……<br>真的很感谢你。
78,医生也说了哟。<br>幸好你立刻决定带我来诊所……
77,不，没那回事……<br>您能没事就再好不过了。
76,但是喝了药就稳定下来了。<br>我舒服了很多哟。<br>全都多亏了小姑娘你……
75,谢谢你啊，小姑娘……<br>听医生说好像有点危险呢……
70,<span class='scene-font-katari'>梅格背着老婆婆，</span><br><span class='scene-font-katari'>尽可能平稳地走到了诊所那里。</span>
69,没问题的！<br>来快点……到我背上来！
68,诶诶？但是……
67,糟了……！<br>那个，我背老婆婆你去医生那里吧！
65,呜……！
64,啊、啊啊，我没事哟……<br>谢谢你啊，小姑娘……
63,那、那个，老婆婆？<br>你没事吧……！？
61,<span class='scene-font-katari'>那样的她突然看到路边倒着一个人影。</span>
60,<span class='scene-font-katari'>虽然临近假期，</span><br><span class='scene-font-katari'>但梅格的内心却毫无波动，</span><br><span class='scene-font-katari'>那天也保持着平静的心态。</span>
59,今年原本想在家乡静静度过……<br>想着就这么办吧……<br>我更适合那样的假期……
53,哈啊……是什么事呢……？
52,我没打算来的。<br>但是发生了一些事……
51,我深知每年您那些不幸的事故……<br>那个……<br>该如何向您谢罪才好呢……
45,<span class='scene-font-katari'>这是因为成长后的理所当然的证明呢，</span><br><span class='scene-font-katari'>还是因为经历了太多灾难了呢，</span><br><span class='scene-font-katari'>她的神色有了一些变化。</span>
39,<span class='scene-font-katari'>管理员战战兢兢地向刚在柜台办理完入住手续的梅格搭话。</span>
38,哈哈……
37,今、今年……<br>也来光顾了呢……<br>梅格大人……
36,…………
31,<span class='scene-font-gray'>我是，绝对，绝对，绝～对</span><br>不会再来<span class='scene-font-place'>奥古斯提</span><span class='scene-font-gray'>啦~！　啦～……啦～……</span>
30,<span class='scene-font-gray'>为什么我的度假总是变成这个样子呢？</span>
27,<span class='scene-font-gray'>真是吓了梅格一大跳☆</span><br><span class='scene-font-gray'>而且又是那个骑空团的人，更加吓一跳！！</span>
26,<span class='scene-font-gray'>刚这么想着，看到的却是白色的兜裆布！！</span>
25,<span class='scene-font-gray'>睁开眼后，在我眼前的是白马王子殿下吗！？</span>
18,<span class='scene-font-gray'>在水中仰望着气泡，</span><br><span class='scene-font-gray'>渐渐沉没的我……哎呀呀？</span><br><span class='scene-font-gray'>回过神来已经在沙滩上了！</span>
11,<span class='scene-font-gray'>结果没事才怪！</span><br><span class='scene-font-gray'>游泳中和鱼先生来了个大碰撞☆</span>
9,<span class='scene-font-gray'>应该不会再发生第三次了吧♪</span><br><span class='scene-font-gray'>这么想着，满脑子都是满脑子都是</span><span class='scene-font-place'>奥古斯提</span><span class='scene-font-gray'>的我</span><br><span class='scene-font-gray'>又来到了这片沙滩。</span>
8,<span class='scene-font-gray'>回顾上一回的我！</span>
0-synopsis,发誓再也不来<span class='scene-font-place'>奥古斯提</span>后过去了一年，梅格出现在了当地的酒店。吃惊的管理员询问她原因。梅格说在度假期前几天，在家乡的路上遇到了身体不适的老婆婆，背她去了诊所。作为回礼拿到了前往<span class='scene-font-place'>奥古斯提</span>的票。无法拒绝老婆婆的好意，梅格只能哭哭唧唧地接受了。
0-chapter_name,第4话 偷猎者・梅格
