id,trans
filename,scene_evt190927_cp5_q2_s20
info,scene_evt190927_cp5_q2_s20
39,我也会援助大家的！
38,虽然不知道情况<br>但现在只能上了！
37-sel1_txt,<span class='scene-font-katari'>没问题！</span>
37,嗯……让我们<br>把齐格飞阻止下来吧！
36,这里就由我们作为他的对手。<br>兰斯洛特、姬塔！<br>准备好了吗！
34,是……是！
33,呜……<br>你们快退后些！
32,兰斯洛特，<br>齐格飞失去了理智。
31,<span class='scene-font-katari'>齐格飞的瞳孔中，</span><br><span class='scene-font-katari'>散发着诡异的光。</span>
30,咕……咕啊啊啊……
29,齐格飞！<br>是我！兰斯洛特！
28,呜呜……啊啊啊啊……
27,谢谢你……姬塔。
26,得，得救了……
25,<span class='scene-font-katari'>千钧一发之际，</span><br><span class='scene-font-katari'>姬塔挡下了齐格飞</span><br><span class='scene-font-katari'>砍向团员的刀。</span>
24,呜啊……！
14-sel1_txt,<span class='scene-font-katari'>危险！</span>
14,<span class='scene-font-katari'>齐格飞以人类所不及的速度</span><br><span class='scene-font-katari'>朝着白龙骑士团团员们</span><br><span class='scene-font-katari'>飞快的冲了过来。</span>
13,噫……
10,<span class='scene-font-4'>呜……</span><br><span class='scene-font-4'>呜啊啊啊啊啊啊！</span>
7,但是……总觉得样子很奇怪……
6,什么……齐格飞这家伙<br>真就凭自己本事逃了出来吗？
5,齐格飞……？
4,等下……那是……
3,…………
1,<span class='scene-font-katari'>兰斯洛特等人朝着龙脉</span><br><span class='scene-font-katari'>在国境附近跋涉的途中，</span><br><span class='scene-font-katari'>前方忽然隐约有人影在靠近。</span>
0-synopsis,率领着白龙骑士团团员，一行人朝着国境附近的龙脉地前进着。途中却遇到了模样怪异的齐格飞。齐格飞不时地发出猛兽般的低吼朝着姬塔等人袭击过来，就连兰斯洛特大声的劝止也无济于事。于是姬塔和兰斯洛特、帕西瓦尔、露利亚为阻止齐格飞展开了战斗。
0-chapter_name,第5话 绝望
