id,trans
filename,scene_evt160930_1_cp3_q4_s10
info,scene_evt160930_1_cp3_q4_s10
49,哼哼哼……凯普莱特……我可绝不会让你得逞的。
48,神王军亲卫队长离开后，王座之间顿时鸦雀无声。
46,是……请稍等。
45,嗯……做得很好。\n在那之前还有一件事……叫那些家伙过来。
44,……剩下的只差您的一句话，随时都可以召集起来。
43,是！已经通知蒙太古领的诸侯们了。
42,事已至此……\n那个准备好了嘛？
41,有何吩咐。
40,目睹一行人离去的神王蒙太古叫来了神王军亲卫队长。
39,好的! 谢谢你。
38,啊啊……你们也可以在这城堡里自由行动一段时间。
37,我们也追上去吧！再见了，蒙太古的大叔！
36,蒙太古大人，我也失陪了。……喂，罗密欧！等一下！
35,哎呀……这真是说的有点过火了啊。
34,说完之后，罗密欧便离开了。
33,……失陪了。
32,朱丽叶要和帕里斯的结婚……
31,明天要和有影响力的贵族帕里斯公爵举行婚礼，看来是一点胜算都没有啊……
30,居然是朱丽叶……
29,说来奇妙，\n对方竟然是凯普莱特的朱丽叶公主……
28,父王……请别这样。
27,说起来……我还听说你在话剧艇上带走了一个女人……\n怎么，被甩了吗？
26,吼……罗密欧有风流事还真是稀奇。
25,请不要责骂他太严厉。
24,嘛嘛……\n罗密欧也因为失恋，非常失落……
23,对不起，父亲大人。
22,呼呼呼……谢谢。今后也要和儿子们好好相处……
21,所以请别怪罗密欧他们！
20,诶！不会不会！罗密欧也救了我们！\n对吧，姬塔？
19,大概是被这些家伙牵扯进来了吧……\n我也再次向他们道谢。
18,搞什么……\n原来你已经全知道了。
17,……唔! ？
16,其实吧……\n神王的士兵们昨晚在广场上目击了你们乘坐的骑空艇……
15,过了一会儿，蒙太古开始对着他们开始说话。
14,哎、哎呀，我们也学到东西了！\n对吧，姬塔！
13,……是吗
12,昨天也是，我们整晚都在讨论蒙太古和他们祖国的未来！
11,是的！虽然还年轻，但他们都非常热衷于学习……
10,吼……这些孩子啊？
9,然后，这些人是来学习“墙洞”的建造方法而过来学习旅行的。
8,是，初次见面……我叫露莉亚。
7,姬塔一行在神王蒙太古面前深深地鞠了一躬。
6,事情是这样的……昨天晚上……\n我遇到了这些骑空士。
5,父亲……\n那是因为……
4,马奎西奥和罗密欧……\n你们之前都去干什么了？
3,同样
2,蒙太古大人！\n在下是神王军队指挥官马库西奥。现已归来！
1,马奎西奥特地嘱咐她们要和昨晚的对好的口供保持一致。
0,第二天。抱着灰暗的心情，\n一行人返回蒙太古的居城。
0-synopsis,罗密欧的父亲——神王蒙太古从马奎西奥的话中得知朱丽叶与盟国公爵帕里斯的婚礼在后天举行。神王秘密地想了一个阻碍凯普莱特的计划。
0-chapter_name,第3话 动摇的心
