id,trans
filename,scene_evt181130_cp5_q3_s10
info,scene_evt181130_cp5_q3_s10
29,（但是……卡拉库拉奇尔……你……现在，到底在哪里？）
28,没错，你们说的对，在找到卡拉库拉奇尔之前说放弃还太早了。
27,姬塔……
26,姬塔也是这么想的吧！
25,然后，把【何物的碎片】从卡拉库拉奇尔先生体内抽取出来……那样的话……
24,可能还来得及！赶紧找到卡拉库拉奇尔先生，把他带回到这里吧！
23,碧……
22,现在……现在还不是摆出放弃表情的时候啊！你们也太过悲观了吧。
21,你们也没有卡拉库拉奇尔确实已经被妖刀侵蚀的证据不是吗？
20,等，等等啊！老爷爷和斗笠小哥也是！
19,（两个人！两个人……就像是我亲自杀了他们一样……）
18,（没能保护库拉芭拉，还因为受伤昏迷让卡拉库拉奇尔也离开了……）
17,（我是个……我是……！）
16,……！
15,从那件事情之后已经过去了很久，很遗憾……恐怕……
14,被封印的妖刀，只要保持着可以使用的状态，就算是携带着而不使用，也会慢慢侵蚀携带者。
13,也是一样的。我不知道那孩子自从离家后，让妖刀出鞘了多少次。
12,卡拉库拉奇尔先生……卡拉库拉奇尔也……
11,那个……那个，那么……
10,是这样吗……
9,……是的。
8,所以说，克洛威尔先生，就会一直这样……
7,但是因为受到妖刀影响而变化的部分不能恢复原状。
6,很遗憾并不会这样，移除碎片之后，妖刀的力量的确不会再影响他。
5,如果将碎片提取出来，是不是他就能变回原来的克洛威尔先生了？
4,那么……那个，现在的克洛威尔先生连话语都很难表述……
3,嗯，这和消除妖刀对他的影响是同义的。
2,被妖刀加强的力量就会恢复原样了，是这样吧？
1,那个……长老先生，如果从克洛威尔先生那里抽取出【何物的碎片】……
0-synopsis,长老告诉众人，即使【何物的碎片】被移除，被妖刀影响的人也没办法完全恢复正常。萨比尔巴拉因此十分担心拿着妖刀的卡拉库拉奇尔，懊悔万分。露莉亚，阿碧和姬塔的鼓励让萨比尔巴拉恢复力量，决心寻找卡拉库拉奇尔。
0-chapter_name,传达不到的哀痛
