id,trans
filename,scene_ult_chr126_q4_10_s10
info,scene_ult_chr126_q4_10_s10
23,不必动嘴<br>用刀说话！！
22,因此发问<br>于汝，何为最强。<br>何为力量！
15,断天裂星之<span class='scene-font-spword'>天星器</span>……<br>被称为刀神者……<br>若能超越，汝便是最强。
14,不过，说到底<span class='scene-font-spword'>天星器</span>的力量<br>汝到底能否驾驭。
13,汝作为<span class='scene-font-spword'>天星器</span>之主<br>早已毋庸置疑。
12,…………来啦。
8,<span class='scene-font-katari'>姬塔在</span><br><span class='scene-font-katari'>露莉亚和碧的陪同下</span><br><span class='scene-font-katari'>前往了奥克托所指定的地方。</span>
7,咱也要去！<br>作为你的搭档 一定要去！
6,我会好好看着你们的！<br>请带我一起去吧。
5,说真的 我不希望<br>姬塔和爷爷打……<br>但是，你们都下定决心了。
4,……我明白了<br>我也要去。
3,姬塔……<br>你果然是 要去吗……？
2,决斗书！？<br>还是用刀的爷爷送来的！？<br>又要搞什么啊……
1,<span class='scene-font-katari'>姬塔收到了</span><br><span class='scene-font-katari'>来自奥克托的一封书信。</span>
0,<span class='scene-font-katari'>奥克托与诸位十天众的对决</span><br><span class='scene-font-katari'>结束后的某一天。</span>
0-synopsis,奥克托与诸位十天众对决之后的一天，姬塔收到了来自奥克托的决斗书。决意要与奥克托对决的姬塔，在露莉亚和碧的陪同下来到了决斗的地点。认同姬塔作为天星器主人的奥克托，要求姬塔用刀来回答「何为最强」，并拔刀出鞘。
0-chapter_name,大千世界
