id,trans
filename,scene_evt250928_cp1_q1_s10
translator,煌月夜
info,scene_evt250928_cp1_q1_s10
164,一骑传令快马自战场后方疾驰而至。
163,<span class='scene-font-4'>传令 ——！</span>\n 我有急报禀告帕西瓦尔大人！！
160,阿尔巴诺姆军被逐步逼退。然而，就在此时——
159,帕西瓦尔率领的威尔兹军意气风发地驰骋在战场上。
158,跟上，别落后！！
157,哦哦哦！帕西瓦尔大人！！
156,阻挡前路的敌人，都将在这场劫火中焚烧殆尽！<span class='scene-font-4'>所有人，跟我来！！</span>
155,帕西瓦尔更加地用力握住手中剑，火焰也随之愈发耀眼。
150,（越是使用就越是称心应手，也能感到它的力量在不断增强。像是火焰在沸腾……）
144,这柄特制的剑能够强化你的火焰。如果控制不当反而会灼伤自身，但对你来说应该不成问题。
132,光球降临在帕西瓦尔面前之后如泡沫般迸裂，其中赫然现出一把烈焰般的深红之剑。
123,凯茜帕鲁格沉下身，头顶上出现了一颗眩目的光球。
116,嗯，你能够驾驭火焰。收下这个吧。
109,（从凯茜帕鲁格那里获得的这把剑……）
108,展现一骑当千之勇的帕西瓦尔，于激战间隙瞥向自己手中的剑。
102,呵啊啊！！
96,哼……哈啊！！
91,哦哦哦 ——！！
90,好！一鼓作气推进战线！
89,（虽然目前还不见外形上的异常，但还是不能掉以轻心啊）
88,（确实……他们几乎没有表现出对疼痛或恐惧的畏缩，行动整齐划一得令人毛骨悚然）
85,（虽然一时难以置信……）
82,从而导致失控暴走吗……
81,但相应地，好像也会变得不稳定。
80,拉莫拉克先生推测，这或许是为了让人体实现飞跃性的强化。
79,不像烈人那样只有一个种族的因素，而是多种因素混合在一起……
78,阿尔巴诺姆的士兵给人一种非常诡异……令人不适的感觉。
75,（据说是被强行将多个因子结合在一起改造而成的，状态不稳定的强化人类……）
74,（根据费德拉赫的情报，阿尔巴诺姆的士兵们……）
73,威尔兹士兵们因将领的英姿而士气大振，帕西瓦尔则在其中毫不松懈地观察敌阵。
69,我们也跟上！
68,不愧是帕西瓦尔大人！
67,哦哦！在帕西瓦尔大人的火焰面前，阿尔巴诺姆的战线完全崩溃了！
66,享誉炎帝之名的帕西瓦尔。
63,呜哇！？
59,哈啊啊啊啊！！
58,因此，物资和人员都是身为大国的阿尔巴诺姆占据优势。然而，威尔兹拥有——
57,威尔兹的军事力量处于非常高的水准，但领土不算辽阔。
56,是！
55,之后一齐总攻的计划不变。我会从右翼发出指示。别错过时机。
54,明白了。那里由我亲自支援。
53,帕西瓦尔大人！右翼的攻击异常猛烈……据报脱离战线的人数正在增加！
52,<span class='scene-font-4'>切忌慌张！</span>\n负伤者优先撤退！
51,也因此，国境最前线的指挥也由帕西瓦尔负责。
48,是的，当然。
47,我认为统治东部地区有助于你寻找通往理想的道路。你愿意接受吗？
46,若你的理想至今没有改变，想要创造一个弱者也能安居乐业、没有纷争的国家……
43,根据威尔兹领主阿古罗瓦尔的命令，由帕西瓦尔负责统治。
42,与阿尔巴诺姆接壤的威尔兹东部……
41,是！
40,传令给右翼。随着军旗的信号，全军一齐前进！
39,跟上帕西瓦尔大人！
38,让他们见识一下威尔兹的力量！
37,呜哦哦哦！
36,与阿尔巴诺姆的交界处附近，帕西瓦尔在激战的最前线率领士兵作战。
35,不要退缩！反击！！
29,费德拉赫举国动荡之际，威尔兹也正处于考验之中 ——
23,以及以 “尤文” 之名登上王位的莫德雷德——
22,以阿尔巴诺姆为后盾宣布建国的新生海伯格莱夫。
17,随着战争的持续，国内局势也变得不稳定，人们的不满和不安正在蔓延。
16,与堪称诡谲的阿尔巴诺姆士兵展开了激烈的战斗。
15,费德拉赫方面，白龙骑士团副团长维恩被任命为国境战场的指挥官……
11,疑云重重的大国阿尔巴诺姆突然向费德拉赫和威尔兹宣战。
10,以及，揭露了费德拉赫罪恶历史的烈人骚动，其后不久……
8,被誉为传说的魔术师梅林，他所统领的神秘组织「结社」的暗中活动。随后是对达尔摩发动的袭击。
0-synopsis,回到祖国威尔兹的珀西瓦尔奉兄长阿古罗瓦尔之命开始统治东部地区。而现在，神秘大国阿尔巴诺鲁姆向费德拉赫和威尔兹宣战。珀西瓦尔站在与阿尔巴诺鲁姆交界的最前线，率领军队作战。目睹珀西瓦尔一骑当千的英姿，威尔兹士气高涨，与阿尔巴诺鲁姆旗鼓相当渐显优势。就在这时，传令的快马冲进了战场。
0-chapter_name,第1话 战报
