id,trans
filename,scene_chr361_q1_s10
info,scene_chr361_q1_s10
17,大家！<br>不要大意了！<br>我也会加油的！
15,……呃！？　<br>小心！<br>有魔物的气息……
13,没事的。迷路的孩子也好，萝莎莉亚小姐也好，大家一起找一定能找到的。
12,嘛……我们是觉得亚里莎你觉得可以就行了。
11,再说，如果是萝莎莉亚的话，我想她一定也会去帮助他们的！
10,……但是，也不能放着有困扰的人不管呢！
9,……啊，啊哈哈。是呢。<br>明明必须先找萝莎丽亚的，<br>这个，是绕了路呢……
8,不是，那个……<br>没有一件是和萝莎丽亚有关系的委托的样子，<br>真的可以吗？
7,嗯？<br>真的好吗是指什么？
6,但是啊，亚里莎。<br>那么简单的就接下了委托真的好吗？
5,只要是森林里的事情交给我就行了！<br>迷路的孩子也会找到的哦！
4,诶嘿嘿！<br>因为我从生下来就一直呆在森林了！
3,呜哇！今天的亚里莎小姐，<br>总觉得干劲十足呢！
2,呐，姬塔！<br>来这里呀这里！
1,<span class='scene-font-katari'>一行人在途中某个村子停下的时候接受了村民寻找迷路儿童的委托，现在正向一座森林里行进。</span>
0,<span class='scene-font-katari'>姬塔一行人追寻着有次元洞出现并且有异世界魔物的传言而向各地移动。</span>
0-synopsis,黄昏一行は、次元の穴から現れた異世界の魔物の噂を追う途中、立ち寄った村で迷子の捜索依頼を受ける。アリサの目的であるロザリア捜索とは無関係に思える依頼だったが、アリサは困っている人は放っておけないといい、「ロザリアだったらきっと、助けようとすると思うんだ！」と張り切るのだった。姬塔一行人追寻着从次元洞出现的异世界魔物的传言而向各地移动。他们在途中某个村子停下的时候接受了村民寻找迷路儿童的委托。虽然是和亚里莎寻找萝莎莉亚的目的无关的委托，但是亚里莎觉得不能放着有困扰的人不管，「如果是萝莎莉亚的话，我想她一定也会去帮助他们的！」亚里莎这么说到。
0-chapter_name,思念朋友的少女
