id,trans
filename,scene_evt150710_cp1_q1_s20
translator,翻译：shala9999
info,scene_evt150710_cp1_q1_s20
85,嘛，他们那么容易懂，我倒是不讨厌。就稍微闹一下吧！姬塔！
84,血气方刚的家伙真是到处都有啊。
83,已经不是闲聊的时候了！那群家伙剑都拔了！
82,虽然很想辩解一下冤枉，这情况怎么办啊？
81,最近岛上的猫陆陆续续不见了，是你们干的吧！觉悟吧！
80,喂喂，这岛怎么回事啊？
79,你这家伙！！说话不说清楚，居然把小可爱说成胖猫，不能忍！
78,不，我在找的是有点胖的猫……
77,喂，是你吧？在找小可爱的可疑人物……
76,<span class='scene-font-katari'>然后跟尤利一起逛了一下分布在岛上的几个猫的聚集处……</span>
75,<span class='scene-font-katari'>一行人将迷路的猫交给榭洛卡尔提照顾，与尤利一起走出万事屋。</span>
74,我叫尤利，尤利·罗威尔，所属温德尔王国的骑士。请多指教。
73,这样好吗？那就接受你的好意了
72,<span class='scene-font-katari'>姬塔点头同意欧根的话。</span>
71,也不是不认识的人，这里就给她个面子吧。
70,呐，姬塔……这是那个万事屋介绍来的啊？
69,不，我们的事的话，反而想务必让我们帮忙呢。
68,不用勉强的，你们也有你们自己的事吧。
67,那么，很荣幸地接受你的好意。
66-sel2_txt,<span class='scene-font-katari'>怎么办呢……</span>
66-sel1_txt,<span class='scene-font-katari'>当然。</span>
66,事情是很让人高兴，不过真的好吗？我这边可付不出多少钱啊？
65,被这么说了，我们怎么可能拒绝啊！
64,真是的……好狡猾的介绍方式啊……对吧？
63,只要是委托，从找猫到魔物退治，什么都接……是吧~？
62,是的！姬塔他们是很优秀的骑空团啊~
61,……你在说这群人吗……？
60,找路路的事，试试让姬塔他们帮忙？
59,啊，我想起来了~！尤利先生，要不要这么做~？
58,啊，不好意思……搞错猫了。我在找的猫更加胖一点……
57,到底怎么回事啊……莫非这只猫是小哥你的猫？
56,不过……就算有这种的也不奇怪……
55,什、什么啊！？喂、喂，不要拉我啊……
54,哦？你是什么？你会说人话？
53,嗯？小哥你在找猫吗？
52,……不是啊。有点像，不过路路更加圆一点……
51,嗯？你们抱着的猫……
50,喵！
49,啊，不好意思……打扰你们谈话了……
48,哎呀？是各位啊~！有什么事吗~？
47,每个人笑点都不一样啦，别人不懂的。
46,喂，露莉亚……刚刚那个很有趣吗……？
45,噗噗！
44,…………
43,鲁~璐璐璐璐~♪这种……唔噗噗噗噗！
42,我想想啊……这样叫路路的话，他会不会出来啊~
41,有没有在哪里听说有谁看到过路路这样的猫？
40,是啊。你在这附近交际很广泛吧？
39,嗯嗯嗯……这个路路迷路了啊~
38,所以说它是名字叫“路路”的，大概这么大的猫……
37,<span class='scene-font-katari'>在那里看到先到的客人在跟榭洛卡尔提谈话。</span>
36,<span class='scene-font-katari'>姬塔一行人到达了猫聚集的岛，马尔科岛。为了寻找带路人，众人前往万事屋。</span>
30,就当去散散心，绕个弯路去那边看看吧。你看呢，姬塔！
29,哈哈！不管怎么说，我们是不可能养它的。
28,喂喂……露莉亚这家伙，好像两眼发光非常兴奋啊？
27,哇……！我想去猫猫们的岛！
26,把它带到那里去的话，饲主那边也迟早会去那边找的吧。
25,是啊，居民们把迷路的猫、被丢弃的猫聚集起来照顾它们。
24,猫的岛……吗？
23,不过，听说法塔格兰迪有为了这种猫而存在的猫岛。
22,猫啊，真的就是随心所欲的物种啊……
21,唔……非常麻烦的迷路呢……
20,期间我们去了很多岛……这家伙是从哪座岛上乘上格兰赛法的？
19,但、但是啊……咯吱咯吱的声音几天前就开始有了啊。
18,得赶快把它还给饲主啊……
17,喵？
16,如果是谁家的猫的话，一定有人在找它吧……
15,也就是，是谁家养的？更加麻烦了啊……
14,嗯？但是这家伙带着颈圈啊？
13,喂喂……难道是没注意的时候野猫乘上船了吗……？
12,喵！？咦……猫、猫！？
11,喵！
10,嗯……那个听上去像是猫磨爪子的声音啊……
9,就像那种……在挠什么的，咯吱咯吱的声响……
8,咦？那个不也是机关室的声音吗？
7,咯吱咯吱……？喂，你在说什么？
6,每天晚上都是咯吱咯吱咯吱咯吱的……实在是烦得不得了啊！
5,真是的……这下总算能好好睡觉了……
4,哇！谢谢你！欧根先生！
3,我已经好好地全部修理了一番，这下应该有一段时间没问题了。
2,呼……大概因为保养有点不到位，所以发出了奇怪的声音了吧。
1,<span class='scene-font-katari'>欧根手上拿着工具从机关室走了出来，随后重重地叹了口气。</span>
0,<span class='scene-font-katari'>姬塔一行人乘坐骑空艇格兰赛法在无尽的青空下前进。</span>
0-synopsis,某日，为了将混上船的猫交人保管，一行人前往有很多猫聚集的岛——马尔科岛。为了找人带路，众人前往万事屋，在那里遇见了正在寻找一只名叫“路路”的猫的青年尤利。在榭洛卡尔提的提议下众人决定帮助尤利找猫，然而跟尤利一起前往猫的聚集处的时候被流氓缠上，被误会成了猫从岛上消失的事件的犯人。
0-chapter_name,尤利篇 围绕着猫的旅途
