id,trans
filename,scene_evt161031_cp2_q4_s10
info,scene_evt161031_cp2_q4_s10
32,<span class='scene-font-katari'>艾琳和其他克里斯塔利亚族人一边祈祷她们小小的希望能够平安无事，一边为一行人的出发做准备。</span>
31,<span class='scene-font-katari'>于是，莉莉将作为特使与姬塔一行共同前往斯瓦尔居住的狼炎府。</span>
30,……好的！<br>莉莉会的！
29,但是，莉莉，答应我。<br>你要作为克里斯塔利亚的特使……<br>平安地归来。
28,我去说服斯涅格拉琪卡大人。<br>她一定会理解的。
27,咦？<br>可、可是艾琳？
26,……我明白了。
25,姐姐大人……
24,我不懂复杂的事，但是莉莉是我们的同伴。
23,真的……？<br>可是，为什么你们愿意……
22,嗯。你也看到咱们的实力了吧？<br>不管是斯瓦尔还是别的什么，咱们都会保护好莉莉的！
21,咦……？<br>你们也？
20,没、没事的！<br>停战谈判，我们也一起去！
19,莉莉……
18,啊呜……<br>怎么会这样……
17,就算派正式的特使去，也不一定能平安归来……
16,不知道……<br>可是，斯瓦尔的住处「狼炎府」……<br>我反对你去那里。
15,不是的！<br>他们也许肯定会答应的。<br>你说呢，艾琳？
14,很遗憾……已经没用了……<br>人类和斯瓦尔都不会答应的。
13,会谈！<br>莉莉的使命还没有结束。
12,拜托？<br>你要说服他们停战？<br>可是那么做……
11,莉莉决定了。<br>我要去斯瓦尔住的地方。<br>拜托他们先不要发动战争！
10,莉莉……<br>就算你这么说……
9,等一下！<br>艾琳，还有别的方法！
8,啊，那个是……
7,咦……？<br>冰晶绝界？
6,也许……只有使用冰晶绝界了……
5,是啊。<br>已经可以确定斯瓦尔打算发动战争了吧……
4,但是，大家都很不安……
3,嗯，没事。<br>刚才的军兽与其说发动了侵略行动，更像是不小心迷路到这里来的。
2,没什么！<br>冰晶宫的大家没事吧？
1,你们好强啊……<br>谢谢，多亏有你们在。
0,<span class='scene-font-katari'>姬塔一行击退了军兽。但军兽来袭再次证明战争一触即发，克里斯塔利亚族的人们慌乱起来 。</span>
0-synopsis,军兽来袭表明战争已一触即发，共存会谈已不可能举行。但莉莉提出要亲自前往斯瓦尔的住处『狼炎府』与他们直接谈判停战与共存会谈的事情。姬塔一行也表示赞同，并提出与莉莉同行。
0-chapter_name,第2话 冰之心脏
