id,trans
filename,主线剧情-第4章第3节第1幕
translator,煌月夜 2018/4/4
info,scene_cp4_q3_s10
24,绝不退缩！碍事的家伙，我一个一个射杀！
23,我不管有什么内情。我已经决定了……要守护这座岛屿……守护这里的居民！！
22,说那么多很烦人啊，你这家伙。
20,<span class='scene-font-4'>唔呜！？</span>
18,如果你们还要阻止提亚玛特的话……
17,差不多吧。我也得乘着我的战舰逃了……
16,然后……帝国趁机……
15,没有人付出任何代价，一直都是提亚玛特自己承担……很久以前就已经处于危险的状态了。
14,但是啊……那又不是无偿的给予。
13,群岛上的人啊，一直以来都享受着风的恩惠。
12,提亚玛特啊，本来就快崩溃了。
11,这是什么意思……你想说什么！？
10,这个嘛……没错啊。可是，我只不过是扣下扳机的人。子弹在早就在里面了。
9,自作自受！？不是你们害得提亚玛特暴走的吗！？
8,哼……我话说在前头，这是你们自作自受。
7,当然了……我们不可能放任这种情况进行下去。
6,我做什么都行吧……比起这个，难道你们还想抵抗？
5,你是帝国的……！？你这家伙，在这里做什么！？
4,哎呀呀～？什么啊，你们是来阻止提亚玛特的？
3,嗯……可是这里，除了格兰赛法，什么都没……
2,<span class='scene-font-katari'>众人依靠露莉亚的能力寻找提亚玛特，来到了骑空艇格兰赛法所镇守的草原。</span>
1,这里是……喂喂，真的假的？
0,——这里、提亚玛特的气息在这里是最强的……
0-synopsis,<span>姬塔</span>等人来到提亚玛特的气息最为强烈的地方，但并没有找到狂风的大星晶兽。等待众人的是弗里亚斯，而他道出了提亚玛特暴走的原因。
0-chapter_name,第4章  决战 狂风守护神
