id,trans
filename,角色剧情-圣德芬-跨越两千年的思念-幕1
info,scene_chr446_q1_s10
43,就这样，团长一行人强行拉着圣德芬去街上的市场了。
42,嘛嘛，别这样说嘛。一起去买东西吧！
40,所以快放开！不要拽着我的手！
39,够了！咖啡豆的事就原谅你们了！
38,因为你不在的话，就不知道该买哪种咖啡豆了吧？
36,怎……怎么会变成这样！
35,好！那么圣德芬也一起来吧！
34,不……所以说我没关系……
33,我们做了很抱歉的事情，这是为了表达诚意！
32,团长！不是这样的！
31,那么，我要走了。
30,嘛嘛，虽然这样说过。但这样一看我们也在反省吧？
29,喂，特别之人。我说过没必要了吧。
28-sel2_txt,嗯……
28-sel1_txt,明白！
28,团长，碧。为了道歉还是替圣德芬先生去买咖啡豆吧！
27,呜哇——完全没有这回事……
26,嘛，我虽然也不认为这艘船上有会偷别人东西的人。
25,（居然意外地懂事呢！）
24,哦……真的很抱歉。
23,没有这个必要。是我不应该放在公用的地方。
22,为了道歉，团长说要去买咖啡豆。
21,对不起！是我们错了。
20,对，对不起！
19,荒谬。
18,一行人对圣德芬的咖啡豆感到十分地抱歉。
17,是，是我们借走了。
16,诶？啊……正好用完了啊……
15,嗯？特别之人，我放这的咖啡豆呢？
14,啊……那家伙什么时候……
13,圣德芬从架子上拿出了浓缩咖啡器作泡咖啡的准备。
12,不劳你们费心了。
11,但是圣德芬露出了从容的笑容。
10,团长也提议，如果一起泡咖啡的话也能省了圣德芬自己的工夫。
9,也对你没什么害处啦，就教我们一下行吗？
8,啊哈哈……虽然也是这样啦……
7,为什么我一定要教你们泡咖啡啊？
6,团长也向圣德芬请求。
5,诶……我们在想能不能请教圣德芬先生如何才能泡好美味的咖啡。
4,……嗯？有什么事情吗？
3,哦！说曹操曹操到，圣德芬你来的正好呢！
2, 有一天，团长一行人正在厨房泡咖啡时，圣德芬出现了。
0-synopsis,当被问及如何制造优质的咖啡时，圣德芬不理会骑空团的大家，并且和大家保持距离。但是因为大家用完了他的咖啡豆，最后他只好陪大家一起去买。
0-chapter_name,跨越两千年的思念
