id,trans
filename,主线剧情-第39章第4节第3幕
info,scene_cp39_q4_s30
11,<span class='scene-font-katari'>此时，姬塔一行还无从得知等待黑骑士的结局。</span>
10,<span class='scene-font-katari'>斟着昏暗野心的眼神低垂，黑骑士只是静静地说道。</span>
9,就算敌对，也要堂堂正正，正面对决。
8,但我也想，和你们几个坦诚相见……
7,不过……我是有不可退让的目的……
6,哼……为什么呢。说实话，我也不是很懂。
5,但是你却……
4,你也可以在夺回欧尔姬丝之后出其不意地攻击我们。
3,黑骑士为什么……要告诉我们一切呢？
2,真让人吃惊……我还以为你已经彻底厌恶我，不想再和我说话了……
1,呐，黑骑士……
0,<span class='scene-font-katari'>众人击退来袭的戈仑，终于有小憩的机会。此时露莉亚开口道。</span>
0-synopsis,即便得知了黑骑士的真正目的，露莉亚依旧渴望了解她。露莉亚问道，为何黑骑士不在夺回欧尔姬丝后出其不意。黑骑士虽然有些迟疑，但还是回答道她想与姬塔等人坦诚相见。守护的事物不同，以致于总有交战的一天，但或许黑骑士也的确被姬塔等人所吸引。
0-chapter_name,第39章  黑色真意
