id,trans
filename,主线剧情第102章第2节第1幕
info,scene_cp102_q2_s10
132,就这样，一行人登上了骑空艇。<br>踏上了前往雷姆王国，<br>夺回芙莉亚的道路。
131,出发前，姬塔一行人<br>给拉卡姆、欧根、伊欧和萝赛塔寄了书信，<br>上面写着目前所发生的状况。
126,现在的该隐，<br>无法对蕾欧娜做出回答。
125,…………
124,所以请千万……不要乱来。
123,该隐。<br>我……真的很珍视你。
122,对着该隐的背影，<br>蕾欧娜叫喊出声：
121,说完，该隐和姬塔一行<br>一起向港口走去。
120,那么……我们走了。<br>如果再磨磨蹭蹭的话，<br>可能就赶不上了。
119,我知道了……
118,面对蕾欧娜明确表示出的诀别之意，<br>该隐无可奈何地咬着嘴唇，<br>回答道：
117,所以不管有什么理由，<br>我都不能原谅陛下。
116,我被夺走了……<br>那种理所当然的幸福。
115,我啊，该隐……<br>我真希望亚伯还活着。<br>我只是希望他还活着……而已。
114,就像是在强忍着泪水一般，<br>蕾欧娜用力地握紧了拳头。
113,而现在，我却<br>永远无法见到他的微笑，<br>也无法和他吵架了……
112,但不管是哪种情况，<br>亚伯都一定还活着……
111,不，也许事情会反过来。<br>我们会吵架，然后冷落彼此，<br>就这么分开了也说不定。
110,我和亚伯之间，<br>也许已经有了孩子。
109,如果，<br>特里德王国没有崩溃的话，<br>又会怎么样呢……
108,我……我不能和你们一起去。<br>对我来说，我失去的东西太重要了。
107,蕾欧姐……你怎么办？
106,听到星晶兽白泽的回答，<br>该隐微微点了点头，<br>然后转向蕾欧娜。
105,国内的事，<br>将由我和其他的将校们一起处理。
104,吾王……就拜托你们了。
103,是的。<br>现在我们没法启动格兰赛法。
102,谢谢。<br>说起来，拉卡姆先生<br>应该还在修行之中吧。
101,我去帮你们准备船只吧。<br>这也是对目前的我来说，<br>唯一能够帮上的忙了。
100,作为服从于王者的星晶兽。<br>我必须以自己的意志<br>尊重王的选择。
99,但是，现在的我<br>却不能立于该隐大人左右。
98,呃……
97,不可妄借死者之名说话。<br>只有在慰藉无法痊愈的伤痛之时，<br>这种行为才能体现其正当。
96,唔！？
95,——到此为止。
93,她已经认罪了。<br>那么亚伯也一定……
92,陛下想以她的方式来赎罪……
91,蕾欧姐……
90,该隐……！<br>为什么……？
89,……走吧。<br>我觉得这件事还另有蹊跷。
88,那么……你打算怎么办？
87,听了莱茵哈萨的话后，<br>姬塔用力地点了点头。
86,而且，<br>如果他们现在要对那家伙做什么，<br>我只会觉得是在杀人灭口。
85,我跟你们一起去。<br>我还有事要问那个家伙。
84,看着士气高涨的姬塔等人，<br>莱茵哈萨也加入了其中。
83,是啊！<br>一直没人提这茬儿，<br>俺一直急得要命呢！
82-sel1_txt,我们去救她
82,不论过去发生了什么，<br>我都不认为小芙莉亚是坏人。
81,我很担心小芙莉亚……
80,我们该怎么办？姬塔。
79,从这之后事情就没有任何进展了。<br>虽然到处都在吵吵闹闹发生着骚乱，<br>但谁也没有动作。
78,原来如此……<br>陛下选择了这种赎罪方式。
75,听到蕾欧娜的提问后，<br>该隐向她解释了伊德尔瓦王国的现状。
74,所以呢，现在是什么情况？<br>陛下呢……？
73,我想以我的方式……<br>做出了断。
72,面对该隐的问题，<br>蕾欧娜虽然有些犹豫，<br>但还是说出了口。
71,你怎么搞得这么狼狈……<br>你到底去哪干什么了？
66,蕾欧姐！？<br>那应该是我这边的台词才对吧！
65,该隐……！<br>太好了，你没事啊……
64,一行人朝着呼喊声传来的方向看去，<br>只见站在那里的是遍体鳞伤的蕾欧娜。
63,该隐！！
62,而且，我们到现在也还没有查清<br>那个终结的开端——“天罚”的事情……
61,只要操纵吉尔伯特，<br>让他收回前言即可。
60,但是，如果她有这种力量的话，<br>会在这时候老老实实地认罪吗？
59,是的。如果一切都是那家伙干的，<br>她就应该拥有操纵别人的能力。
58,这确实……不太可能。
57,但只是这样的话还不够。<br>导致国家崩溃的原因有那么多，<br>难道全都出自她的手笔吗？
56,这两件事与国家的混乱和崩溃密切相关，<br>这是毋庸置疑的。
55,确实在那个时期，<br>重要人物接连不断地死去，<br>破坏也到处都在发生着。
54,……！
53,对我来说，<br>这才是特里德王国崩溃的真相。<br>所以我才想不通啊。
52,那个人当着我的面告诉我说，<br>军部在以国家和人民为食。
51,我可是亲耳听到了啊？<br>特里德王国军的干部之中，<br>流传着这样的消息。
50,莱茵哈萨思考了一会儿后，<br>继续说了下去。
49,是的。<br>在我看来，特里德王国崩溃的原因，<br>在于内部的腐烂。
48,我以前说过吧。<br>特里德王国是从内部开始腐烂的。
47-sel2_txt,确实很奇怪
47-sel1_txt,有什么在意的事吗？
47,但是事情没有这么简单……<br>只是这样的话，就太奇怪了。
46,不。这是事实。<br>毕竟她自己都在这么多人面前承认了。
45,难道说小芙莉亚<br>果然不是坏人……！
44,想不通的事情……
43,想不通的事情还有很多很多。<br>不能因为这种事情就失去干劲啊。
42,莱茵哈萨看起来……<br>比我想象的还要平静啊。
41,但是，莱茵哈萨<br>却冷静地看着这样的该隐。
40,该隐毫无干劲地耸拉着脑袋。
39,现在，我的脑子里全是这样的想法……
38,如果，<br>特里德王国没有毁灭，<br>现在还是那么和平的话……
37,现在，我们应该做些什么呢……<br>就算我想静下来思考，<br>过去的事情总会出来妨碍我。
36,老实说，<br>我的脑子里也一片空白……
35,但是听说这位陛下，<br>居然是导致特里德王国覆灭的主谋……
34,伊德尔瓦，<br>本就是靠着陛下的存在撑起来的。
33,……真是一团糟。
26,如果陛下真的是罪人，<br>那么就应该去把她找回来，<br>然后在伊德尔瓦对她进行审判不是吗！
25,你是认真的吗！？<br>不管理由如何，<br>雷姆王国可是劫走了我们的国王啊！
24,现在最重要的是国家的运转……<br>选出下一任国王！
23,已经走掉的人<br>怎样都无所谓！
22,不知道……但是，不管是什么，<br>都不能成为发动战争的理由吧。
21,为什么陛下要摧毁和平的特里德王国，<br>来创造伊德尔瓦呢……？
16,因亡国而生活在这个国家的人民，<br>就像是在抒发怒火一般<br>握紧了拳头。
15,如果想要和平的生活，<br>那么一直待在特里德王国不就好了。<br>可是那家伙却……！
14,这个国家之所以会建立起来，<br>不就是因为那家伙<br>破坏了我们原来的家园吗！？
13,把这样的罪人称为国王，<br>你就不觉得丢脸吗！？
12,他们带走了我们的国王！<br>难道我们就这么坐视不理吗！
11,我们必须马上进攻雷姆，<br>把陛下救回来！
6,可是在那之后，<br>伊德尔瓦王国的国民并非团结一心，<br>而是分成了两派。
1,以拉上全面战争的帷幕为交换，<br>芙莉亚将自己的性命<br>交给了吉尔伯特。
0-synopsis,伊德尔瓦王国和雷姆王国的战争结束后，听到了芙莉亚罪行的伊德尔瓦王国那边陷入了严重混乱。但是莱茵哈萨说这件事还有一些想不透的地方，于是姬塔一行人决定夺回芙莉亚。之后，蕾欧娜表示自己无论如何也无法原谅芙莉亚，留在了伊德尔瓦王国。于是姬塔等人和莱茵哈萨以及该隐一起开始向雷姆王国进发。
0-chapter_name,第102章 决心之始
