id,trans
filename,scene_evt180831_cp4_q3_s10
info,scene_evt180831_cp4_q3_s10
184,<span class='scene-font-katari'>被看到打人现场的翼、</span><br><span class='scene-font-katari'>被马纳利亚教联</span><br><span class='scene-font-katari'>带走问话了。</span>
183,<span class='scene-font-katari'>就这样──</span>
182,<span class='scene-font-4'>嘻哈哈哈哈！</span>
181,<span class='scene-font-4'>混蛋！</span>
180," 那個……<br>現在、翼他<br>正想要打我……"
179,<span class='scene-font-kokoro'>（真的假的……！）</span>
178," …………"
177,<span class='scene-font-katari'>翼举着拳头回头看、</span><br><span class='scene-font-katari'>那里站着的、</span><br><span class='scene-font-katari'>是马纳利亚教联的女性。</span>
176,<span class='scene-font-katari'>以为一个人都没有的中庭里</span><br><span class='scene-font-katari'>传来一声悲鸣。</span>
175," ──！？"
174,<span class='scene-font-4'>呀啊啊啊啊啊！</span>
173," …………！"
172,<span class='scene-font-4'>啊啊啊啊啊！</span>
171," 我真的、<br>快氣到爆炸了！！"
170," 你也是個……了不起的人渣啊……<br>你這個連老鼠身上掉下來的渣渣<br>都不如的人渣！！"
169,那又怎样？
168," 也就是說……他是知道惡魔動力爐<br>有多危險、<br>還要繼續用的吧？"
167," 叮咚叮咚！<br>正確！　嘻哈哈哈哈！！"
166," 感謝你爽快地把所有事都告訴我<br>讓我不用煩了……<br>你們父子都一樣是瘋的嗎？"
165," 就是這樣了……<br>他就像是害蟲一樣的東西。<br>什麼時候殺掉他好了……"
164," 那個不祥的技術現在還存在。<br>很可惜、违背约定了。<br>怎样、是不是气到爆炸啊？"
163," 就像你看到的那樣……<br>我們的惡魔動力爐<br>就是從臭老爸那裡拿來的！"
162," 嘻哈哈哈！　沒想到吧！<br>沒錯、我就那個臭老爸的……<br>完全不會為之而驕傲的兒子啊！"
161,那么……你是……
160," ……這樣啊、<br>看來你什麼也沒聽說啊。<br>从那个臭老爸那……"
159," …………"
158," 你不是<br>去了雙翼騎空商会嗎"
157," 啊？"
156," 哎呀哎呀、<br>看来你的实力……<br>也没什么大不了的呢。"
155," 你那些伤……<br>看来被打得后惨呢。"
154," 哦、也就是说、<br>你就是那个翔呢……<br>我很想见你啊。"
153," Come back is king…<br>你有收到我的讯息吧？"
152,你是谁……？
151," 只靠气息就能察觉到……<br>你真是像只野兽啊。"
150,<span class='scene-font-katari'>然后走出来的、</span><br><span class='scene-font-katari'>是一个学生──</span>
148,<span class='scene-font-katari'>听见翼的叫喊之后、</span><br><span class='scene-font-katari'>从走廊里传出来</span><br><span class='scene-font-katari'>慢悠悠的拍手声。</span>
146," <span class='scene-font-4'>是谁！？</span><br>别藏了快出来！"
145,<span class='scene-font-kokoro'>（……哼、</span><br><span class='scene-font-kokoro'>周围都是让人讨厌的气氛呢……）</span>
144,<span class='scene-font-katari'>因为一到中午、</span><br><span class='scene-font-katari'>就会充满学生的中庭</span><br><span class='scene-font-katari'>现在却十分安静。</span>
143,<span class='scene-font-katari'>翼会觉得违和</span><br><span class='scene-font-katari'>是有原因的。</span>
142," …………"
141,<span class='scene-font-kokoro'>（……怎么了？</span><br><span class='scene-font-kokoro'>为什么会这样安静的……）</span>
139,<span class='scene-font-katari'>心烦意乱的翼、</span><br><span class='scene-font-katari'>为了转变心情</span><br><span class='scene-font-katari'>去学校上学了但是──</span>
132,<span class='scene-font-katari'>还没有找到他们之间的关系性、</span><br><span class='scene-font-katari'>线索就都断了。</span>
131,<span class='scene-font-katari'>不过、“宿命夜想曲”</span>と<br><span class='scene-font-katari'>恶魔动力炉──</span>
125,<span class='scene-font-katari'>双翼骑空商会现在也还是</span><br><span class='scene-font-katari'>有使用恶魔动力炉、</span><br><span class='scene-font-katari'>看过老大的言行就能确定了。</span>
119,<span class='scene-font-katari'>比起保镖的痛打、</span><br><span class='scene-font-katari'>祖母的心意被践踏、</span><br><span class='scene-font-katari'>更让翼的心觉得疼痛。</span>
118,<span class='scene-font-kokoro'>（还要践踏</span><br><span class='scene-font-kokoro'>婆婆的心意吗！）</span>
117,<span class='scene-font-kokoro'>（……杀了我的父母</span><br><span class='scene-font-kokoro'>还不满足吗？）</span>
116,<span class='scene-font-4'>可恶、可恶啊啊啊啊啊！</span>
109,<span class='scene-font-katari'>翼虽然想抗议不过、</span><br><span class='scene-font-katari'>保镖抓住他的衣领、</span><br><span class='scene-font-katari'>丢到外面去了。</span>
104," 呃、嗚嗚……<br>話還……沒有說完……啊！"
96,<span class='scene-font-4'>别吵了、混蛋！</span>
95," 慢着！　我話還沒有說完！"
94," 好了、請你離開吧。"
93," 你、果然──"
92," 風評被害真是煩死人了……<br>嘻！　哈哈哈哈哈……！"
91," 對了、惡魔動力爐的事。<br>你别对全空捜査局说哦？"
90," 什麼……你這貨……？<br>根子到底爛到什麼樣的啊……"
89," 如果你要被赶出<br>这个已经住惯了的岛的话……<br>你的婆婆应该会很伤心的吧。"
88," 退学？　怎可能……<br>你不會覺得那樣就會放過你了吧？<br>嗯！？"
87," 哼……随便你。<br>退学也好什么也好。"
86," 你打了马纳利亚教聯裡<br>最高位的我……<br>用你那沒用的腦子想想這是什麼意思吧？"
85," 哼哼哼……<br>看来你……还没有理解<br>事情的严重性呢。"
84," …………"
83,<span class='scene-font-katari'>商会老大说完以后、</span><br><span class='scene-font-katari'>从房间里面出来了</span><br><span class='scene-font-katari'>一个戴黒眼镜的严厉男人。</span>
79," 喂！　呆着干嗎！<br>快來、快點過來！"
78," 又會有很多<br>犠牲者出現的啊！"
77," 惡魔動力爐<br>爆炸的話……"
76," 你……就因為你、<br>讓多少人受苦了……<br>看來、你是完全不知道呢！"
