id,trans
filename,scene_ult_chr132_q3_s20
info,scene_ult_chr132_q3_s20
21,呜咕……<br>咕啊啊啊啊啊啊啊啊啊！！
18,诶！？
17,<span class='scene-font-gray'>…………中计了呢！</span>
15,那么就让我做个纪念性质的剑拓吧……
14,<span class='scene-font-katari'>希耶提一脸无奈，对</span><span class='scene-font-spword'>七星剑</span><span class='scene-font-katari'>伸出了手。</span>
13,不过……<br>你也是一个人很寂寞吗？
12,什么啊这把剑。<br>超麻烦的啊……真是的
10,真是的……不要一看时机不好就立刻闭口不言啊
9,<span class='scene-font-gray'>…………</span>
7,这个强硬的孩子怎么回事啊！<br>我刚刚在说什么你有听吗！？
6,<span class='scene-font-gray'>快……拿起我……</span><br><span class='scene-font-gray'>你就选择我吧！</span>
4,哎呀哎呀～<br>无言地决定可是不行的哟
3,<span class='scene-font-gray'>…………</span>
1,喂喂……<br>突然要做什么啊。<br>吓了我一跳啊？
0-synopsis,面对着取胜的希耶提，七星剑满足地强迫他选择自己，然而希耶提拒绝成为七星剑的持有者。但是七星剑也不肯退让。希耶提怀着慈爱之心认为七星剑只是一个人感觉寂寞了，毫不在意地碰触了七星剑。希耶提完全地陷入七星剑的圈套，被它趁机夺去了心智。
0-chapter_name,七星剣との邂逅
