id,trans
filename,scene_evt180831_cp6_q4_s20
info,scene_evt180831_cp6_q4_s20
196,<span class='scene-font-katari'>姬塔他们、</span><br><span class='scene-font-katari'>为了破坏恶魔动力炉、</span><br><span class='scene-font-katari'>冲到战斗的中心去了。</span>
195," 翼！　打架等會再說！<br>和在爆炸之前<br>破壞掉恶魔动力炉！"
192," 那麼……"
190-sel1_txt,<span class='scene-font-katari'>这已经、不是打架了！</span>
190,<span class='scene-font-katari'>那个已经不能算是单车了。</span><br><span class='scene-font-katari'>它就像只饥饿的野兽一样、</span><br><span class='scene-font-katari'>为了把翼吃得一干二净而来的。</span>
187,<span class='scene-font-4'>翼！　去死吧吧吧吧吧！</span>
186,<span class='scene-font-4'>来吧！</span><br><span class='scene-font-4'>翔！</span>
181," ……我只能上了……"
180," 那傢伙……瘋了嗎……"
179," <span class='scene-font-4'>嘻哈哈哈哈哈！！</span><br>翼～～……"
178," 混蛋！<br>想強行讓它暴走嗎！？<br>怎可以這樣做……"
177," 翔那混蛋……<br>他把恶魔动力炉的<br>轉速推到極限了！"
176,<span class='scene-font-katari'>就像是回应翔那粗暴的说话一样</span><br><span class='scene-font-katari'>恶魔动力炉发出了声响、</span><br><span class='scene-font-katari'>和妖娆的光线。</span>
164,<span class='scene-font-4'>全速前进！！</span>
163,我是……<br><span class='scene-font-4'>King啊！！</span>
162," 掌控戰爭的人是我……"
158,<span class='scene-font-katari'>翔坐上了自己的单车、</span><br><span class='scene-font-katari'>就像疯了一样</span><br><span class='scene-font-katari'>飞快地踩单车的脚踏。</span>
156," 他到哪去了、啊啊！"
155,<span class='scene-font-4'>翼！</span><br><span class='scene-font-4'>翔他跑了！</span>
153," 啧……"
148,<span class='scene-font-katari'>然后胜负就这样</span><br><span class='scene-font-katari'>分出了不过──</span>
147,<span class='scene-font-katari'>终于──</span><br><span class='scene-font-katari'>“烈弩宇威愚” 开始、</span><br><span class='scene-font-katari'>压过“宿命夜想曲” 了。</span>
146,<span class='scene-font-katari'>这场战争、赢的不是力量强大的人。</span><br><span class='scene-font-katari'>而是拥有强大意志的人。</span><br><span class='scene-font-katari'>就是这样的战争了。</span>
144," 不會、不會吧……"
135," 去死吧！"
134,<span class='scene-font-katari'>为了立在顶点、</span><br><span class='scene-font-katari'>为了保护朋友。</span>
132," 嘻啊啊啊啊……"
128,<span class='scene-font-4'>别看不起人了！</span>
127,<span class='scene-font-4'>呜啊啊啊啊啊！</span>
126,<span class='scene-font-katari'>为了让心情振奋。</span><br><span class='scene-font-katari'>为了驱散优郁愤。</span>
124," 咕啊 ……"
121,吃吃我的头槌！<br><span class='scene-font-4'>接招！</span>
120,<span class='scene-font-katari'>每个人理由都不一样。</span>
118," 咕……"
115,<span class='scene-font-4'>呃啊啊啊啊啊啊！</span>
113,<span class='scene-font-katari'>带上自己的所有、</span><br><span class='scene-font-katari'>互相碰撞。</span>
111,<span class='scene-font-4'>哦啦！</span><br><span class='scene-font-4'>直到最后</span><br><span class='scene-font-4'>都要坚持自己！！</span>
110," ……哼、哈哈！<br>老師怎能去認同打架的啊？<br>不過啊、真的幫大忙了……！"
109,<span class='scene-font-katari'>听到艾尔蒙德的决心、</span><br><span class='scene-font-katari'>翼终于大声叫出来了。</span>
108," 這是有限青春……<br>盡情地謳歌去吧……！"
107," 就這樣就能讓他們消氣、<br>我看不到有什麼<br>要去阻止的理由……"
106," 不会让人死掉。<br>也不会让他们用刀。"
105," 事情都这样了。<br>还去阻止他们、<br>也只会留下隔膜。"
104,不上不下的处理、<br>根本什么都没法解决。
103," 但我只是個半吊子。<br>也就不是个天生老师、<br>也很明白他们的心情。"
102," 如果你是個正常的老師、<br>不管有什麼理由<br>你都應該阻止他們啊……"
101," 姬塔、艾爾蒙德！<br>你們不阻止他們嗎！？"
100," …………"
98,<span class='scene-font-katari'>远处的艾尔蒙德、</span><br><span class='scene-font-katari'>看他们看入迷了。</span>
97,<span class='scene-font-katari'>挥洒注青、</span><br><span class='scene-font-katari'>不是用言语、而是用拳头来交流。</span>
96,<span class='scene-font-katari'>就这样、</span><br><span class='scene-font-katari'>暴走族的战争、</span><br><span class='scene-font-katari'>变得更激烈了──</span>
95,<span class='scene-font-4'>哦哦哦哦！！</span>
94," 控制戰場的、<br>是我們“宿命夜想曲”！"
93,<span class='scene-font-4'>呜哦哦哦哦哦！！</span>
92," 哼……<br>很好、你們！<br>去把“宿命夜想曲” 打倒！"
91,<span class='scene-font-4'>不、这是我们的架！</span>
90,<span class='scene-font-4'>这场架……是我的！</span>
89," 啊啊……<br>……老師你們別出手！"
88," 來吧、來分勝負吧？<br>這裡就是我們的終點了……"
87," 翼……<br>我差不多玩厌了"
86," 哼……"
85," 呵啊……<br>嘛、這也沒辦法……<br>你不是為了保護朋友嗎？"
84," ……那是……"
83," 不過啊……要怎辦啊？<br>你又要我幫你<br>向马纳利亚教聯的人低頭嗎？"
82," 感謝感激……！"
81," 謝謝你、<br>姬塔……"
80," 姬塔、抱歉……<br>給你添麻煩了……"
79,<span class='scene-font-katari'>在拿刀的男人后面、姬塔出现了</span><br><span class='scene-font-katari'>姬塔把绑着</span><br><span class='scene-font-katari'>碧他们的绳子解开。</span>
78," 你们会去的地方、<br>我大概都知道。"
77," 為什麼會知道這裡……"
76," 打架时用刀子、<br>我觉得挺不合适的。"
75," 什麼！？"
73," ──啊啊……"
68," 嗯啊啊！　知道了、老大！"
67," 喂、警告一下他們！<br>把那邊蜥蜴他們殺了！"
66,<span class='scene-font-katari'>翔把翼的身体撞飞、</span><br><span class='scene-font-katari'>转向伙伴们的方向、</span><br><span class='scene-font-katari'>笑了一笑。</span>
65," 啊？<br>你們在演什麼青春劇啊、啊啊！<br>一個接一接的湧出來！"
64," 笨蛋。<br>你们都来救我了？<br>为什么、要道歉啊……"
63," 翼……<br>我們、之前都害怕了──"
62," 你們……<br>哈、哈哈……<br>來得太遲了啊……"
61," 嘖……"
60," “宿命夜想曲”……<br>別讓翼一個人<br>出醜了！"
59," …………"
58," 啊、啊啊……<br>他們終於來了……"
57," 啊、哈哈……<br>……終於……"
56,<span class='scene-font-katari'>很多的引擎声</span><br><span class='scene-font-katari'>就像交响乐一样传过来了。</span>
55,<span class='scene-font-katari'>翔挥下拳头的</span><br><span class='scene-font-katari'>那刹那──</span>
51," …………！"
50,<span class='scene-font-4'>……Forever！！</span>
49,<span class='scene-font-katari'>然后、握紧指虎、</span><br><span class='scene-font-katari'>用力的一拳──</span>
48,<span class='scene-font-katari'>翔一边笑着</span><br><span class='scene-font-katari'>一边走向翼、</span><br><span class='scene-font-katari'>然后抓住他的衣领。</span>
46," 別心急……<br>很快就會結束了的！"
45," 還沒……<br>你們來啊……"
41,<span class='scene-font-katari'>但是、寡不敌众。</span><br><span class='scene-font-katari'>而且翼还累了、</span><br><span class='scene-font-katari'>最后、站稳就已经是他的全力了。</span>
40,<span class='scene-font-katari'>紧握的拳头</span><br><span class='scene-font-katari'>就像是他最强的武器。</span>
39,<span class='scene-font-katari'>翼用浑身是伤的身体、</span><br><span class='scene-font-katari'>面对“宿命夜想曲” 的</span><br><span class='scene-font-katari'>攻势。</span>
38,<span class='scene-font-4'>啊啊啊啊啊……！</span>
37," 嘿嘿……沒用的……<br>哈哈、哈哈……"
36,<span class='scene-font-4'>翼！</span>
35," 呃……"
27,<span class='scene-font-4'>看招！</span>
24,<span class='scene-font-4'>咕啊！</span>
19,<span class='scene-font-4'>呃啊！</span>
15," 你這種<br>軟弱貨色的拳頭怎能傷到我！"
3," 看招！<br>混蛋們！！"
1,<span class='scene-font-katari'>翼一个人就、把打过来的“宿命夜想曲”</span><br><span class='scene-font-katari'>踢飞。</span>
