id,trans
filename,scene_evt250226_cp9_q2_s10
translator,psyche
info,scene_evt250226_cp9_q2_s10
287,那本体究竟在哪里……？
286,不，别处没有什么变化……\n大家正打算来这里，\n辛迪在努力破解符节……
285,难道本体去了别的层级……？
284,这、这家伙也是分身吗？
283,是幻象！？
278,……咦？
277,娑婆诃……！！
276,阿特曼的长剑\n贯穿了娑婆诃的腹部。
275,永别了！
274,阿特曼！！
271,谢谢你，姬塔！\n但最后一击要由我来！\n就此道别吧，娑婆诃！
270,阿特曼迅速起身，追上姬塔，\n一跃而起，从高处俯视娑婆诃。
269,娑婆诃！
268,哇啊！
263,……──！
260,然而——
259,娑婆诃在一瞬间拉近了距离，\n一脚踢向了阿特曼的腹部，\n将他狠狠地踹飞了。
253,呃！？
252,哈！
251,糟了……
250,我感受到了桑卡拉的愿望……！
249,（变得更强吧……\n娑婆诃！\n你一定能变得比任何人都强！）
248,真烦人啊……！
247,对不起！\n我不能放手！
246,……放开我！
245,安琪拉抓住了想要飞奔而去的\n桑卡拉的手臂，将她拉了回来。
244,啊，不行！\n冲过去很危险的！
243,娑婆诃！
242,也就是说，这家伙果然是本体！
241,从阿妮拉姐姐那边接到了讯息！\n其他层级的娑婆诃似乎全都消失了！
240,一派胡言！
239,你简直就像人类一样。\n然而，真是可悲，你是星晶兽。\n你身上潜藏着巨大的危险。
238,我从你的愤怒中，\n看到了星晶兽本身的进化。\n它美得让人心醉……
237,胡说八道！\n就算你是星晶兽的创造者，\n我也绝不饶恕！
236,这真的是母亲的愿望吗？\n人类是会改变心意的生物。\n母亲临终前的真的还想这样吗？
235,<span class='scene-font-4'>阿特曼！</span>\n这样桑卡拉的愿望\n就无法实现了！
234,我要维持达摩内的和平！\n所以我要阻止你的阴谋，\n将你摧毁！
233,哼！
229,喝！
223,（这能安慰到她吗……）
222,呜呜……
221,只是，怎么说呢……\n存在感有点强！
220,是很好闻的味道呢。
219,不难闻啊。
218,对了……\n我想问问大家，\n我真的很难闻吗？
217,<span class='scene-font-2'>呜呜……</span>\n希望这次不是肌肉训练……
216,加油，小辛妲拉！
215,好了，我们去下一个层级吧！\n去小玛琪拉或者小夏托拉她们那边！
214,是基底啊……\n我终于明白他为何要特意\n给桑卡拉的后代披上幻象了。
213,要长久维持，\n好像需要什么……\n鸡底？
212,用烦恼制造的幻象即便拥有实体，\n也因为制造仓促而极其脆弱！
211,大家，阿特曼先生传话来了！
210,这也是幻象呢……
209,消失了！？
202,虽然辛妲拉的攻击被躲开，\n但茵妲拉等人的攻势\n依旧迅猛……
201,（有点想吃桃子了呢）
200,（蜜桃的香味真是甜美）
199,（其实我们也有同样的想法……\n不过没敢说……）
198,（抱歉，辛妲拉……）
197,你居然敢戳人痛处！！
196,你这家伙，味道真大……\n散发着这种气味，\n怎么可能偷袭成功？
195,被预判了吗！？
194,正与茵妲拉等人交战的娑婆诃，\n轻巧地避开了辛妲拉的飞踢。
193,哼！
192,偷袭！
191,就这样阿妮拉她们也加入战局，\n众人协力对抗娑婆诃。
190,别在意小辛妲拉……
189,你、你们那边也经历了激战吧……\n还好吗？
188,咳……咳……咳……咳……\n久等了，我……咳……
187,久等了，玛蔻拉！茵妲拉！
186,嗯！
185,欢迎加入我们。
184,哼……麻烦……
183,哦，阿妮拉，是你们啊！
180,好，进去吧！
179,好耶！
178,<span class='scene-font-4'>中了！</span>\n是玛蔻拉姐姐她们所在的层级！
