id,en,jp,trans
0-chapter_name,,第2話 ある帝国兵の葛藤, 第2话  某个帝国士兵的纠葛
0-synopsis,,ユーリは、ファラの剣の腕が上達している事に驚きつつ、ファラの説得を続ける。しかし、彼女の意思は揺るがなかった。敬愛するカタリナと行動を共にする事、カタリナのような騎士を目指す事が、今のファラにとって最も大切な事なのだという。, 尤利他、对法拉进步神速的剑技感到惊讶之后、继续对法拉进行说服。不过、她的意思一点动摇的迹象也没有。和尊敬的卡塔莉娜一起行动共事、以成为和卡塔莉娜一样的骑士为目标、这就是法拉她现在最重要的事情了。<br>翻译报错到NGA@mirror0420
0,,片付いたか……, 全都收拾好了……
1,,ユーリ！　後ろっす！, 尤利！　你背后！
3,,グォォォン……, 嘎噢噢噢噢……
5,,戦闘が終わっても<br>気を抜いちゃ駄目っすよ！, 就算战斗已经结束<br>也不能放松警戒哦！
6,,ははっ！<br>それ、カタリナの受け売りじゃねえか！, 哈哈！<br>这话、是从卡塔莉娜那现学现卖的吧！
7,,ふふふ！<br>自分も先輩に一歩近づいたって事っす！, 哼哼哼！<br>这证明了我又朝前辈靠近了一步啊！
8,,今じゃユーリにも負けてないっすよ！, 现在我已经不会输给尤利了哦！
9,,……言ったな？<br>次は譲らんぞ！, ……真敢说呢？<br>下次我不会让你的哦！
10,,望むところっす！, 求之不得的说！
15,,カタリナ殿の事はわかった。<br>それで、お前はどうなんだ？, 卡塔莉娜殿下的事我已经明白了。<br>然后、你又是怎样想的？
16,,あの頃はエルステのために<br>戦うって言ってたじゃないか。, 那个时候你不也说过<br>要为埃尔斯特帝国而战吗。
17,,……そうっすね。<br>確かにそうだったっす。あの頃は。, ……是呢。<br>我的确是这样想的。在那时候。
18,,エルステの正義は、<br>お前にとっての正義じゃなかったのか？, 埃尔斯特帝国的正义、<br>和你认为的正义不一样吗？
19,,正義……自分にはわからないっす。<br>ただ、帝国を抜けて後悔はしてないっす。, 正义……我也搞不清楚什么是正义。<br>不过、脱离帝国这个决定我完全没有后悔过。
20,,カタリナ先輩、か？, 因为卡塔莉娜前辈、吗？
21,,そうっす。<br>旅先で誰か困ってた時……<br>先輩は真っ先に手を貸してあげるっす。, 是的。<br>旅程途中有谁遇到麻烦的时候……<br>前辈总是第一时间伸出援手。
22,,「放っておけない」って<br>言って剣を振るう先輩が、<br>もうすっごく格好いいっすよ！, 「不能放着不管」<br>一边说一边挥剑的前辈、<br>真的是非常帅气！
23,,自分、先輩みたいな騎士になりたいっす。<br>だから……先輩みたいに、<br>色んな人を助けながら旅をしたいっす。, 我、想要成为前辈那样的骑士。<br>所以……我想和前辈一样、<br>一边帮忙各种有需要的人一边旅行。
24,,そうか……, 这样啊……
25,,二人とも、おしゃべりはそこまでだ。<br>どうやらこの先にも<br>魔物がいるようだ。, 你们两个、闲聊就到此为止了。<br>看起来<br>前面又出现魔物了。
26,,<span class='scene-font-place'>アウギュステ</span>は……<br>こんなに魔物の多い島だったか？, <span class='scene-font-place'>奥古斯都</span>是……<br>有这么多魔物栖息的岛吗？
27,,恐らく星晶獣の影響だろう。<br>さぁ、片付けて次へ向かうぞ。, 恐怕这都是因为星晶兽的影响。<br>好了、收拾干净后继续前进吧。
28,,<span class='scene-font-katari'>こうして一行は、魔物を倒しながら</span><br><span class='scene-font-katari'>先へと進んでいくのだった。</span>,<span class='scene-font-katari'>就这样他们一行人、一边打倒魔物</span><br><span class='scene-font-katari'>一边继续前进了。</span>
info,,1,scene_evt140930_cp2_q3_s10
