id,name,text,trans
0-chapter_name,,第9話 我執,第9话 执着
0-synopsis,,カルムの郷に降り立ったシスを、ネハンが迎える。ネハンはシスの成人の儀に至るまでの経緯を語り、一族が暗殺以外で生きる新たな道を切り拓く可能性を持つシスを監禁し、暗殺の道を捨てられなかった一族は滅ぶべきだったかもしれない、と結ぶ。しかし、それでも己から全てを奪ったシスへの憎しみだけをよすがに生きてきたネハンは、入神湯を煽り、シスに襲い掛かるのだった。,希斯回到了卡尔姆之乡，涅槃出来迎接他。涅槃述说了希斯的成人仪式为止发生的事情的经过。卡尔姆一族认为希斯有可能开拓暗杀之外新的道路，便将他监禁起来，或许从一开始，不愿舍弃暗杀之路的一族已经注定走向毁灭。不过，就算如此，仅靠着对夺去了自己的一切的希斯的憎恨而活到现在的涅槃仍旧饮下了入神汤，向希斯袭击过来。
8,シス/希斯,…………,…………
9,シス/希斯,……ネハン。,……涅槃。
10,ネハン/涅槃,一族の者に<br>そう呼ばれるのは妙な気分だ。<br>……おかえり、と言うべきか？,被同族的人这么叫<br>总感觉有些奇怪。<br>……我该说，欢迎回来吗？
12,シス/希斯,いや……俺にとって<br>帰る場所はここではない。<br>一度たりとて……ここではなかった。,不……<br>对我来说，这里不是我的归宿。<br>从来不是……。
13,ネハン/涅槃,そうか……<br>そうだろうな。<br>監禁されていたお前にとっては。,是吗……<br>大概吧。<br>对于被监禁的你来说是这样。
14,ネハン/涅槃,お前は、お前自身の業を負いながら<br>カルム一族の業を知らないのだろうな。,你背负着自身的罪业的同时，<br>却不知道卡尔姆一族的罪业吧。
15,シス/希斯,一族の業……？,一族的罪业……？
20,ネハン/涅槃,カルム一族は、覇空戦争以後も<br>暗殺を請け負ってきた。,卡尔姆一族，<br>在霸空战争之后依然从事着暗杀。
21,ネハン/涅槃,最強の技は暗殺を必ず成功させ。<br>それは信用となり……そして同時に<br>世界からの排斥を招きもした。,最强的技巧让我们的暗杀能绝对成功。<br>这成为了信用……<br>同时也招来了世界的排斥。
22,シス/希斯,汚れ仕事をする者など、<br>人々に受け入れられるはずがない……<br>ということか……,干脏活的人，<br>不可能会被人们接受……<br>是这个意思吧……
23,ネハン/涅槃,そうだ。<br>いつしかカルム一族は追いやられ、<br>この郷へ隠れ住むようになった……,没错。<br>不知不觉，卡尔姆一族被放逐，<br>在这片村落隐居了起来……
