id,name,text,trans
0-chapter_name,,第4話 彼女が好きな物,第4话 她喜欢的事物
0-synopsis,,壊獣を倒した一行は、ロボミが命令を無視してまで戦い続けた理由が、見知らぬ母子を守る事であったと知る。母子を見つめるロボミだったが、シロウが密かに用意していたプレゼントによってオーバーヒートを起こし、卒倒してしまう。倒れたロボミの脳裏には、数万年前の記憶が蘇っていた。対怪獣兵器の研究を行う若い男女が、その自律戦闘機能の不調について語り合う情景であった。,一行人打倒坏兽之后，知道了萝伯美就算无视命令也要继续战斗是因为要保护未曾谋面的母子俩。虽然萝伯美成功找到了母子二人，但却因为士郎送的礼物引起过载反应倒下。昏倒的萝伯美脑子里苏醒了几万年前的记忆，那是正在研究对怪兽兵器的年轻男女，因为自律战斗机能不正常而在交谈的情景。
1,ロボミ/萝伯美,敵性壊獣、全滅を確認しました。,敌性坏兽，确认全灭。
2,シロウ/士郎,お前は……なぜ言う事を聞かなかった？\n弾薬も無しに戦って……\n危うい所だったじゃないか……,我说你……为什么不听我的话？\n没有弹药还要进行战斗……\n这不差点出事了吗……
3,子供/孩子,おいっ！　ガラクタ！,喂！废铁！
4,シロウ/士郎,うん？　君は……,嗯？你是……
5,子供/孩子,お前に礼なんか言わねえからな！\nばっかやろー！,我可不会跟你道谢的！傻瓜——！
6,母親/母亲,すみません、\n本当はとても感謝しているんです……\n貴方が来てくれなければ、私達は……,不好意思，\n但真的很谢谢你们……\n如果你们没有赶来，我们已经……
7,ロボミ/萝伯美,…………,…………
8,シロウ/士郎,……まさか、\nあの子を守るためだったのか？,难道说，是为了保护那个孩子吗？
9,ロボミ/萝伯美,…………,…………
10,シロウ/士郎,命令を聞かないなんて\n初めての事で驚いたが……,第一次出现不听从命令这种事，真是吓到我了……
11,シロウ/士郎,不調の影響……\nじゃ片付かなくなってきたかもな。,状态不好时的影响……\n看来该整理一下了啊。
12,シロウ/士郎,自分の判断で行動する、\nこれもロボミの成長、か……,根据自己的判断行动，\n这也是萝伯美的成长，吗……
15,シロウ/士郎,まったく、今日も大変だったな。\nお疲れ、ロボミ。,真的是，今天可真不容易。\n辛苦了，萝伯美。
16,ロボミ/萝伯美,問題ありません。,没有问题。
17,シロウ/士郎,ああそうだ。\nちょっとじっとしてろ。,啊对了。\n先站好一下别动。
