id,name,text,trans
0-chapter_name,,第3話 守れ、かけがえないものを！,第3话 守护无可替代之物吧！
0-synopsis,,壊獣発生の予兆が現れているという話を聞いてアウギュステを訪れた姬塔達。しかし、そこは至って平和な様子であり、次の船出まで束の間の休息を取ることになる。フィリーとディジーの企てによって二人きりになったシロウとマリエは、良い雰囲気でアウギュステの海を散歩する。,姬塔他们听说了奥古斯特有坏兽发生的预兆，但是却非常和平，在下一艘船到来前决定好好休息。芙莉和迪西企图营造两人独处，在不错的气氛下士郎跟玛丽艾在海边散步。
0,シロウ/士郎,へぇ、これが海か。,诶，这就是大海吗。
1,マリエ/玛丽艾,綺麗……\n静かでいい所ね、シロウさん。,好漂亮……\n真是个安静的好地方呢，士郎。
2,シロウ/士郎,ああ。\nたまにはこんな所で\nのんびりするのもいいな。,是啊。\n偶尔来这种轻松的地方也不错。
3,,アウギュステを訪れた姬塔達。\n報せによれば、ここで壊獣発生の\n予兆が現れているという。,姬塔们来到奥古斯特都。\n据通报所说，这里有坏兽出现的预兆。
4,,しかし、いざ訪れてみれば\nそんなものはなく、拍子抜けした一行は\n次の船出まで休息を取る事になった。,但是，到访这里之后并没有什么发现。松下一口气的一行人决定在下一班船到来前先休息一下。
5,マリエ/玛丽艾,……この島、観光客向けの\nお土産屋さんとかもあるんですって。,……这座岛，好像还有面向观光客的土特产店呢。
6,マリエ/玛丽艾,ねえシロウさん。\nよかったらあとで……,我说士郎\n不介意的话之后我们……
7,羅生門博士/罗生门博士,ふむ……この水を貯水プールに\n使えればと思ったが、\nこう塩分が多くては無理か。,唔姆……\n本来想把这些水用在蓄水池上的，这么多盐分看来是不行了。
8,シロウ/士郎,そうですね。\nどうにか真水に変えられれば\nいいんですが。,确实啊。\n能想办法变成纯水就好了。
9,マリエ/玛丽艾,…………,…………
10,羅生門博士/罗生门博士,たとえば蒸留であれだけの量を\n得るとなると中々厳しいな。\nシロウ君、君ならどうする？,如果要蒸馏出来的话需要的量也太大了。\n士郎，你怎么看？
11,シロウ/士郎,うーん……\n濾過……も難しいでしょうし、\n他に何か手を考えるとなると……,嗯……\n过滤……感觉也很难，\n用其他办法的话我想想……
13,フィリー/芙莉,はーかせ！\nちょっといいかしら？,博~士！ \n来一下好吗？
14,羅生門博士/罗生门博士,む、フィリー君にディジー君か。\nどうした？,唔，芙莉和迪西吗，怎么了？
15,ディジー/迪西,ボク達、相談したい事があって。\n研究艇でお話できないかな？,我们有事想找你商量。\n能来一下研究艇吗？
16,シロウ/士郎,量産機の事か？\nだったら俺も行くよ。,量产机的事吗？\n那样的话我也去。
17,フィリー/芙莉,だーめ！\nシロウさんは疲れてるんだから。,不行——！\n士郎已经很疲惫了。
18,ディジー/迪西,そうそう。\nここでゆっくりしててね！,是啊是啊。\n就在这里慢慢享受吧！
19,フィリー/芙莉,（……というわけで。）,（……就是这样。）
20,ディジー/迪西,（マリエちゃん、ファイト！）,（玛丽艾，加油喔！）
21,マリエ/玛丽艾,…………！,…………！
22,フィリー・ディジー/芙莉·迪西,ふふ……ふふふふふ！,呵呵……呵呵呵呵呵！
23,,フィリーとディジーに連れられて\n研究艇へと向かう羅生門博士。\nそれを見送るシロウとマリエ。,罗生门博士被芙莉和迪西带去研究艇。\n士郎跟玛丽艾目送着他们。
24,マリエ/玛丽艾,もう……,真的是……
25,シロウ/士郎,…………？,…………？
26,シロウ/士郎,そういえばマリエさん、\nさっき何か言おうとした？,说起来玛丽艾，\n你刚刚说了什么？
27,マリエ/玛丽艾,ん……なんでもないの。,嗯……没什么
28,マリエ/玛丽艾,ねえ、少し海岸を散歩しましょうよ。,我说，去海岸边稍微散下步吧。
29,シロウ/士郎,ああ。いいぜ。,嗯，可以啊。
32,ビィ/碧,お、珍しいなハカセ！\nメカ兄ちゃんと一緒じゃねえのか？,喔，真少见啊博士！\n机械小哥没跟你一起吗？
33,羅生門博士/罗生门博士,ああ。簡単な用だったのでね。\nそれにせっかくの海だ。のんびり\n羽を伸ばしてくれればと思ってな。,是啊。是些简单的东西嘛。\n而且难的来一次海边。我想他放松一下也比较好。
34,ルリア/露莉亚,そうですね……\nシロウさん、最近ちょっと\n疲れてるみたいですから。,说的是呢……\n毕竟士郎看起来最近有点疲惫呢。
35,フィリー/芙莉,ふふふ……じゃあ、マリエちゃんとの\nデートで癒してもらわないと。\nもっと仲良くなってほしいし？,呵呵呵……得用玛丽艾的约会好好治愈一下他才行。\n希望关系能变好就是了？
36,ディジー/迪西,そうそう。\nじゃなきゃつまんないよね。,对对。\n不这样的话就太无聊了。
37,羅生門博士/罗生门博士,デート……？\nまさかシロウ君とマリエを\n二人きりにするために私を呼んだのか？,约会……？\n难道你们是为了让士郎跟玛丽艾两个人独处才把我叫过来的吗？
38,フィリー・ディジー/芙莉·迪西,うん。,嗯。
39,ルリア/露莉亚,えっ！？\nシロウさんとマリエさん、\nその……そういう仲だったんですか？,诶！？\n士郎跟玛丽艾，\n那个……是这种关系吗？
40,ビィ/碧,いやぁ……オイラにも\nその辺はよくわかんねえけど……,怎么说……关于这部分咱们也不清楚啊。
41,羅生門博士/罗生门博士,…………,…………
42,ビィ/碧,お、おい……\nハカセ怒ってんのか？,喂、喂……\n博士在生气吗？
43,羅生門博士/罗生门博士,いや……なんというか……\nそう言われてしまうと、\nどうにも親としては複雑なものでな……,不……怎么说呢……\n听你这么一说，我这当父母的总感觉有点心情复杂啊……
44,羅生門博士/罗生门博士,まあ、ゆっくり休んで\n無事に帰ってきてくれればそれでいい。\n詳しい話は後で聞こうじゃないか。,嘛，好好休息然后没事回来就好。\n详细的事情之后再问吧。
info,,,scene_evt160630_cp3_q1_s10
译者,,,卡纸
