id,name,text,trans
0-chapter_name,,第3話 守れ、かけがえないものを！,第3话 守护无可替代之物吧！
0-synopsis,,フィリーとディジーの正体は覇壊神の四天王だった。二人の手によってマリエは攫われてしまい、シロウはマリエを奪還しようと怒りに燃える。フィリーとディジーはロボミ量産機に仕掛けを施していたらしく、出払ったロボミ量産機が一体も戻らない。そんな中、フィリーとディジーは覇壊獣メカゾゴラを召喚し、シロウ達に追い打ちを掛けるのだった。,芙莉和迪西的真面目居然是霸坏神四天王。两人将玛丽艾带走，让士郎燃起怒火。芙莉和迪西在量产型萝伯美内动了手脚，让它们无法回来，然后他们召唤了霸坏兽机械佐哥拉向士郎等人发起进攻。
1,シロウ/士郎,うおおおおおっ！！,唔喔喔喔喔喔喔！！
3,,マリエをさらわれ怒りに燃えるシロウ！\nその拳は研究艇の壁さえも突き破った！,士郎因玛丽艾被带走怒火中烧！\n其拳头连研究艇的墙壁都打破了！
7,ビィ/碧,メカ兄ちゃん！\nやべえ事になってんぞ！,机械小哥！\n大事不好了！
8,ルリア/露莉亚,ロボミさん達、帰って来ないんです！,萝伯美们现在都没有回来！
9,シロウ/士郎,くそ……！\nあいつら、\n量産機に何か仕込みやがった！,可恶……！\n那家伙，\n到底对量产机做了什么！
10,フィリー/芙莉,すっごいシロウちゃん！\n強ーい！,不愧是士郎！\n真强~！
11,ディジー/迪西,じゃあ、この子が相手したらどうかな！,那，如果用这孩子来当你的对手如何呢！
13,ゾゴラ/佐哥拉,ギャアアアアアーース！,嘎啊啊啊啊啊啊！
14,ルリア/露莉亚,…………！,……………！
15,ビィ/碧,おいおい……！\nありゃあまさか！,喂喂……！\n那个难道是！
16,シロウ/士郎,ゾゴラ！？\nあの覇壊獣ゾゴラか！,佐哥拉！？\n是那个霸坏兽佐哥拉吗！
17,フィリー/芙莉,ぶっぶー。\nメ・カ・ゾゴラだよ！,错了~。\n是机·械·佐哥拉喔！
18,ディジー/迪西,この改造、すっごく大変だったんだ！\nだけど自信作なんだよ！,改造这个可费了不少功夫！\n不过也是我们的自信作！
19,フィリー/芙莉,この子、私達みたいに\n優しくないけど……,不过这孩子没有我们那么温柔就是了……
20,ディジー/迪西,頑張ってね♪,加油喔♪
21,マリエ/玛丽艾,んん！\nんんんんーーーーっ！,唔！\n唔唔唔唔————！
22,シロウ/士郎,マリエさん……！\nだが、ゾゴラを放っておく事など……！,玛丽艾……！\n但是把佐哥拉放着不管的话……！
23,ビィ/碧,四の五のいってる場合じゃねえや！\n来やがるぞ！　構えろ！,现在也不是犹豫的时候！\n要来了！快摆好架势！
24,メカゾゴラ/机械佐哥拉,ギャアアアアアーース！,嘎啊啊啊啊啊啊！
info,,,scene_evt160630_cp3_q4_s20_ss
译者,,,卡纸
