id,name,text,trans
0-chapter_name,,第7話 動乱の真実,动乱的真相
0-synopsis,,アリーザはアヴィザを追い詰める。しかしアヴィザは、自分の計画が失敗すれば、クライス家の威光が地に落ちる。そうなれば、アリーザは今の地位を剥奪され、スタンもアリーザの側にいられなくなると説く。スタンが動揺した隙を突き、魔物が容赦なく襲いかかる。しかし、アリーザがスタンを庇って突き飛ばし、魔物の毒牙に捕らえられてしまう。,
2,アリーザ/阿丽莎,ここまでだ、アヴィザ！<br>もう逃げ場はないぞ！,阿丽莎把阿维萨逼到了绝路。但是阿维萨说，如果自己的计划失败了，克莱斯家族的声望就会落魄。那样的话阿丽莎现在的地位就会被剥夺，斯坦也就不能和阿丽莎在一起了。趁斯坦动摇的时候，魔物丝毫不给斯坦空隙的向他袭来，阿丽莎为了把斯坦推开，被魔物们抓住了。
3,アヴィザ,しつこいですね……<br>そこまで私の計画の邪魔を<br>したいのですか。,真缠人啊……要妨碍我的计划到这种地步吗。
4,スタン/斯坦,俺はいまの<span class='scene-font-place'>バルツ</span>が好きなんだ！<br>お前の思うようには変えさせない！,我喜欢现在的<span class='scene-font-place'>瓦尔兹</span>！不会让你如愿的！
5,アヴィザ,エルーンの使用人風情が、<br>大口を叩くようになったなぁ……,尖耳族佣人的通病吗，喜欢说大话……
6,アヴィザ,しかし、いいのか？<br>私の計画が失敗すれば、<br>お前もいまのままではいられないぞ？,但是，这样好吗？如果我的计划失败了，你也不能一直保持这样哦？
7,スタン/斯坦,なに……？,什么……？
8,アヴィザ,私の計画が失敗すれば、<br>クライス家の威光は地に落ちる。<br>当然、いまの地位も剥奪されるだろう。,如果我的计划失败了，克莱斯家族的声望就会一落千丈。当然，现在拥有的地位也会被剥夺。
9,アヴィザ,となれば……どうなるだろうな？<br>スタン、お前はアリーザお嬢様のそばを<br>離れることになるぞ。,这样一来……会怎么样呢？斯坦。你就会不得不离开阿丽莎小姐的身边哦。
10,スタン/斯坦,な……<br>そ、それが、どうしたってんだ……,什……那、那个、又怎么了……
11,アヴィザ,強がるなよ、ガキが……,不要逞强啊，小鬼……
12,アヴィザ,私が行動を始めた以上、<br>お前もクライス家に仕える者なら、<br>私に協力すべきなんだよ。,你也是在克莱斯家工作的人，既然我开始了行动，那你就应该协助我才是。
13,アヴィザ,アリーザお嬢様もいかがかな？<br>いまからでも遅くはないですぞ？,阿丽莎小姐怎么想呢？现在反悔也不迟哦？
14,アヴィザ,厄介者として葬り去る予定でしたが……<br>ここで私に協力するなら、<br>後々、相応の地位を約束しましょう。,本来是打算把碍事的人都除掉的……如果在这里协助我的话，那以后会给予你们约定好的相应地位。
15,アリーザ/阿丽莎,<span class='scene-font-4'>誰がそんな話に乗るか！！</span>,<span class='scene-font-4'>谁在意那种东西！！</span>
16,アヴィザ,そう言うと思いましたよ……<br>しかし、スタン、お前はどうかな？,我猜到你会这么回答了……不过，斯坦，你怎么想？
17,アヴィザ,アリーザお嬢様と離れることになっても<br>私に刃向うことが出来るか？,离开阿丽莎小姐，对我刀刃相向，你做的出来吗？
18,スタン/斯坦,くっ……！,咕……！
19,アリーザ/阿丽莎,スタンッ！！,斯坦！！
20,アヴィザ,揺らいだな……,很犹豫呢……
21,魔物,<span class='scene-font-4'>グオオオォッ！！</span>,<span class='scene-font-4'>噢噢噢噢！！</span>
22,ジェシカ/杰西卡,スタンさん！<br>危ないっ！,斯坦！小心！
23,アリーザ/阿丽莎,ちっ……！！,嘁……！！
30,,<span class='scene-font-katari'>アヴィザの甘言によって</span><br><span class='scene-font-katari'>注意を欠いたスタンに、</span><br><span class='scene-font-katari'>容赦なく魔物が襲いかかる。</span>,<span class='scene-font-katari'>被阿维萨的花言巧语分散了注意力，斯坦没注意到魔物向他袭来。</span>
31,,<span class='scene-font-katari'>しかし、スタンは突き飛ばされ、</span><br><span class='scene-font-katari'>魔物の毒牙は</span><br><span class='scene-font-katari'>アリーザを捕えたのだった。</span>,<span class='scene-font-katari'>但是，被踢飞了出去，魔物抓住了阿丽莎。</span>
info,,,scene_evt140430_cp7_q4_s10
译者,,,
