id,name,text,trans
0-chapter_name,,第123章　兆しと再訪,第123章 征兆与再访
0-synopsis,,紫の騎士を追う途中、物資補給の為にエルステ王国に立ち寄った姬塔一行。オルキス、オーキス、黒騎士はロイド奪還を姬塔一行に託し、「ロイドを取り返したら、アーカーシャから星の力を奪い、アーカーシャを消し去ってほしい」と頼む。さらにオルキスとオーキスからツヴァイのことを頼まれた姬塔は、ふたりの願いに力強く頷きを返すのだった。,在追着紫之骑士的途中，为了补给，姬塔一行人路过了埃尔斯特王国。欧尔姬丝、欧姬丝和黑骑士向夺回罗伊德的姬塔一行人托付道，“如果能夺回罗伊德的话，希望能从阿卡夏那里夺回星之力，让阿卡夏消失”。除此之外，还从欧姬丝与欧尔姬丝那收到了托付zwei的委托，姬塔用力地点头进行了回应。
1,,<span class='scene-font-katari'>星晶獣アーカーシャを封じたゴーレム、</span><br><span class='scene-font-katari'>ロイドを奪還するため、</span><br><span class='scene-font-katari'>紫の騎士を追う姬塔一行。</span>,为了夺回封印着星晶兽阿卡夏的<br>人偶罗伊德，<br>追着紫之骑士的姬塔一行人。
2,,<span class='scene-font-katari'>その途中、</span><br><span class='scene-font-katari'>最低限の物資を補給するため、</span><br><span class='scene-font-katari'>一行はエルステ王国を訪れていた。</span>,在那途中，<br>为了补充最低限度的物资，<br>一行人造访了埃尔斯特王国。
8,オルキス/欧尔姬丝,…………,…………
8-sel1_txt,,<span class='scene-font-katari'>もう怪我は平気？</span>,伤已经没事了吗？
8-sel2_txt,,<span class='scene-font-katari'>…………</span>,…………
9,オルキス/欧尔姬丝,うん……<br>身体はもう何ともないよ。,嗯……<br>身体已经没事了。
10,オルキス/欧尔姬丝,でも……<br>オーキスが……,但是……欧姬丝她……
11,,<span class='scene-font-katari'>その気まずい沈黙を破ったのは、</span><br><span class='scene-font-katari'>憔悴しきった様子の</span><br><span class='scene-font-katari'>オーキスの一言だった。</span>,打破这份难受的沉默的是，<br>来自憔悴的欧姬丝的话语。
12,オーキス/欧姬丝,ごめんなさい……<br>全部……私のせい。,对不起……全都……是我的错。
13,オーキス/欧姬丝,ロイドを奪われて、<br>取り返すことも出来なくて……<br>私が、もっと強ければ……,罗伊德被夺走，<br>也没法抢回来……<br>如果我能更强一点的话……
14,オルキス/欧尔姬丝,そんな……！,没这种事……！
14-sel1_txt,,<span class='scene-font-katari'>そんなことない</span>,没这种事
15,ビィ/碧,姬塔の言う通りだぜ！,姬塔说得对！
16,ビィ/碧,そもそも悪いのは、<br>アーカーシャを狙ってきた奴らの<br>ほうじゃねーか！,而且本来错的就是，<br>瞄准阿卡夏的那些家伙啊！
17,オーキス/欧姬丝,でも……,但是……
18,,<span class='scene-font-katari'>尚も思い詰めた様子のオーキスに対し、</span><br><span class='scene-font-katari'>黒騎士は優しく制するように、</span><br><span class='scene-font-katari'>その言葉を遮る。</span>,面对尚在思索中的欧姬丝，<br>黑骑士温柔地制止了她，说着。
19,黒騎士/黑骑士,必要以上に自分を責めるな。<br>身体もまだ<br>万全な状態には程遠いだろう。,不要过度自责。<br>你的身体离恢复万全<br>还有很远。
20,黒騎士/黑骑士,それに、<br>今のお前には身体の回復以上に、<br>心を休めることが必要だ。,而且，<br>你现在比起身体上的康复，<br>让心灵得到休息更重要。
21,オーキス/欧姬丝,アポロ……,阿波罗……
