id,name,text,trans
0-chapter_name,,第154章　罪人の足跡,第154章 罪人的足迹
0-synopsis,,処刑場を訪れた一行。処刑記録の原本を確認した後、一行は処刑場へ足を踏み入れるも、ギヨタ、ザラストラ、そして姬塔は違和感を抱く。ギヨタは違和感の正体について「死のニオイ」がないのだ、と指摘。ここ数年、実際には処刑は行われていなかったのだ。これが明るみになれば司法が揺るぎかねない、と震えるザラストラ。ギヨタは面白くなってきた、と笑うのだった。,一行人造访了刑场。在确认过处刑记录的原件之后，一行人走进了刑场。但是吉优塔、扎拉斯托拉以及姬塔却感到异样。吉优塔指出，这种异样感的来源是这里并没有“死亡的气息”。她认为在过去的几年里，这里并没有处决过人。扎拉斯托拉颤抖着说如果这件事曝光，司法可能会受到动摇。而吉优塔却笑着说事情变得有趣了起来了。
2,処刑場の騎士,この内部の視察……ですか。,到内部进行考察……是吗。
3,ギヨタ/吉优塔,ン。弁護に必要っぽいし、\nいいかナ？,是。这是出于辩护的需要，\n可以吗？
4,処刑場の騎士,おそらく、可能だとは思うのですが……,我想这应该是可以的……
5,,「弁護のための処刑場視察」。\nそう言われて、門番も戸惑いながら\n一行を通した。,“辩护所需的刑场考察”。\n听到这个说法，门卫虽然有些疑惑，\n但还是放一行人进去了。
6,ザラストラ/扎拉斯托拉,……ギヨタ殿。\nなぜここの視察を？,……吉优塔小姐。\n为什么要来这里考察？
7,ギヨタ/吉优塔,配布された記録の写しは見たけどネ。\n一応、ここにある原本も\n見ておきたィ。,虽然之前看过分发给大众的记录副本，\n但我还是想来看看原件。
8,ザラストラ/扎拉斯托拉,処刑記録の原本、\nということですか？,您是说行刑记录的原件吗？
9,ギヨタ/吉优塔,ン。\nそれと現場ネ。,是。而且现场我也想看看。
9-sel1_txt,,処刑の現場？,处刑现场？
11,ギヨタ/吉优塔,そ。あんまり気持ちのイイトコじゃ\nナィだろうケド、\nちょっとだけ付き合ってくれたまえ。,没错。虽然不是什么好地方，\n但还是拜托你们跟我走一趟了。
12,ザラストラ/扎拉斯托拉,……ラクレイスを助けるためならば、\n私はどこへでも。,……如果是为了救拉克雷斯的命，\n刀山火海我也会去的。
17,,そして処刑場の事務局を訪れ、\nギヨタが持つ処刑記録の写しと\nその原本を照らし合わせ──,于是一行人造访了刑场的事务局。\n吉优塔将持有的处刑记录副本与其原件\n进行对比——
18,,内容に相違がない事を確認すると、\n一行はいよいよ処刑場へと向かう。,在确认过二者的内容没有出入之后，\n一行人前往了刑场。
19,ザラストラ/扎拉斯托拉,……この扉の向こうに？,……就在这扇门后面？
20,処刑場の騎士,ええ。刑場があります。,是的。后面就是刑场。
21,ザラストラ/扎拉斯托拉,なる、ほど……,是嘛……
22,ギヨタ/吉优塔,怖がるこたないヨ。\n死体が野晒しになってるワケじゃ\nナィだろうし。,也没什么可怕的。\n行刑后又不会把尸体晾在原地。
23,処刑場の騎士,はい。罪人の遺体は\n執行後速やかに秘密の通路で運ばれ、\n埋葬を済ませるそうです。,是的。\n据说犯人的遗体都会经由秘密通道转运\n然后埋葬。
24,ザラストラ/扎拉斯托拉,埋葬を済ませる「そう」……？,为什么是“据说”呢……？
