id,name,text,trans
0-chapter_name,,第162章　剔抉,第162章 剜掘
0-synopsis,,“王の目”により、エダン島が幽世の住人達の拠点と化している事実を知った姬塔。これ以上の幽世の侵攻を阻むため、全島に防備を通達するよう指示し、エダンへの出撃を宣言する。紫の騎士を連れロキのグランスルースに乗り込んだタウルークは、幽世との真の戦いの始まりを感じ取ると共に、幽世による事実の塗り替えを認識できているらしいロキについて疑問に思うのだった。,姬塔透过“王之眼”得知，伊旦岛已化为了幽世居民的据点。为了阻止幽世进一步的进攻，姬塔下令全岛戒严，并宣布攻打伊旦岛。而此时的陶鲁克正和紫骑士一起乘在洛基的船上，在感受到与幽世的战斗正式打响的同时，他对似乎能够认识到被幽世改写了事实的洛基产生了疑问。
1,？？？,────……,
4,？？？,────……,────……
7,？？？,────……,────……
10,？？？,────……,────……
11,,“王の目”が姬塔に見せた\n今昔混ぜこぜになった記憶の渦は、\n瞬く間に過ぎ去ってゆく。,“王之眼”展现给姬塔的今昔混杂的记忆漩涡，\n眨眼之间就消失了。
18,,そして──,然后──
25,姬塔,…………,…………
26,,記憶の渦の最後に見えたものが、\n姬塔の背筋を凍らせた。,在记忆漩涡的最后看到的东西，\n让姬塔的脊背瞬间变得冰凉。
27,,──これから、空に未曽有の事態が\n訪れようとしている。,——接下来，\n空之世界将迎来前所未有的事态。
29,ルリア/露莉亚,姬塔！\nわかりましたよ、エダン島の場所！,姬塔！\n我们知道伊旦岛的位置了！
30,,戻ってきた仲間達に頷き、\n姬塔は\n急いで出立の準備をはじめる。,姬塔向回来的伙伴们点点头，\n然后急忙开始准备出发。
31,白騎士/白骑士,姬塔殿。いったい何が？\nただごとではない様子ですが……,姬塔阁下，到底发生了什么？\n从您的脸色来看，\n好像发生了非比寻常的事情……
32,アリア/阿莉亚,オクタヴィアに何か言われたのか？\n今オクタヴィアはどこに……？,奥克塔维亚跟你说了什么吗？\n她现在去哪儿了……？
33,,オクタヴィアの行き先どころではない。\n困惑する一同へ、\n姬塔は号令する。,现在不是探讨奥克塔维亚去向的时候。\n面对困惑的众人，\n姬塔发出了号令。
33-sel1_txt,,戒厳令！,戒严令！
35,仲間達,…………！？,…………！？
36,オイゲン/欧根,ど、どうしたってんだ急に……？\n戒厳令って、幽世に対してか？,怎、怎么了，这么突然……？\n戒严令，是针对幽世的吗？
37,,王の目によって姬塔は知った。\n人々の住まうワクワーク・エダン両島は\nなぜ、廃島と化したのか。,姬塔通过王之眼，\n得知了本应有人居住的瓦库瓦库岛和\n伊旦岛化为废墟的原因。
38,,そして、なぜ幽世は\nふたつの島の所在地を隠したのか。,还有，幽世隐藏这两座岛屿位置的目的。
41,,幽世はイスタバイオンの領地を喰らい、\n空の世界を侵攻するための\n拠点に変えてしまっていたのだ。,幽世吞噬了伊斯塔拜恩的领地，\n将它变成了侵略空之世界的据点。
42,,おそらく、遠からずワクワーク島も\n幽世の根城と化すであろう。,或许不久之后，\n瓦库瓦库岛也将化为幽世的根据地。
45,白騎士/白骑士,まさか……！？　先王の時代から、\n幽世はイスタバイオンに\n入り込んでいたのですか？,难道……！？\n从先王的时代开始，\n幽世就已经进入伊斯塔拜恩了吗？
46,アリア/阿莉亚,なぜ、それを放っておいたのだ……？\n姬塔。\nいったいどこでそれを？,但是他为什么要放任不管呢……？\n姬塔，你是怎么知道这一点的？
47,姬塔,…………,…………
47-sel1_txt,,まず全島に防備を通達──,首先通知全岛设防——
50,,困惑するアリア達に構わず、\n現状取れるであろう最善の策を告げる。,顾不上解答阿莉亚等人的疑惑，\n只是把现在所能采取的最佳对策告知他们。
50-sel1_txt,,同時に、エダンの巣を叩く！,于此同时，直击伊旦岛上的幽世巢穴！
52,,簡潔に、そして有無を言わせぬ口調で。,姬塔以简洁而不容分说的语气下达命令。
53,２人,…………,…………
54,白騎士/白骑士,……御意。\n急ぎ通達を手配します。,……遵命。\n我会尽快安排通知。
55,アリア/阿莉亚,エダンへの航路は、いつも通り\n姬塔が舵を取るのか？\nずっと飛びづくめだっただろう。,前往伊旦的路途\n还是像往常一样由姬塔掌舵吗？\n这几天一直是你开船，已经很疲惫了吧。
56,姬塔,…………,…………
56-sel1_txt,,いつも通り、僕が,就像往常一样，我来
58,,そう言って、姬塔は\n出撃の準備にとりかかるため、\nその場を後にした。,说完，姬塔便离开了众人，\n开始进行出击的准备。
59,ルリア/露莉亚,…………,…………
60,ビィ/碧,どうしちまったんだ、アイツ……\nなんか、様子が変だったけど……,到底怎么回事啊，\n总觉得那家伙的样子很奇怪……
61,ルリア/露莉亚,何か、隠してるような……\n私達には話せない事が、\nあるんでしょうか……,是不是有什么事情……\n不能告诉我们呢……
62,アリア/阿莉亚,人が変わったようだな。\nあれではまるで……,好像变了个人一样。\n那样子简直就像……
63,アリア/阿莉亚,……ああして、多くを語らず\n国を動かすさまは、先王のようだ。,……不多做解释，\n只是凭一己之力推动国家的先王那样……
69,タウルーク/陶鲁克,……ふむ。,……嗯。
