id,name,text,trans
0-chapter_name,,第117章　新たな脅威,新的威胁
0-synopsis,,神聖エルステ帝国の占領から解放するため、<span class='scene-font-place'>ガロンゾ</span>へ乗り込んだ姬塔達。兵を退け中央船渠に到達すると、酷く怯えた様子の<span class='scene-font-place'>ガロンゾ</span>の職人に「この先に進むな」と訴えられる。その直後、最前線から悲鳴が上がるのを聞き、職人の言葉を振り切って向かった一行は、そこで帝国軍の新兵器によるあまりに凄惨な光景を目にし、憤りと共に帝国兵に立ち向かう。,为了从神圣埃尔斯特帝国的占领中解放出来，姬塔一行人向噶隆索走去。击退士兵到达了中央船渠的姬塔等人，看到了相当害怕的噶隆索手艺人“不要再向前走”的请求。在那之后，众人从最前线的方向听到了悲鸣，随后便立刻赶去。在那里，他们看到了由于帝国军的新兵器造成的凄惨光景，愤怒之下，众人向帝国军攻去。
1,,<span class='scene-font-katari'>神聖エルステ帝国の占領から</span><br><span class='scene-font-katari'>解放するため、</span><span class='scene-font-place'>ガロンゾ</span><span class='scene-font-katari'>へと乗り込んだ</span><br><span class='scene-font-katari'>姬塔達。</span>,为了从神圣埃尔斯特王国的占领中解放出来，<br>姬塔一行人向着噶隆索走去。
7,,<span class='scene-font-katari'>その苛烈な戦いの始まりを告げるように</span><br><span class='scene-font-place'>ガロンゾ島</span><span class='scene-font-katari'>には</span><br><span class='scene-font-katari'>剣戟の音が満ち始めていた。</span>,就像是在宣告残酷战争的开始一般，<br>噶隆索岛上开始想起了刀剑相接的声音。
8,オルキス/欧尔姬丝,３番隊から５番隊は左右に展開！<br>所定の位置についたら、<br>後は作戦通りにお願いします！,从三番队到五番队位置左右散开！<br>负责好你们所在区域的<br>作战，后续就交给你们了！
9,オルキス/欧尔姬丝,10番隊、11番隊は退路の確保を！<br>斥候を除く残りの部隊は、<br>私達と一緒に進んでください！,十番队和十一番队确保退路！<br>消灭剩余的部队，<br>我们也会一起前进！
10,エルステ王国兵達,はっ！,是！
12,オルキス/欧尔姬丝,騎空士さん達は<br>遊撃隊として対応をお願いします！,骑空士们<br>就麻烦对付游击队了！
13,オルキス/欧尔姬丝,ただし、事前に作戦で共有した<br>区域での戦闘は極力避けてください！,只不过，请避免在事前进行过说明的<br>共有区域进行战斗！
14,騎空士/骑空士,おう、任せな！<br><span class='scene-font-place'>ポート・ブリーズ</span>の騎空士の意地、<br>しっかり見せてやるからよ！,哦哦，交给我们吧！<br>让你们看看波特·布里兹骑空士的力量！
15,騎空士に憧れる少年,お、おう！<br>騎空士の力、見せてやるぜ！,哦、哦！<br>让你们看看，骑空士的力量！
