id,en,jp,trans
0-chapter_name,80: An Unfamiliar Sky,第80章　見知らぬ空,第80章 陌生的天空
0-synopsis,"After receiving a missive, a man ponders aloud as to the fate of 姬塔 and the crew. He considers executing his plan earlier than intended.",薄暗い部屋で、男は届けられた書簡に目を通すと、壁に掛けられた巨大な空域図に目を向け、そこに描かれている壁のような絵に手を伸ばした。そして、「かの騎空団は気の毒なものよ……」と、意味深長に呟き、男は星ひとつない空を見つめるのだった。,昏暗的小屋中，那个男人浏览了一遍呈递过来的书信，目光转向挂在墙壁上的巨大的空域图，并将手伸向那上面描绘着的墙壁一般的图样，然后低声细语着“那个骑空团还真是不走运”这样意味深长的话，然后他再次看向了那片没有星星的天空。
3,...,…………,...
4,"All alone in a room, a man sighs heavily as he reads through a missive that's just arrived.",<span class='scene-font-katari'>ある一室で、届けられた書簡に目を通し、</span><br><span class='scene-font-katari'>男はひとり、大きく息を吐いた。</span>,<span class='scene-font-katari'>某间屋内，那个男人独自一人浏览了呈报过来的书信后，叹了口气。</span>
5,I can't possibly fathom what that rogue could be thinking.,まったく、あのはぐれは、<br>つくづく真意の読めぬ輩よ……,真是的，出现那样的失误，完全想不透那家伙的想法了。
6,"He sighs and continues, gazing at the sky outside his window.",<span class='scene-font-katari'>ため息交じりに、</span><br><span class='scene-font-katari'>男は窓からのぞく空に目をやり、</span><br><span class='scene-font-katari'>呟くように言葉を続ける。</span>,<span class='scene-font-katari'>语气中也掺杂着一些叹息，然后他看向窗外司空见惯的天空，继续说着抱怨一般的话。</span>
7,"Just when it seemed you'd led them to Nalhegrande, you go and turn it all upside down...",かの騎空団をナル・グランデまで<br>導いたかと思えば、<br>手のひらを返すように、この仕打ち……,原以为你是想引导那个骑空团进入纳尔格兰德空域，结果却突然转变了做法，这种做派...
8,Not knowing how they'll land shall be harder to deal with than the nuisance in Nalhegrande.,どう転ぶか分からぬ、という点では、<br>ナル・グランデそのものよりも、<br>扱いがたい道化よ……,不知道他们如何跌进纳尔格兰德空域这一点，比起纳尔格兰德空域本身的事恐怕更加难以处理。
9,"Turning his back to the window, his eyes fall upon a large map of the skydoms hanging on the wall.",<span class='scene-font-katari'>男は空に背を向けると、</span><br><span class='scene-font-katari'>部屋の壁に掛けられている、</span><br><span class='scene-font-katari'>巨大な空域図に目を向ける。</span>,<span class='scene-font-katari'>他背向窗口，将目光转向挂在屋内墙壁上的某张巨大空域图。</span>
10,"An expansive sky can be seen with many lines that run in all directions, as if dividing up the world drawn on the map.",<span class='scene-font-katari'>広大な空を表したその図には、</span><br><span class='scene-font-katari'>世界を区分するよう、</span><br><span class='scene-font-katari'>幾つもの線が走る。</span>,<span class='scene-font-katari'>那张地图绘制了广阔天空的样貌，上面还划着几根分割世界的线。</span>
11,The man stretches out his hand to a figure that resembles a wall within the area marked as Nalhegrande Skydom.,<span class='scene-font-katari'>中でも、ナル・グランデ空域、</span><br><span class='scene-font-katari'>と書かれた範囲にある、</span><br><span class='scene-font-katari'>壁のような絵に、男は手を伸ばす。</span>,<span class='scene-font-katari'>地图上绘制着障壁一样的图样——而那之中有写着“纳尔格兰德空域”字样的区域——那个男人将手伸向地图上的这些“墙壁“。</span>
12,"If push comes to shove, I must consider putting the plan into motion earlier than anticipated...",必要とあらば、<br>計画の早期実行も<br>考慮せねばならんな……,到时如有必要，恐怕也得考虑提前实行计划的事了。
13,He turns once again toward the window and lifts his head to the skies above.,<span class='scene-font-katari'>男は空域図から離れると、</span><br><span class='scene-font-katari'>再び祈るように、</span><br><span class='scene-font-katari'>窓からのぞく空を見上げる。</span>,<span class='scene-font-katari'>他从壁挂的地图那边走开，像是祈祷着什么，抬头仰望着那片天空。</span>
14,At any rate what's happened to that crew is quite unfortunate.,ともあれ、<br>かの騎空団は気の毒なものよ……,无论如何，那个骑空团还真是不走运。
15,"Be that as it may, I've no doubt they won't be standing still for very long.",されど……<br>あの者達が立ち止まることは、<br>決してありはしないのだろうな。,尽管如此，也绝没有能阻止那些家伙前进的东西吧。
16,Opposing the stars must be in his blood...,星と相対するは、<br>あの男の血のさだめか……,与星相对，那个男人血脉中所蕴含的宿命吗...
17,"The sky is starless, but the man seems to focus his gaze on something far away.",<span class='scene-font-katari'>見上げるも、そこに星はなく、</span><br><span class='scene-font-katari'>しかし、男は星よりもなお</span><br><span class='scene-font-katari'>彼方を見つめるように目を細める。</span>,<span class='scene-font-katari'>天空上看不到星星，但是这个男人却抬头，凝视着比星星更远的地方。</span>
18,"And if so, then I should like to see the strength of your blood for myself...",なればこそ、その血を継ぐ御子の力、<br>とくと見せてもらうとしようか……,正因如此，就让我见识一下继承那份血脉的后裔的力量吧。
19,"His tone is pensive, but the hint of amusement in his murmuring appears to reach the fates above.",<span class='scene-font-katari'>憂いを帯びながらも、</span><br><span class='scene-font-katari'>どこか楽しげなその呟きは、</span><br><span class='scene-font-katari'>運命のみが聞き届ける。</span>,<span class='scene-font-katari'>他说话的语气十分低沉，但是又隐隐透露出一丝高兴，仿佛他所低语的已经是命定之事。</span>
20,"As if in answer, their cogs slowly begin to turn far off in the distant sky.",<span class='scene-font-katari'>そして、その言葉が示す通りに、</span><br><span class='scene-font-katari'>空はまた新たな転機へ向け、</span><br><span class='scene-font-katari'>ゆっくりと胎動を始めるのだった。</span>,<span class='scene-font-katari'>然后就像那些话语表现出的一样，空之世界再次向一个新的转折点缓缓发展。</span>
info,1,1,scene_cp80_q1_s10
