id,en,jp,trans
0-chapter_name,,第58章　それぞれの思惑,第58章  各自的决意
0-synopsis,,アダムを隠し港に残し、<span class='scene-font-place'>帝都アガスティア</span>の市街を走る姬塔一行。その視界の中央には、帝都を見下ろすようにそびえ立つ巨大建造物、帝国府官邸、通称「タワー」の姿があった。帝国を象徴するような威圧的な様子に怯みながらも、一行は意を決して帝都を進む。,留下亚当一人死守在秘密港口，姬塔一行在<span class='scene-font-place'>帝国首都阿加丝提亚</span>的街市中前进。他们视野的中央，是那座俯瞰首都的巨大建筑物，通称「高塔」的帝国首都官邸。它远远地散发出象征着帝国的威严，而众人就在这种压迫感中前行。
0,,<span class='scene-font-katari'>姬塔一行は</span><br><span class='scene-font-katari'>アダムを隠し港に残し、</span><br><span class='scene-font-place'>アガスティア</span><span class='scene-font-katari'>の街を走る。</span>,<span class='scene-font-katari'>留下亚当一人死守在秘密港口，姬塔一行在</span><span class='scene-font-place'>帝国首都阿加丝提亚</span><span class='scene-font-katari'>的街市中前进。</span>
1,,あれが……タワー？,那就是……高塔？
4,,<span class='scene-font-katari'>そう言ってイオが見上げる先には、</span><br><span class='scene-font-katari'>帝都を見下ろすようにそびえ立つ</span><br><span class='scene-font-katari'>巨大な建造物があった。</span>,<span class='scene-font-katari'>伊欧说着仰看前方的天空，一座巨大的建筑正俯瞰着整个首都。</span>
7,,そうだ……<br>ひたすら貪欲に発展を続けてきた、<br>帝国とこの街の象徴とも言えるな……,没错……简直就是贪婪地吞噬他国发展起来的帝国和这座城市的象征……
8,,艇から島を遠目に見たときにも<br>目立ってたが……,在船上远远看见的时候就已经很显眼了……
9,,こうして見ると本当にデケェな……<br>ウングッド城よりも<br>高いんじゃねぇか？,现在看起来还真是大啊……感觉比虹蛇城堡还高呢。
10,,すごく……大きくて……<br>ちょっと、怖い……,看起来……很大……有点、害怕……
11,,当初の計画では、<br>帝国兵との戦闘は、<br>極力、避けて進むはずでしたけど……,虽说我们当初的计划是尽量避免与帝国士兵的战斗……
12,,待てっ！<br>ここから先には……！,站住！再往前的话……！
14,,こうなってしまっては、<br>もはやそうも言ってられないな……,事情变成这样，也没办法避免战斗了……
15,,はぁ……<br>ですよね……,唉……也是啊……
16,,姬塔さん！<br>敵の数は膨大ですから、<br>体力を温存しながら戦いましょう！,姬塔！敌人数量很多，注意保留体力！
info,,1,scene_cp58_q3_s10
