id,name,text,trans
0-chapter_name,,第5話 悩める頭領、あるいは鉄槍傭兵団,烦恼着的头领，或者是铁枪佣兵团
0-synopsis,,騎空団と鉄槍傭兵団の間で、己の身の振り方に悩むヘリヤ。スツルムは、傭兵と騎空団を区別して考えること自体が無意味だと言い、自分がしたいようにすればいい、それが難しいことだとは思わない、と告げる。ふんぎりがつかない様子のヘリヤだったが、突然そこに鉄槍傭兵団の傭兵が慌てた様子で駆け込んでくるのだった。,在骑空团和铁枪佣兵团之间，为自己的摇摆不定而烦恼的赫丽雅。斯特姆认为，区别佣兵和骑兵空团的思考本身就是没有意义的，做自己想做的就可以了，这不是很难的事情。赫丽雅下不定决心的时候，突然间铁枪佣兵团的佣兵慌慌张张地闯了进来。
1,ドランク/德朗克,姬塔さん達の騎空団と<br>縁を切れ、ねぇ……,和姬塔团长他们的骑空团切断关系吗……
2,,<span class='scene-font-katari'>ヘリヤから語られた話に</span><br><span class='scene-font-katari'>ドランクはうーんと唸る。</span>,<span class='scene-font-katari'>德朗克小声念叨着</span><br><span class='scene-font-katari'>赫丽雅讲述的话。</span>
3,ドランク/德朗克,傭兵団の人も<br>随分なことを言ってくるもんだね。,佣兵团队人也真是<br>讲着随意的话啊。
4,ヘリヤ,めったなことであんなことを<br>言う者達ではないことは、<br>私が一番良く知っています。,我是最知道的<br>他们不是会胡乱讲话的人。
5,ヘリヤ,だからこそ、<br>無下にすることもできない……,正因如此，<br>我无法对此置之不理……
6,ヘリヤ,私は、<br>どうするべきなのでしょうか……？,我该怎么办才好呢……？
7,ドランク/德朗克,そうだなぁ……,确实啊……
8,ドランク/德朗克,傭兵団の頭領である君と<br>自由にやってる僕達じゃあ<br>状況に大きな差があるからねぇ……,作为佣兵团头领的你，<br>和自由工作的我们俩<br>情况有很大区别啊……
9,ヘリヤ,そうですよね……<br>頭領として、私は……,是啊……<br>作为头领，我……
10,スツルム/斯特姆,窮屈そうだな。,备受束缚啊。
11,ヘリヤ,窮屈……？<br>そうなのかも、しれませんが……,束缚……？<br>或许是这样吧……
12,スツルム/斯特姆,今の状況を嫌い、<br>自由になりたいのなら<br>なればいい。,讨厌现状<br>想要自由的话<br>尽管去做吧。
13,スツルム/斯特姆,それが、そんなに難しいことだとは<br>思わないな。,我想那恐怕不是很难的事。
14,ヘリヤ,そんな……！,怎么能那样……！
15,ヘリヤ,私に、傭兵団の仲間達か<br>姬塔殿達……<br>どちらかを捨てろと言うのですか！？,是让我选择舍弃佣兵团的伙伴，<br>或是姬塔团长他们其中之一吗！？
16,スツルム/斯特姆,そうは言ってない。,我没那样说。
17,スツルム/斯特姆,そもそも、この世界には<br>競争があるのが当たり前だ。<br>力のある者が多くの仕事と報酬を得る。,说到底，<br>这世上有竞争是正常的。<br>有能力的人获得更多而工作和报酬。
18,ヘリヤ,ええ、わかっています。,哎，我知道。
19,ヘリヤ,私も、鉄槍傭兵団の仲間達も皆、<br>それを覚悟の上でこの世界に<br>足を踏み入れているのですから。,我和铁枪佣兵团的伙伴们，<br>都是怀有这个觉悟而踏入这个世界的。
20,スツルム/斯特姆,それならなおさら、<br>傭兵だの騎空士だのと、細かく区別して<br>考えること自体が無意味だ。,这种情况下<br>那就更没必要对佣兵和骑空士细微区别。
21,ヘリヤ,あ……,啊……
22,,<span class='scene-font-katari'>ヘリヤは、何かに気が付いたように</span><br><span class='scene-font-katari'>瞬きをする。</span>,<span class='scene-font-katari'>赫丽雅好像注意到了什么</span><br><span class='scene-font-katari'>眨了眨眼睛。</span>
23,ドランク/德朗克,まぁ、突き詰めて考えれば、<br>傭兵も騎空士も、<br>結局は同じ穴のムジナだもんね。,嘛，说到底，<br>佣兵和骑空士，其实是一丘之貉罢了。
24,ヘリヤ,そうですね……,说的也是……
25,スツルム/斯特姆,…………,…………
26,スツルム/斯特姆,お前とあたし達では、<br>立場も環境も何もかも違う……,你和我俩的立场、环境，<br>没有什么不同。
27,スツルム/斯特姆,それでも……<br>お前が仲間を大切に思っているのは<br>理解してる。,尽管如此……<br>但是你心念伙伴的心情我理解。
28,ヘリヤ,はい……,嗯……
29,スツルム/斯特姆,仲間との繋がりを断ち切れば<br>自由になれるというものでもないし……,就算斩断和伙伴之间的联系<br>也无法变得自由。
