id,name,text,trans
0-chapter_name,,第1話 集結！ 宿敵現る！,第1话 集结！ 宿敌出现！
0-synopsis,,一行の前に現れたのは、極潰しのマッシュと名乗るフードファイターだった。マッシュはレッドラックと因縁があるようで、レッドラックが楽しげに笑う姿を見て、やる気があるのかと突っかかる。レッドラックは日和っていると貶され、マッシュと激しく口論する。一行はふたりを宥めつつ、ふたりの熱意を目の当たりにして緊張を覚えるのだった。,现身在姬塔一行人面前的是，自称为崩溃的马修的大胃王。马修似乎和雷德拉克有过故事，因此看到雷德拉克谈笑风生的样子，突然激动了起来。马修和开玩笑的雷德拉克激烈的争吵起来一行人在劝架的同时，也因目睹了两人的热情而感到紧张。
3,？？？,さっすが常勝のチャンピオン様は<br>ゆとりがあってええのう！<br>ワシらなんぞ眼中無いゆうことかい！,不愧是常胜的冠军大人啊，<br>真有闲心呢！<br>不把我们这样的人放在眼里吗！
4,,<span class='scene-font-katari'>現れた荒々しい巨躯の男は</span><br><span class='scene-font-katari'>がなり立てながら、</span><br><span class='scene-font-katari'>レッドラックをひと睨みする。</span>,<span class='scene-font-katari'>身形巨大的狂野男人出现，</span><br><span class='scene-font-katari'>在一旁站着，</span><br><span class='scene-font-katari'>盯着这边的雷德拉克一人。</span>
5,ビィ/碧,なんだぁコイツ？<br>喧嘩腰で噛みついてきやがってよぉ。,什么啊这家伙？<br>摆出一副想吵架的样子。
6,レッドラック,ちっ、やっぱりてめぇか。,切，果然是你这家伙啊。
7,ビィ/碧,おっさん、知り合いか？,大叔，是你的熟人吗？
8,レッドラック,ああ、腹立たしいことにな。,啊啊、真是让人生气。
9,レッドラック,こいつは、マッシュ。<br>その筋じゃ有名なフードファイターだ。,这家伙是，马修。<br>是肌肉出名的大胃王。
10,マッシュ,極潰しのマッシュたぁワシのことよ！<br>よう覚えとくんじゃの！,是崩溃的马修啊！<br>给我好好记住！
11,ルリア/露莉亚,は、はぁ……,哈、哇……
12,マッシュ,おう、レッドラック！<br>今日こそは負かしちゃるけぇ、<br>覚悟せいよ！,噢、雷德拉克！<br>这回你一定会输的，<br>做好觉悟吧！
13,レッドラック,はっ！<br>そのセリフも聞き飽きたぜ！,哈！<br>那台词我已经听饱了！
14,ルリア/露莉亚,はわわ……<br>すごく仲が悪そうです……,哇……<br>关系真的好差……
15,ビィ/碧,なんか因縁あるみてぇだけど、<br>ふたりはライバルってやつか？,好像之前有过什么故事，<br>这两个人是对手吗？
16,レッドラック,まさか。<br>いっつもこいつが勝手に<br>突っかかってくるだけだ。,怎么会。<br>总是这家伙擅自冲过来而已。
17,マッシュ,ほぉ、言ってくれるのう。,嚯，这么说吗。
18,,<span class='scene-font-katari'>うっすら青筋を立てたマッシュは</span><br><span class='scene-font-katari'>睨みを利かせながら、レッドラックに</span><br><span class='scene-font-katari'>ずいと顔を近付ける。</span>,<span class='scene-font-katari'>青筋爆出的马修，</span><br><span class='scene-font-katari'>一遍瞪着眼，一边将脸向雷德拉克靠近。</span>
19,マッシュ,ガキどもとワイワイ騒ぎよって……<br>ヤル気あるんかいの？　おん！,和小孩子一起开玩笑……<br>真的有干劲吗你？　嗯！
20,レッドラック,おい……そりゃ聞き捨てならねぇな。<br>だぁれが日和ってるって？,为……这话我可不能不理。<br>是谁在说笑啊？
21,マッシュ,<span class='scene-font-4'>おどれに決まっとろうが！</span>,<span class='scene-font-4'>当然是你吧！</span>
22,レッドラック,俺はフードファイトに命懸けてんだ！<br>遊びじゃねぇんだよ！,我可是为了大胃王比赛在拼命的！<br>不是在玩游戏！
23,マッシュ,ワシもタマくらい懸けとるわい！<br>偉っそうに言いよって！,我也是献出灵魂在努力的！<br>不要说那种大话！
24,レッドラック,<span class='scene-font-4'>んだとぉ！</span>,<span class='scene-font-4'>干嘛！</span>
25,マッシュ,<span class='scene-font-4'>なんじゃあ！</span>,<span class='scene-font-4'>什么！</span>
26,ビィ/碧,お、おい、落ち着けって！<br>周りのやつらも<br>ビビっちまってるからよ！,为，喂给我冷静一点！<br>周围的人都感到害怕了啊！
27,レッドラック,っと、悪ぃ……<br>少し熱くなっちまったな。,嗯、不好意思……<br>稍微有点热血上头。
28,マッシュ,ふん……,哼……
29,レッドラック,だがよぉ、マッシュ。<br>これだけは言わせてもらうぜ。,所以说，马修。<br>我就说这些。
30,レッドラック,今まで数え切れねぇほど大会を<br>制覇してきた俺だが……,至今为止在数不胜数的大赛上称霸的我……
31,レッドラック,この大会で勝たねぇことには、<br>真のフードファイターは名乗れねぇ！<br>今まで以上に、俺はマジだぜ！,说要在这个比赛中获胜，<br>获得真正的大胃王名声！<br>至今为止我说的都是真心的！
32,マッシュ,そがぁなこと、ワシも同じじゃ！<br>それにワシには、<br>優勝を届けたい人がおるけんの！,如果你这么说的话，我也是！<br>而且我也是，想要取胜的人！
33,レッドラック,ほぅ、そりゃ意外だな。<br>てめぇが他人のために気張る奴たぁ<br>思わなかったぜ。,嚯，那真是意外。<br>你看起来不是那种会为了别人努力的家伙啊。
34,レッドラック,まぁそうだわな。<br>お互い負けられねぇ理由があって<br>当然か。,嘛，也是啊。<br>我们都有不能输的理由，<br>也是当然的。
35,レッドラック,だったら、あとは料理の前で<br>語るしかねぇか……<br>俺達はフードファイターだからな！,那么，接下来就只能在料理前说了吧……<br>因为我们是食物战士！
36,マッシュ,<span class='scene-font-4'>当然じゃあ！</span><br>ぶち倒したるわい！,<span class='scene-font-4'>那不是废话！</span><br>我要打败你！
37,,<span class='scene-font-katari'>マッシュは荒々しく言葉を吐き捨て、</span><br><span class='scene-font-katari'>周囲の人間をかき分けて去っていく。</span>,<span class='scene-font-katari'>马修一边粗鲁的说，</span><br><span class='scene-font-katari'>一边拨开周围的人群离去。</span>
38,レッドラック,はん、上等だぜ。,嗯，不错。
39,レッドラック,なぁ姬塔、<br>ちょいとひとりにさせてもらうぜ。<br>またあとでな。,呐团长，<br>让我一个人带一下。<br>一会见。
40,,<span class='scene-font-katari'>レッドラックはひと言断りを入れ、</span><br><span class='scene-font-katari'>真剣な表情で</span><br><span class='scene-font-katari'>マッシュとは逆方向に去っていく。</span>,<span class='scene-font-katari'>雷德拉克说出拒绝的话，</span><br><span class='scene-font-katari'>带着认真的表情，</span><br><span class='scene-font-katari'>朝马修的反方向离去。</span>
41,ビィ/碧,な、なんかとんでもねぇもん<br>見ちまったな……,看、看到了不可思议的事情呢……
42,,<span class='scene-font-katari'>レッドラックとマッシュの</span><br><span class='scene-font-katari'>凄みのあるぶつかり合いに、</span><br><span class='scene-font-katari'>一行は緊張を覚えるのだった。</span>,<span class='scene-font-katari'>一行人紧张的看着雷德拉克和马修间的激烈碰撞。</span>
info,,,scene_evt200628_cp1_q3_s10
译者,,,
