id,name,text,trans
0-chapter_name,,第5話 ビリビリメグDAYS☆クロニクル,第5话 麻麻酥酥梅格DAYS☆年代记
0-synopsis,,メグを助けたのは、夢に見続けてきた白馬の王子様の条件に合致するアルベールという男だった。メグはデンキンナギという魚に襲われたそうだ。さらに話を聞こうとしたところアルベールは急に走り出し、その先には例の騎空団がいた。そしてデンキンナギとの戦いが始まる。傍から見ていたメグはついにキレた。そしてなにかを決意すると、故郷に帰ると宣言して島を発つのだった。,救了梅格的人是，和她一直梦寐以求的白马王子殿下条件一致的男人，阿尔贝尔。梅格似乎是被名为电鳗的鱼袭击了。而且正说着话，阿尔贝尔突然跑了出去，和那个骑空团汇合。于是他们和电鳗展开了战斗。旁观的梅格终于忍无可忍。然后像是下定了某个决心，说要回去了，离开了这座岛。
1,,<span class='scene-font-katari'>意識を取り戻すと、</span><br><span class='scene-font-katari'>メグは重いまぶたを開くよりも先に</span><br><span class='scene-font-katari'>そこがビーチであることに気づいた。</span>,<span class='scene-font-katari'>恢复意识后，</span><br><span class='scene-font-katari'>梅格在撑开沉重的眼皮前，</span><br><span class='scene-font-katari'>察觉到自己正处于沙滩上。</span>
2,,<span class='scene-font-katari'>背中一面に触れる熱い砂の感触と、</span><br><span class='scene-font-katari'>寄せては返す波の音が</span><br><span class='scene-font-katari'>生きている実感を与えてくれたのだ。</span>,<span class='scene-font-katari'>背后一整面贴着热砂的触感，</span><br><span class='scene-font-katari'>和若远若近的海浪拍打声，</span><br><span class='scene-font-katari'>让她感觉到自己还活着。</span>
3,,<span class='scene-font-katari'>そして自分の後頭部を支えてくれる</span><br><span class='scene-font-katari'>分厚い手のひらの感触も……</span>,<span class='scene-font-katari'>而且扶在自己头后部的厚实的手掌的触感也……</span>
4,メグ/梅格,<span class='scene-font-kokoro'>（男の人だ……</span><br><span class='scene-font-kokoro'>わたしを助けてくれたの？</span><br><span class='scene-font-kokoro'>まさか白馬の王子様……？）</span>,<span class='scene-font-kokoro'>（是位男性……救了我吗？</span><br><span class='scene-font-kokoro'>难道是白马王子殿下……？）</span>
5,メグ/梅格,<span class='scene-font-kokoro'>（……いや、ちょっと待った。</span><br><span class='scene-font-kokoro'>なんか以前にもこんなことが</span><br><span class='scene-font-kokoro'>あったような……）</span>,<span class='scene-font-kokoro'>（……不对，稍等一下。</span><br><span class='scene-font-kokoro'>总觉得之前也发生过同样的事……）</span>
6,,<span class='scene-font-katari'>恐る恐るまぶたを開くと、</span><br><span class='scene-font-katari'>なにか白いものが見えた。</span>,<span class='scene-font-katari'>战战兢兢地睁开眼，</span><br><span class='scene-font-katari'>她看到了某个白色的东西。</span>
11,メグ/梅格,う……ふんどし……？,呜……兜裆布……？
12,？？？,気がついたか。,你醒了啊。
13,メグ/梅格,え……？,诶……？
14,？？？,無理して起き上がる必要はない。<br>しかし、ふんどしとはいったい……？,不必勉强自己起身。<br>但是，兜裆布是指……？
15,メグ/梅格,<span class='scene-font-4'>えぇっ！？</span>,<span class='scene-font-4'>诶诶！？</span>
16,？？？,ん？,嗯？
17,メグ/梅格,<span class='scene-font-kokoro'>（金髪で……！）</span>,<span class='scene-font-kokoro'>（金色的头发……！）</span>
18,メグ/梅格,<span class='scene-font-kokoro'>（明るい瞳の色で……！）</span>,<span class='scene-font-kokoro'>（明艳的瞳色……！）</span>
19,メグ/梅格,<span class='scene-font-kokoro'>（憂いを帯びた顔つき……！）</span>,<span class='scene-font-kokoro'>（略带忧郁的神情……！）</span>
20,？？？,どうした？<br>どこか痛むのか？,怎么了？<br>是有哪里痛吗？
21,メグ/梅格,<span class='scene-font-kokoro'>（は、は、白馬の王子様……！）</span>,<span class='scene-font-kokoro'>（白，白，白马王子殿下……！）</span>
22,まりっぺ,メグ、気がついたの？<br>この人がアンタを助けてくれたのよ！,梅格，你清醒过来了吗？<br>是这个人救了你哟！
24,メグ/梅格,わたしを助けてくれた？<br><span class='scene-font-kokoro'>（てことは、正義感あふれるお方？</span><br><span class='scene-font-kokoro'>やっぱり白馬の王子様だよ……！）</span>,救了我？<br><span class='scene-font-kokoro'>（也就是说，是个充满正义感的人？</span><br><span class='scene-font-kokoro'>果然是白马王子殿下啊……！）</span>
25,メグ/梅格,そ、そうだったんですか……<br>助けて頂いてありがとうございます……<br>あのぉ、お名前は……？,是，是这样啊……<br>谢谢您救了我……<br>那个，您的名字是……？
26,アルベール/阿尔贝尔,アルベールだ。,我叫阿尔贝尔。
27,メグ/梅格,素敵なお名前……<br>ご、ご趣味は？,很棒的名字呢……<br>您的兴趣爱好是？
28,アルベール/阿尔贝尔,おい、大丈夫か……？<br>意識ははっきりしているのか？,喂，你没事吧……<br>确定意识还清醒吗？
29,まりっぺ,すみませ～ん！<br>このコ、まだちょっと<br>ショックで混乱してるみたいで～！,不好意~思！<br>这孩子好像因为冲击还有点混乱呢~！
