id,name,text,trans
0-chapter_name,,第1話 ガウェインの帰還,高文归来
0-synopsis,,一行はフロレンスの伝手を頼って魔導師団のメンバーから依頼を受けようとするが、ピートに邪魔をされて断念する。依頼を受けることすらままならない状況に一行が苦悩していると、ふらりと現れたハーヴィンの男が猫探しの依頼をする。男は署名の書類に「ルーソル」と名を書くと、猫が住み着いていた宿へ案内する。その様子を国民は怖々と遠巻きに見ているのだった。,一行人想要借助芙罗伦斯的地位之便向魔导师团的大家寻求帮助，可是却被皮特阻碍，只好放弃。一行人正在苦恼如何发布委托之时，突然出现的哈文族男生向众人寻求帮助，要他们寻找一只野猫。男子名叫路索鲁，在签下名字后，带着一行人去往野猫住的地方。住民们在远处心惊胆战地看着这一切。
1,,一行は、フロレンスの案内で\n魔導師たちが日夜魔術を\n研鑽する野外修練場を訪れる。,一行人跟随芙罗伦斯\n来到了魔导士们研究\n日夜魔术的野外修炼场。
2,フロレンス,実は、私はダルモア公国の\n魔導師団の長を務めているんですが……,其实我是达尔摩公国\n的魔导师团的团长……
3,フロレンス,その伝手を使って、魔導師たちから\n依頼を受けられないかと考えまして。,我想利用这一便利，通过魔导士们\n来接受委托
4,ビィ/碧,へぇ～！\n姉ちゃんこの国一の魔導師ってことか？\nやっぱりただ者じゃなかったんだなぁ！,咦~！\n姐姐原来是这个国家最厉害的魔导师。\n怪不得看起来不像是个普通人！
5,ルリア/露莉亚,フロレンスさんと親しいなら\nお話ぐらいは聞いてもらえそうですね！,跟芙罗伦斯比较亲近的人\n应该是能够好好听我们的话的！
6,ガウェイン/高文,すまない。\nお前にまで迷惑をかけて。,抱歉。\n给你们添麻烦了。
7,フロレンス,いえ、これぐらい\nなんでもありません。,没有的事。\n小事小事。
8,フロレンス,さぁ、行きましょう！,那我们那走吧！
9,,一行が修練場へ一歩踏み出した瞬間、\n前方から聞き覚えのある声がした。,一行人刚踏进修炼场，\n前方就传来了熟悉的声音。
10,ピート,おっと……\n一足遅かったな。,哦呀……\n晚了一步呢。
11,フロレンス,ピート……,皮特……
12,ピート,フロレンス。\nお前が魔導師どもを頼るのは、\n目に見えてたからな。,芙罗伦斯。\n你果然是想要\n找魔导师们帮忙啊。
13,ピート,悪いんだが……今回の署名の件で\n魔導師どもに協力させるのは\n禁止させてもらった。,不过呢……\n这回禁止找他们帮忙。
14,フロレンス,……なっ！\nあなたに何の権限があるんですか！,……什么！\n你有什么权利这么做！
15,ピート,勘違いするな……\nハイランド様の許可は得ている。,别搞错了……\n这可是有海兰德大人的许可的。
16,ピート,これは弟が乗り越えるべき問題だろ？\n仮にもこの国のお偉いさんである姉の\n権限を使うのは少しズルくないか？,这是你弟弟自己应该克服的事情吧？\n要动用你这个大人物的权利\n是不是太狡猾了点？
17,ガウェイン/高文,フン……\nどうせまた貴様が悪知恵を働かせて\n王をそそのかしたのだろう？,呵……\n肯定又是你动了什么坏心思\n跑去教唆王了吧？
18,ピート,ご名答！\nだが命令を破ってみろ？\n会談への参加も即、ご破算だ。,不愧是你！\n要不你试试违反命令？\n什么会谈啊的，立马就飞走了。
19,フロレンス,くっ……,……
20,ピート,それじゃあな。\nせいぜい足掻いてくれよ～！,那还请你们加油咯～！
21,,一行の間をかき分けるピートは、\n嫌らしい高笑いを残して去って行く。,皮特一边发出令人厌恶的笑声，拨开了一行人离开了。
22,ビィ/碧,ムキィ～！\n心底嫌なヤローだぜ、あのチョビ髭！,可恶～！\n太恶心了这个臭胡子！
23,ルリア/露莉亚,うぅ～絶対に負けません！\nまた街のみなさんに声をかけましょう！,我们绝对不能输！\n我们再去问问街上的大家！
24,フロレンス,ええ、このままでは終われません。,是的，不能就这么放弃！
25,ガウェイン/高文,…………,…………
31,,そうして、再び人通りの多い\n街中へ戻った姬塔一行は、\n手当たり次第に声をかけ始めた。,于是，姬塔一行人\n再次来到了热闹的街上，\n向大家寻求帮助。
32,ダルモアの民１,おいおい……\nガウェイン様とフロレンス様、\n懲りずにまだやってるぞ。,喂喂……\n高文和芙罗伦斯大人\n还没放弃呢。
33,ダルモアの民２,フロレンス様はいいとしても、\nガウェイン様と関わりたい\n物好きなんていないだろう。,芙罗伦斯大人还算可以，\n不过我想没人会想和高文\n大人扯上关系吧。
34,ダルモアの民１,あそこまで必死になるなんて\nなんか哀れだよな。,做到这种地步\n还真的是蛮可怜的啊。
35,ダルモアの民２,ああ、違いない。,啊啊，就是啊。
36,？？？,…………,…………
37,,一度は立ち止まって一行の話を\n聞いてくれた者も、ガウェインの\n姿を見るや否や、逃げ出してしまう。,就算有人停下来听一行人的话，\n只要一看到高文，\n就都立马跑开了。
38,ガウェイン/高文,ちっ……\nたかが依頼を受けるだけで\nこれほど難航するとはな。,切……\n发布个委托\n居然可以这么难。
39,フロレンス,ガウェインの顔を知らぬ者など、\nこのダルモアにはいませんからね……,这个达尔摩城内大概\n没人会不知道高文的大名吧……
40,ビィ/碧,おいおい……\nでもダルモアの国民から信頼を\n得なきゃならないんだろ？,喂喂……\n可是我们必须要重新取得\n达尔摩国民的信任啊？
41,ルリア/露莉亚,う～ん……困りました……,啊……好难啊……
42,,頭を抱える姬塔たちの傍に\nひょこひょこと近づいて来る者の\n姿があった。,就在姬塔一行人困扰之时，\n有个人一点点地\n靠了过来。
44,？？？,ねぇねぇ、猫探してくれない？,那个，请问可以帮我找到我的猫吗？
45,ガウェイン/高文,は……？,啊……？
46,？？？,お世話になってる宿に住み着いてる\n太った野良猫が\n数日前から行方不明でさ～,我家有只野猫，最近不见了，\n之前一直照顾着它，给它地方住。
47,？？？,その猫ちゃんを可愛がってた\n宿屋のおばあちゃんが\n元気なくなっちゃって……,旅店的婆婆一直照顾着它，\n最近因为找不到它没有精神……
48,？？？,それを見てたらなんか僕まで悲しく\nなってきちゃってさ……ううう……,看到婆婆的样子我也很难过……\n呜呜呜……
49,ガウェイン/高文,お、おい……泣くんじゃない！,喂、喂……别哭啊！
50,フロレンス,あ、あなたはガウェインが\n恐ろしくないのですか？,你、你不怕高文吗？
51,？？？,……えっ？　なんで？\nそのガウェインて人の\n何が恐ろしいのさ？,哎？ 什么？\n高文他很恐怖吗？
52,？？？,さっきからおたくら見てたんだけど、\n騎空団かなんかへの依頼者を\n探してるんでしょ？,刚才开始我就看着你们了，\n你们在找委托发布者吧？
53,？？？,必死になって頼んでるのに\nみんなに避けられてて、\nむしろ哀れだなぁって──,这么拼命大家还躲着你们，\n我是觉得你们很可怜。
54,ガウェイン/高文,なんだと？,什么？
55,ダルモアの民１,お、おい……\nあのハーヴィン命知らずか！,喂……\n那个哈文族不怕死吗！
56,ダルモアの民２,ガウェイン様にあんな口きくなんて\n殺されるぞ……,这么说高文是会被杀掉的哦……
57,？？？,……って、\nあそこの人たちが言ってたんだよね～,刚才那边的人是这么说的～
58,ダルモアの民達,ええーっ！,额！
59,,ハーヴィンの男に指を指されて\n慌てて物陰に身を隠す民たち。,这个哈文族指着\n远处慌忙藏身的民众。
60,ガウェイン/高文,……貴様、ダルモアの民ではないな？,……你不是达尔摩的人？
61,？？？,うん、旅人だけど？\nそれが何か？,嗯，我旅行到这里。\n的那又怎么了？
62,ガウェイン/高文,であれば依頼は引き受けられん。\n俺が求めているのは、\nダルモア国民からの依頼だからな。,那我就不能接受你的委托。\n我现在只接受\n达尔摩国民的委托。
63,？？？,<span class='scene-font-4'>ええーっ！　なんでさぁー！</span>\nケチー！　石頭の分からず屋―！\nバカアホマヌケー！,<span class='scene-font-4'>啊啊！？ 什么啊！</span>\n小气！ 木鱼脑袋！\n傻瓜笨蛋！
64,ガウェイン/高文,なっ！　言わせておけば！,什……！  你这么说我也不会接！
65,フロレンス,……ガウェイン！\nここは黙って依頼を引き受けなさい。,……高文！\n别说了，这个委托就接下吧。
66,ガウェイン/高文,だが、今は無駄なことを\nしている場合では……,可是现在是做这些\n无用功的时候吗……
67,フロレンス,無駄ではありません、\n周囲の者はあなたの一挙一動に\n注目しています。,不是无用功，\n周围的人都在\n看着你的一举一动。
68,フロレンス,今はこの方の依頼を引き受けて、\nあなたの変化を少しでも周囲に\nアピールする時です。,你现在接了这份委托，\n周围的人也或多或少\n对你会有所改观。
69,ガウェイン/高文,なるほど……一理あるな。\nこいつの態度は癪に障るが\n今は藁にもすがりたいからな。,确实……有道理。\n虽然这家伙的态度不行\n还是死马当活马医吧。
71,ガウェイン/高文,……仕方ない。\n俺が猫探しとやらを引き受けて──,……没办法。\n那我就帮你找猫吧──
72,,──だが、ハーヴィンの男は、\nいつの間にかガウェインの\n隣から姿を消していた。,可是，这个哈文族\n又不知道\n什么时候窜到了别处。
73,ガウェイン/高文,むっ……！？,啊……！？
74,？？？,へぇ～っ！\n君の名前はビィって言うんだね～！\n空飛ぶ赤い竜なんて痺れるぅ～！,咦！\n你叫碧啊！\n会飞的红龙，也太帅了～！
75,ビィ/碧,えへへっ！　まぁな！\nで、こっちの蒼い髪の子がルリアだ！,嘻嘻嘻！\n这边青色头发的孩子叫露莉亚！
