id,name,text,trans
0-chapter_name,,第4話 何かが変わる夜,
0-synopsis,,ヴェインの天幕を後にした一行は木の下で落ち込んだ様子のアーサーを見つける。一行が声をかけると、アーサーは強くなることが怖いと本音を吐露する。そんなアーサーに姬塔やルリアは自分達が強くなりたい理由を語る。話を聞いたアーサーはルリア達の覚悟を受け止め、自分の目指す強さとはなんなのか考えるのだった。,
2,,手当てを終えた姬塔達は\nヴェインの天幕を出る。,
3,ビィ/碧,さて、オイラ達も\n自分のテントに戻って……,
4,アーサー/亚瑟,…………,
5,ルリア/露莉亚,あ……\nあの木の下にいるの、\nアーサーくんじゃないですか？,
6,ビィ/碧,あちゃー……\n随分と落ち込んでるみてぇだなぁ。,
7,,顔を見合わせた姬塔達は、\nアーサーの元に近づく。,
8,ルリア/露莉亚,アーサーくん。,
9,アーサー/亚瑟,あ、皆さん……,
10,ルリア/露莉亚,お邪魔じゃないですか？\n少し、お話ししませんか？,
11,アーサー/亚瑟,……はい。,
12,,頷いたアーサーに寄り添うように\n姬塔達も木の下に\n腰を下ろした。,
13,アーサー/亚瑟,さっきは……\nごめんなさい。,
14,ルリア/露莉亚,どうして謝るんですか？,
15,アーサー/亚瑟,俺の所為で、みんなが危ない\nところでした。ヴェイン副団長にも\n迷惑かけちゃったし……,
16,ビィ/碧,夕方もちょっと様子がおかしかったし\nお前、なんか悩みでもあんのか？,
17,アーサー/亚瑟,悩み……,
18,アーサー/亚瑟,俺、最近ずっと調子が\n良かったんですよ。,
19,アーサー/亚瑟,自分の身体が思い通りに動いて、\n新しい技を編み出して、\nモルドレッドに勝ち越して……,
20,アーサー/亚瑟,あー強くなってきたんだなぁ！\nって思ってました。,
21,ビィ/碧,オイラから見ても\nお前、強くなってんなぁって\n思ったぜ。,
22,アーサー/亚瑟,ありがとう。\nでも今日、久しぶりに\n実戦に出て……,
23,アーサー/亚瑟,怖くなりました。,
24,アーサー/亚瑟,俺の身体に、\n俺の意識がついてきてない、\nみたいな……,
25,ビィ/碧,うーん……ずっと見てるわけじゃ\nねぇからよくわかんねぇけど、\n成長が、急すぎるのかもな。,
26,アーサー/亚瑟,言い訳は、できないです……,
27,アーサー/亚瑟,さっきの魔物にも、\n中途半端に迷った所為で\n余計に苦しめちゃいました。,
28,,アーサーは膝を抱える腕に\nぎゅっと力を込める。,
29,アーサー/亚瑟,俺が強くなりたいのは\nみんなを守りたいからなのに……,
30,アーサー/亚瑟,俺の剣は、モルドレッドを\n傷つけるところだった……！,
31,アーサー/亚瑟,姬塔さん。\n姬塔さんは怖くないですか？,
32,,アーサーは、縋るような目で\n姬塔を見る。,
33,アーサー/亚瑟,姬塔さんは俺と\n歳もそんなに変わらないのに\nすごく強くて……,
34,アーサー/亚瑟,しかも、会うたびにまだ\nどんどん強くなってますよね。,
35,アーサー/亚瑟,すごいなぁって\n尊敬してるんですけど……,
36,アーサー/亚瑟,強くなるのが怖いって思うこと、\nありませんか？,
36-sel1_txt,,怖いよ,
36-sel2_txt,,もっと強くなりたい,
38,アーサー/亚瑟,本当ですか！？\nじゃあ、どうやってその気持ちを\n克服してるんですか！？,
39,,アーサーの問いに姬塔は\n「怖くても、立ち止まるわけには\nいかないから」と答えた。,
40,,「お父さんに会いたいからね」\nと姬塔は言う。,
42,アーサー/亚瑟,もっと、かぁ……\n俺にも、そう思う気持ちは\nあるんですけど……,
43,,「お父さんに会いたいからね」\nと姬塔は言う。,
44,アーサー/亚瑟,そっか……\n姬塔さんの旅は、\nお父さんに会うためなんですよね。,
45,,姬塔は頷き、\n「それから」と続ける。,
51,,今は、一緒に旅をするたくさんの仲間を\n守るためにも、強くありたい。,
52,,そんな姬塔の言葉に、\nルリアがしっかりと頷いた。,
53,ルリア/露莉亚,そうですね……\n私も、同じです。,
54,アーサー/亚瑟,ルリアさんも？,
59,ルリア/露莉亚,私、旅を始めたばかりの時は\n何もできなくて、\n何も知らなくて……,
60,ルリア/露莉亚,守られるだけの自分が\nあんまり好きじゃなかったんです。,
61,ルリア/露莉亚,でも今は、\n姬塔と並んで戦えます！,
62,ルリア/露莉亚,星晶獣の皆に力を借りて戦うので、\n私自身の力は\n大したことないんですけどね。,
63,,「そんなことないよ」と\n姬塔はルリアの手を握った。,
64,ルリア/露莉亚,ふふ、ありがとうございます。,
65,アーサー/亚瑟,ルリアさんは\n姬塔さんと一緒に\n戦いたかったんですね。,
66,ルリア/露莉亚,力に、なりたかったんです。,
67,ルリア/露莉亚,……確かに、力を持つって\nとっても重いことだなって思います。,
68,ルリア/露莉亚,相手が誰であっても、\n傷つけるのはつらくて怖い……,
69,ルリア/露莉亚,でも、大切な人がいるから。\n一緒に歩いていきたい仲間がいるから。\n絶対に失いたくないんです。,
70,ルリア/露莉亚,何もできず、失ってから\n後悔するのだけはいやだから……\nだから……,
71,ルリア/露莉亚,うぅ、ごめんなさい。\nうまく、言葉にできなくて……,
72,アーサー/亚瑟,いいえ。\nルリアさんの優しい強さが、\n覚悟が、伝わってきました。,
73,アーサー/亚瑟,……ふぅ。,
74,,長く息を吐き出したアーサーは\n暗い夜空をあてもなく見上げる。,
75,アーサー/亚瑟,俺も、もっとちゃんと考えないと。,
76,アーサー/亚瑟,俺が目指す強さって\nどこにあるのかな……,
info,,,scene_evt210927_cp4_q2_s10
译者,,,
