id,name,text,trans
0-chapter_name,,第3話 広がる戦火,第3话 扩散的战火
0-synopsis,,戦場に戻ったバルドルだが、戦闘に身が入らず、空の民を見逃すなど、明らかに様子が変わっていた。フレイはバルドルが空の民の子供に絆されたことを知り、心配する。別戦地への移動中、バルドルはサテュロスと知り合う。サテュロスとの会話で空の民の話題になり、バルドルは二度とマドルとコーナには会えない方がいい、と口にするも、その胸中には本人も気づかない悲しみがあるのだった。,虽然巴德尔回到了战场，但明显态度有点异常，在战斗中无法集中精力，甚至会放跑空之民。弗雷得知巴德尔对空之民的小孩有了感情，有所担忧。在去往别的战场的路上，巴德尔认识了萨提洛斯。与萨提洛斯的对话时聊起了空之民的话题，虽然巴德尔嘴上说最好不要再和马德尔和蔻娜见面，心中却充斥着本人也没有自觉的悲伤。
8,,マドルとコーナのもとから\nバルドルが姿を消してから、\n幾ばくかの時が流れた。,自巴德尔从马德尔和蔻娜身旁离开后，时间又过了很久。
9,空の民４/空之民４,くそぉ……死にたくねぇ……\nシェイラ、お前を残して……！,可恶……我不想死……\n谢拉，留下你一个……！
10,バルドル,…………,…………
12,バルドル,……行け。,……走吧。
13,空の民４/空之民４,え……？,诶……？
14,バルドル,<span class='scene-font-4'>さっさと消えろ！</span>\n俺の気がかわらないうちに！,<span class='scene-font-4'>赶紧滚开！</span>\n趁我还没改变主意！
20,フレイ/弗雷,バルドル……,巴德尔……
21,バルドル,…………,…………
22,フレイ/弗雷,また戦場で敵を\n逃がしたとか？,听说你又在战场上放跑了敌人？
23,バルドル,それで？,所以？
24,フレイ/弗雷,いいえ……,不……
25,フレイ/弗雷,君が戻ってきてくれたことは\n素直に嬉しい。,我单纯对你回来而感到开心。
26,フレイ/弗雷,あの時……私を庇って砲撃の\n直撃を受けた君が\n戦場から姿を消した時は……,那时候……\n你为了保护我而遭受了炮击，\n从战场消失的那天……
27,フレイ/弗雷,もう駄目かと思いましたから。,我以为你已经不行了。
28,フレイ/弗雷,けれど、戻ってきてからの\n君は、明らかにおかしい。\nいったいどうしたと言うんです？,但是，回来之后的你，明显很奇怪。\n到底发生了什么？
29,バルドル,おかしいのか？\n俺が？,我很奇怪吗？
30,フレイ/弗雷,おかしいに決まっている。,很奇怪。
31,フレイ/弗雷,あれほど苛烈に、\n輝かしい程に容赦なく剣を振るい\n数多の空の民を葬ってきた君が……,曾经挥舞着那样苛烈、\n毫不留情到让人觉得耀眼的剑，\n葬送众多空之民的你……
34,フレイ/弗雷,今は見る影もない。\nどこか身体に不具合が？\n怪我はもう治っているはずでは？,现在已经毫无当时的踪影。\n是身体哪里不舒服吗？\n伤口应该已经治好了吧？
35,バルドル,身体に問題はない。,我的身体没有问题。
36,フレイ/弗雷,それじゃあ、何故……,那究竟是为何……
37,フレイ/弗雷,怪我を癒す間に、\n君にいったい何が？,在伤痊愈的期间，\n你究竟遭遇了什么？
38,バルドル,…………,…………
39,フレイ/弗雷,バルドル？,巴德尔？
40,バルドル,……空の民の子供に、会った。,……我遇到了空之民的，孩子。
41,フレイ/弗雷,空の民に……！？,空之民……！？
42,バルドル,怪我の治療に、\n手をかしてもらっただけだが。,只是他们帮助治疗了我的伤而已。
43,フレイ/弗雷,……殺してきたのですか？,……你杀了他们吗？
44,バルドル,いいや。\n戦場で会ったわけでもない。,没有。我又不是在战场上遇到的。
45,フレイ/弗雷,だからと言って……\n殺せない相手ではなかったでしょう。,就算如此……那并不是杀不掉的对手吧。
