id,name,text,trans
0-chapter_name,,第2話 温泉街を楽しもう！,第2话 享受温泉街吧！
0-synopsis,,一行が温泉街を満喫している頃、アルベールとユリウスは路地裏にいた。温泉街の利益が順調に上がることを喜ぶ一方で、オードリックが着々と議場で支持を集め、きちんと実績を出すからこそ反発する勢力が現れないかと心配するユリウス。場所は変わり、閉鎖された闘技場では有力諸侯のガリアとオードリックの実弟ヴィクトルがおり、ガリアが何やら計画について報告をしているのだった。,一行人游玩温泉街之时，阿尔贝尔和尤里乌斯正在小巷里。尤里乌斯一方面为温泉街的盈利顺利上升感到欢喜，一方面又担心由于奥德里克稳步收集议会支持，并且获得实绩的话可能会出现反对势力。另一边，紧锁的斗技场里，有力诸侯的加利亚和奥德里克的弟弟维克多正身处于此，加利亚似乎在报告着关于什么的计划。
1,,姬塔達が温泉街を\n散策している頃、温泉街から１本裏へ\n入った路地にふたりの人物がいた。,姬塔他们在温泉街散步的时候，\n温泉街某一条深处的小巷里有两个人聚在一起。
2,アルベール/阿尔贝尔,温泉街の組合長も嬉しそうだったな。\nどのエリアも利益が右肩上がりに\nなっているという話だったが。,温泉街的工会会长似乎也很高兴。\n哪个区域都是经济上涨的态势呢。
3,ユリウス/尤里乌斯,これだけ活気がつけば当然だろう。\nそろそろ混雑が発生した場合の対策を\n考えなければならないね。,都这么促进活跃了那是当然。\n也差不多要考虑发生拥挤时候的对策了呢。
4,アルベール/阿尔贝尔,レヴィオンにこれほど観光客が\n集まる日が来るとは思っていなかった。,从没想过雷维翁有一天会聚集这么多游客。
5,ユリウス/尤里乌斯,まぁ、陛下の入れ込みようを見れば\n妥当な結果なのかもしれないがね。,嘛，看看陛下那投入的样子，\n这应当是十分妥当的结果了。
6,アルベール/阿尔贝尔,お前が陛下に資料の集め方を教えてから\nというもの、陛下は本当に変わった。\n一体陛下に何を言ったんだ？,自从你教了陛下收集资料的方法后，\n陛下真的改变了很多。\n你到底对陛下说了什么？
7,ユリウス/尤里乌斯,特別なことは何も。\n私はただ陛下の話を聞き、裏付けとなる\nデータを一緒に探しているだけさ。,没什么特别的。\n我只是听取陛下的发言，\n一起寻找能作为佐证的数据而已。
8,ユリウス/尤里乌斯,勉強会の間は、対策本部室長としての\n意見も言わないようにしている。\n議論が目的ではないからね。,在学习会的期间，\n我不会作为对策本部室长说出意见。\n毕竟议论不是我们的目的。
9,アルベール/阿尔贝尔,だが陛下の交易都市化計画の話は、\nとてもおひとりで考えられたものとは\n思えないほど方針がはっきりしていた。,但是陛下那个贸易都市化计划，\n方针非常清楚明晰，\n让人觉得不是他一个人能想出来的。
10,ユリウス/尤里乌斯,あれは間違いなく、\nおひとりで考えられたものだよ。\n思いついたのは５年も前のことらしい。,那个确实是他一个人考虑的哦。\n似乎5年之前就有想法了。
11,アルベール/阿尔贝尔,そんなに前から？,那么久之前吗？
12,ユリウス/尤里乌斯,父王にも提案はしていたそうだ。\n取り合ってもらえなかったようだが。,似乎也向父王提议了。\n但并没有被采用。
13,ユリウス/尤里乌斯,まぁ、無理もない。\n変化を好まないこの国において、\n陛下の考え方は斬新すぎるからね。,嘛，也难怪。\n毕竟对于这个不喜变化的国家来说，\n陛下的想法过于新颖了。
14,アルベール/阿尔贝尔,……なるほどな。,……原来如此啊。
15,アルベール/阿尔贝尔,それにしても、\n議場での陛下を見ていると驚くよ。\nひと度口を開けば、場の空気が変わる。,话说回来，在议会看到的陛下真让人吃惊。\n但凡他张口说话，就会改变现场的氛围。
21,都市部の諸侯,資料の内容は確認出来ましたね。\nそれで、今後の方針ですが……,资料的内容已经确认了吧。\n那么关于今后的方针……
22,ガリア/加利亚,温泉街に更なる技術提供を、と……\n確かにこれまでの投資が実り、\nあそこも収入源になってきましたが……,对温泉街提供进一步的技术么……\n确实至今的投资都有回报，\n那边也成为了一个收入源头，但……
23,地方の諸侯,これだけ収益があれば、\n温泉街の方は十分でございましょう。\nそれよりもそろそろ私の地域にも……,有这些收益的话，\n对温泉街那边来说已经足够了吧。\n比起这个差不多该轮到我的地域……
24,アルベール/阿尔贝尔,（やはり大々的に変えようとしても、\n諸侯達の顔色は芳しくないな）,（果然一提到大变动，\n诸侯们的脸色都显得不太满意啊）
25,ユリウス/尤里乌斯,（仕方あるまい。この国のことだ。\n少しずつ変えていくしか……）,（没办法。毕竟这个国家就是这样。\n只能一点点改变了……）
26,オードリック/奥德里克,…………,…………
29,都市部の諸侯,陛下……？\nどうかなさいましたか？,陛下……？\n您怎么了吗？
30,オードリック/奥德里克,えっと……,那个……
31,オードリック/奥德里克,すぅ……はぁ……,吸……呼……
32,オードリック/奥德里克,レヴィオンは、強き国です。\n最強の騎士団を抱え、武の力をもって\n国を導き、今日まで歩んできました。,雷维翁是强大的国家。\n拥有最强的骑士团，\n持有武力引导国家走到现在。
