id,name,text,trans
0-chapter_name,,第4話 ヘンテコ野郎の降霊術,第4话 怪胎的降灵术
0-synopsis,,玉座の間にて、ライザリッドはライログールの降霊を目の当たりにする。呪文を唱えたライログールは虚ろな様子になったかと思うとグルザレッザの口調で話し出し、ライザリッドの帰還を喜ぶ。ライザリッドは敬愛するグルザレッザに褒められて感激の涙を流し、ライログールの降霊術を信じてしまうのだった。,在王座厅，莱萨利德亲眼目睹了莱洛古尔的降灵术。念诵咒语的莱洛古尔才刚露出一副神情恍惚的样子，随即就用古扎雷萨的口吻说起话来，并对莱萨利德的归来感到欣喜。莱萨利德受到他敬爱的古扎雷萨的赞扬，流下了感激的泪水，就此相信了莱洛古尔的降灵术。
2,ライログール,その目で、その耳で、その口で……\nしかと交信するがよし～～！！,就用你自己的眼睛，你自己的耳朵，你自己的嘴……好好地与他沟通交流吧～～！！
3,教団シャマスの信徒達,敬愛するオヤジ、グルザレッザ様よ……\n愚鈍なる我らが前に、どうか……！\nそのお姿をお見せくださいませええッ！,敬爱的老大，古扎雷萨大人啊……请务必在我等愚钝之辈面前……！展现您的身姿吧！
4,,鬼気迫る表情を浮かべる\nライログールは黄金の偶像を掲げ、\n天に祈りを捧げる。,莱洛古尔浮现出鬼气逼人的表情，高举黄金偶像，朝天献上祈祷。
5,,その祈りが聞き届けられたのか、\n突如、周囲は白煙に包まれ、\n雷鳴が轟く。,恰似祈祷成功传达一般，周围霎时间被白烟包围，雷声轰鸣。
6,ライザリッド,な、何が起きるというのだ！？,这、这是……到底会发生什么！？
7,ライログールの声,ふんむぅ～……\n吾輩のもとへ降りるがよし……\n降りるがよし……降りるがよしぃ～……,哼哼唔～……快降临到吾辈身边……降临吧……降临吧～……
8,,ライログールに続き、\n信徒達も同様にぶつぶつと呪文を唱え、\nただひたすらに天に祈りを捧げ続ける。,继莱洛古尔之后，信徒们也同样念念有词地诵唱着咒文，不停地向天祈祷。
9,ライログールの声,ひゃいいいいいいいいい！！！,呀啊啊啊啊啊啊啊啊！！！
18,,次の瞬間、目映い光が発せられ、\n視界を覆っていた白煙が晴れていくと\n静寂が訪れる。,下一个瞬间，一道耀眼的光芒迸发，待遮蔽视野的白烟散去后，寂静降临。
19,ライログール,…………,…………
20,ライザリッド,…………,…………
21,ライログール,ヌハ、ヌハハハッ……！,唔哈、唔哈哈哈……！
22,ライザリッド,オヤ、ジ……？,老、大……？
23,ライログール,ふぁ、ふぁふぁ家族が一致団結をし、\n武器を手に……ほ、本能のまま暴れ回る\nその姿に俺は感動すら覚えるぞ。,家、家家家族团结一致，手持武器……\n顺、顺从本能大闹一场的样子十分打动我。
24,ライログール,必ずや我らの手で\nせ、世界から自由を奪う偽りの王を\n排斥するのだ！！,我等一定要亲手，将、将那些夺走全世界自由的虚伪之王驱逐出去！！
25,教団シャマスの信徒達,ヒィィィハァァッ！！\n奔放に暴れ回れる自由と共にいいっ！\nウィ～～シャマスゥ！！,咿——哈——！！与恣意妄为的自由同在！\n我等～～夏玛斯！！
26,ライザリッド,ほ、本当にオヤジなのが……？,真、真的是老大吗……？
27,,ライザリッドは真偽を確かめるべく、\n震えるその足で一歩一歩、\n玉座へと近付いていく。,为了确认真伪，莱萨利德用他那颤抖的双腿一步一步向王座靠近。
28,ライログール,ククク……\n家出息子が、や、やっと舞い戻ったか。,呵呵呵……我那离家出走的儿子，终、终于回来了吗。
29,ライログール,我らがオダヅモッキー・ギャングスタは\nな、無くなりはしたが……,我等的黑帮·奥达兹莫奇，虽、虽然已经不复存在……
30,ライログール,きょ、教団シャマスこそが、\nお前の新たなる家であり、家族だ。,这、这个夏玛斯教团，正是你的新家，你的新家人。
31,ライザリッド,…………,…………
32,ライログール,しかし……\n見違える程の成長を遂げたのだな。\nま、まさに漢の中の漢じゃあないか！,不过……这可真是判若两人啊，你成长得如此出色。这、这副模样不正是男子汉中的男子汉吗！
35,ライザリッド,オヤジィ……\n会いてがったぜ……,老大……我总算见到你了……
36,,敬愛するグルザレッザに\n最高の褒め言葉を貰い、\n泣き崩れるライザリッド。,从敬爱的古扎雷萨那里得到了最高的赞美之词，莱萨利德激动得泣不成声。
37,,そんな彼を見て、\n信徒達もまたもらい泣きを\nするのであった。,看他那副模样，信徒们也跟着感动落泪。
info,,,scene_evt220429_cp4_q4_s10
译者,,,朔夜Rei
