id,name,text,trans
0-chapter_name,,第3話 俺氏、トライ＆エラってる,第3话 我，不断尝试&报错
0-synopsis,,夕飯の買い物帰りのローアイン、エルセム、ヤイア、アルドラは、哀愁漂うトモイを発見し駆け寄る。明らかに何かあったと、ひと目でわかるトモイの姿。しかし、ローアインとエルセムは、トモイがここにいる理由をあえて聞かず、いつも通りに接する。優しく見守ってくれるローアインとエルセムの優しさに加え、ヤイアとアルドラに慰められたトモイは、人の温かみを感じるのであった。,采购晚餐材料归来的路上，罗艾因、艾尔塞姆、丫丫和阿尔多拉发现了忧伤的托莫伊。一看托莫伊的样子就知道发生了什么。但是罗艾因和艾尔塞姆完全不问发生了什么，一如既往地对待他。加上丫丫和阿尔多拉的安慰，托莫伊感受到了伙伴们的温暖。
1,トモイ/托莫伊,…………,
2,,夕陽に照らされた\nトモイの背中からは、\n哀愁が漂いまくっていた。,在夕阳的照耀下，托莫伊的背影散发出一股哀愁的气息。
3,トモイ/托莫伊,フーちゃんに釣り合う男になる、か……,要成为配得上小芙的男人吗……
4,トモイ/托莫伊,（ミジンコみてーな俺が\nよくもそんな大層なことを\n考えたもんだよな……）,(水蚤一般渺小的我竟然会去想这么夸张的事……)
5,トモイ/托莫伊,（とんだハッピー野郎だったぜ……\nあーあ。穴があったら入りたいってか、\n一生涯そこで暮らしてーわ……）,(真是个爱做梦的家伙……啊啊。要是有洞我都想钻进去过一辈子算了……)
9,アルドラ,ちゃーはん、ちゃーはん！,炒饭！炒饭!
10,ローアイン/罗艾因,マジでわかりみ深いわ。\nヤイアちゃんのチャーハン食えるとか、\n俺らもテンアゲだもんなー,我懂我懂。能吃到丫丫的炒饭我们也很高兴。
11,エルセム/艾尔塞姆,あれ、なんか特別な\n調味料とか入ってんの的な？\nバビるほどウマいんだけど。,里面加了什么特别的调味料吗?好吃到颤抖抖。
12,ヤイア/丫丫,えへへーーよかったー\nヤイアのあいじょーがたっぷり\nはいってるんだよー,哎嘿嘿。太好了。里面加了丫丫的爱哦。
13,エルセム/艾尔塞姆,なーる。\nそりゃレベチの味になんのも\nわかるわー,原如。怪不得有种非同一般的味道。
14,アルドラ,あれー？\nあそこにいるの\nトモイしゃんでしゅか？,咦?在那边的是托莫伊吗?
18,エルセム/艾尔塞姆,ん？　あれ？？\nイルザ教官とこに\n特訓に行ったんじゃなかった的な？,嗯?咦? ?他不是跟伊尔莎教官一起去特训了吗?
19,ローアイン/罗艾因,つか、服装まで変わってんべ。\nパーペキなんかある系だわ。,连服装都变了。肯定是发生什么事了。
23,エルセム/艾尔塞姆,おーい！\nトモちゃ──,喂！托莫——
24,ローアイン/罗艾因,ちょ待てし。\nあの背中、見てみ？\nまたなんか背負ってね？,等一下。你看他的背上吗？是不是有什么东西？
25,エルセム/艾尔塞姆,あーね。いや、黒いオーラあるわ。\nいつものノリだと逆にしんどい？\nＤｏすっかな……,是啊。那是黑色的气场。和平常一样去搭话会让他更沮丧吧?肿么办……
26,,ローアインとエルセムが\nどうするのか思案していると\nヤイアとアルドラが駆け出していく。,罗艾因和艾尔塞姆正在思考怎么办，丫丫和阿尔多拉跑了过去。
27,ヤイア/丫丫,トモイちゃーん！\nどうしたのー？,托莫伊，怎么了?
28,アルドラ,どうちたのー？,怎么了?
29,ローアイン/罗艾因,……あ、コレが正解だわ多分。\n穢れなき優しみに触れて\n癒されるターン的な。,……啊，这应该是正确答案吧。这时候应该让天真无邪的温柔去治愈他。
30,エルセム/艾尔塞姆,あーね。\nんじゃ、ふたりの力を拝借して\nワッショイ元気つけちまおうぜ！,没错。就借助她们两个的力量鼓励托莫伊吧!
31,,にこやかに駆けてくる\nヤイアとアルドラを見て、\nトモイは咄嗟に涙を拭う。,看见笑着跑过来的丫丫和阿尔多啦，托莫伊赶紧擦干眼泪。
32,トモイ/托莫伊,あ…………んっと……,啊…………唔……
33,トモイ/托莫伊,なになになに？\n相変わらず元気だなー\nどっか出かけてたん？,怎么了怎么了?还是一样很精神啊。你们刚才出去了?
34,アルドラ,ローアインしゃんとエルセムしゃんと\nおかいものー！,和罗艾因艾尔塞姆一起去买东西了!
35,アルドラ,きょうはね、\nヤイアおねーたんが\nちゃーはんつくってくれるんでしゅ！,今天，丫丫姐姐给我做炒饭吃了!
36,トモイ/托莫伊,それ、うぃーねー！\nヤイアちゃんのチャーハン、\nマジ絶品だもんな。,那真好!丫丫做的炒饭可是绝品。
37,ヤイア/丫丫,…………？,
40,ローアイン/罗艾因,トモちゃん……,托莫亲……
41,トモイ/托莫伊,よう、ダチ公……,哟，朋友们……
42,ローアイン/罗艾因,とりま、グラサイ戻んべ。\nシーメー食わなきゃ、\n力もでねーし。,总之，先回格兰赛法吧。不吃饭就没力气了。
43,エルセム/艾尔塞姆,それな。\n今日はヤイアちゃんシェフの\nサポート張り切んべ。,是啊。今天咱们都是丫丫主厨的帮衬。
44,トモイ/托莫伊,お前ら……,你们……
45,ローアイン/罗艾因,ん？,嗯?
46,トモイ/托莫伊,なんで何も聞かねーのよ。\n頭ん中、\nクエスチョンだらけだろ？,为什么什么都不问。你们应该很疑惑吧?
47,トモイ/托莫伊,何その服、白スーツどしたんとか……\n鍛えるっつったのに\nここで何してんのとか……,这身衣服怎么回事，白西装去哪了……明明说要锻炼的，在这里干什么呢……
48,ローアイン/罗艾因,……つか、聞くもなにも、\nトモちゃんしゃべりたけりゃ\n自分から話すっしょ？,……问不问是其次，如果托莫亲想说的话，自己也会告诉我们的不是吗?
49,エルセム/艾尔塞姆,そそ。つか、今俺ペコなんだわ。\nしゃべりてーなら、\nシーメー食いながらっしょ。,对。总之，我现在快饿死了。要聊天就边吃边说吧。
50,トモイ/托莫伊,っだよ……おい……,怎么回事啊……喂……
51,ふたり/两人,…………,
52,トモイ/托莫伊,お前ら優しみ溢れ過ぎだろ……\n全空の母かよ！,这也太温柔了吧……你们是全空的母亲吗!
53,ローアイン/罗艾因,え、今更気づいたん？\nトモちゃん、察し悪くね？,诶，现在才察觉到?托莫亲太迟钝了吧?
54,エルセム/艾尔塞姆,ですよねー,是啊。
57,トモイ/托莫伊,う、うう……ひっく……,呜呜呜……呜呜……
58,ヤイア/丫丫,トモイちゃん、だいじょうぶ？\nどこかいたいなら、ヤイアが\nなでなでしてあげるよー？,托莫伊，你还好吗?哪里痛的话，丫丫帮你揉揉。
59,トモイ/托莫伊,あーメンゴメンゴ。\nちょい目にゴミが入ったっつーか……\n頭がゴミになったっつーか……,哦，抱歉抱歉。我只是眼睛里进了垃圾……不如说我的脑子都变成垃圾了……
60,ヤイア/丫丫,そうなのー？\nなら、よかったー,是吗? 那就好。
61,ふたり/两人,…………,
62,ヤイア/丫丫,みんななかよしだねー,你们真要好呀。
63,トモイ/托莫伊,ちょい……\nなによヤイアちゃん……\nあ、もう……,喂……你说什么啊，丫丫……真是的……
64,,ヤイアの一言で、\n堰き止めていた感情が一気に溢れ出し、\nトモイの目から大粒の涙が零れ落ちる。,丫丫的话让托莫伊的情绪一下子涌了出来，大颗大颗的泪珠从眼中滚落。
65,トモイ/托莫伊,う、ひっく……ひっく……,呜呜……呜呜……
66,アルドラ,どこかいたいんでしゅかー？\nいたいのいたいのとんでけー,有哪里痛吗?痛痛都飞走！
67,トモイ/托莫伊,チクショ……チクショッ……！\nあったけえなぁ……！！,可恶……可恶……!这种感觉好温暖……! !
68,ふたり/两人,…………,
69,,ローアインとエルセムは、\n少女達に慰められているトモイを\nただただ優しく見守るのであった。,罗艾因和艾尔塞姆只是温柔地看着托莫伊被小女孩们安慰。
info,,,scene_evt230329_cp3_q4_s10
译者,,,煌月夜
