id,name,text,trans
0-chapter_name,,第2話 scherzando,第2话 scherzando
0-synopsis,,楽器屋の女は生まれつき重い吃音を持っており、激しくどもっていたのもそれが原因だった。楽器屋の女は筆談で、先程の客がフェルッチオという知り合いのバイヤーだと伝える。やがて楽器屋の女は筆談をやめ、どもりながらもカンターテと名乗る。カンターテは一行の名前を聞くと順々にあだ名をつけていき、ビィに対しては冗談を言って、愉快そうに笑うのだった。,乐器铺的女摊主生来就有严重的口吃，讲话结结巴巴是因为这个缘故。她用笔谈告诉姬塔等人，先前的客人名叫费鲁齐欧，是她认识的乐器收购商。随后她停止了笔谈，介绍自己名叫坎塔特。坎塔特给一行人逐一起了昵称，向碧开了玩笑，笑得很开心。
1,楽器屋の女,だ……だだだ……だだ……,没……没没没……没没……
2,ビィ/碧,おいおい、どうしたんだよ？,喂喂，你怎么了？
3,ルリア/露莉亚,よっぽど怖い目に遭ったんですね……\n可哀想に……,她遇到了很可怕的事……\n真是可怜……
4,キハール,はて、どうであるかな？\n彼女はもしや……,怪了，这是怎么回事？\n莫非她……
5,楽器屋の女,…………,…………
6,,女性は気怠そうに溜め息をつくと、\n手帳を取り出して何やら書き込み、\n一行に見せた。,女子懒洋洋地叹了口气，\n取出手账本写了些什么，\n展示给一行人看。
7,楽器屋の女,「これは生まれつき」,「这是天生的。」
8,ビィ/碧,生まれつき？,天生？
9,キハール,やはりそうであるか。\n昔、旅先で似た様子の子に\n会ったことがあるのである。,果然如此。\n从前，我在旅途中遇见过\n像她这样的孩子。
10,セレフィラ/赛尔菲拉,怯えているのとは違うの？,并不是因为害怕吗？
11,キハール,うむ。\n考えてみれば話すというのは\nなかなか複雑な動作なのである。,仔细想想，说话是一种\n相当复杂的动作。
12,キハール,一定の速度で息を吐き続けなければ\n声は途切れてしまうし、\n更に唇と舌で音を作らねばならない。,如果不用一定的速度持续吐气，\n声音就会发不出来，\n而且还必须用嘴唇和舌头来制造音节。
13,キハール,楽器を奏でるのと同じことなのである。\nほんの少し調子が狂えば思い通りの音に\nならなくなるのであるからして。,与演奏乐器是同一个道理。\n稍微有些跑调\n就会无法发出想要的声音。
14,セレフィラ/赛尔菲拉,なるほどね。\n無意識にやっていたから、\n気づかなかったけれど……,原来如此。\n讲话都是无意识就说出来了，\n完全没注意到……
15,キハール,吾輩達も緊張や恐怖に苛まれれば、\n上手く言葉が出なくなり、\n声も震えてしまうもの。,吾辈在紧张或恐惧下，\n也无法良好地组织语言，\n甚至连声音也会颤抖。
16,キハール,きっとお嬢さんも同じなのである。\nそれが体に強く出やすいというだけだと\n吾輩は思うのであるからして。,老夫相信，这位小姑娘也是同样。\n只是更容易在她身上体现出来吧。
17,,女性は同意を示すように深く頷き、\n下の余白に新しい言葉を書く。,女子用力点头，大概是在表示同意。\n她在纸张下方空白处写上新的内容。
18,楽器屋の女,「フェルッチオはバイヤー\n×クレーマー」,「费鲁齐欧是收购商\n×找茬的客人」
19,セレフィラ/赛尔菲拉,えっと……\nさっきのお客さんのことかしら？,嗯……\n这是在说刚才的客人吗？
20,楽器屋の女,ししし……,嘻嘻嘻……
21,,女性は気を良くした様子で笑い、\n次々と単語を書いていく。,女子笑了，看起来心情好多了。\n她接连不断地书写着。
22,楽器屋の女,「フェルッチオは超真面目。\n好物はフルーツタルト。\n紅茶はストレート派」,「费鲁齐欧特别一本正经。\n喜欢水果塔。\n红茶是直饮派。」
23,エルタ/艾尔塔,えーと……\nお知り合いだったんですね。,嗯……\n原来是认识的人呢。
24,楽器屋の女,「○正直者で情熱家。\n◎話が長くて説教臭い。\n→&gt;:(」,「○正直有热情。\n◎讲话啰嗦爱说教。\n→&gt;:(」
25,ビィ/碧,なんか、クイズみたいに\nなってきたな……,怎么感觉好像变成猜谜了……
26,ルリア/露莉亚,あっ！\nなんとなくわかりましたよ！,啊！\n我总算是明白了！
27,ルリア/露莉亚,えっと……フェルッチオさんには\n何度もさっきみたいに詰め寄られて\n怒ってるってことですか？,嗯……意思是说，\n费鲁齐欧先生有好几次\n像刚才那样对你发火？
28,楽器屋の女,天才！,天才！
29,ビィ/碧,普通に喋れんじゃねぇかよ！？\nもしかしてオイラ達、\n遊ばれてたんじゃねぇか？,这不是能正常说话吗！？\n你不会是在耍咱们吧？
30,楽器屋の女,き、きき、吃音は、本当……\nでも、く、訓練……受けた、から……,口、口口、口吃是、真的……\n但是、受、受过……训练……
31,エルタ/艾尔塔,（もしかして、クイズみたいに\n話をしてたのは、緊張をほぐすため\nだったのかな……？）,（难道说像猜谜一样说话，\n是为了缓解紧张感吗……？）
32,楽器屋の女,あ……あはははは……\nふぅ……,啊……啊哈哈哈哈……\n呼……
33,カンターテ/坎妲缇,ううう、うち、カンターテ。\nきき、きみ達、は？,我我我、我叫、坎塔特。\n你你、你们、呢？
34,,名前を尋ねられ、\n姬塔達はそれぞれ名乗る。,见她问起了名字，\n姬塔等人逐一自报家门。
35,カンターテ/坎妲缇,…………,…………
36,ルリア/露莉亚,あ……すみません。\nこんなに一気に言われても、\n覚えられないですよね……,啊……对不起。\n突然听了这么多名字，\n会记不住的吧……
37,,カンターテはにやりと笑い、\n突然ルリアを指差す。,坎塔特轻轻一笑，突然指着露莉亚。
