id,name,text,trans
0-chapter_name,,第1話 虹,
0-synopsis,,ある日、姬塔とサンダルフォン宛てにサリエルから手紙が届く。それは、サンダルフォンに会いたがっている堕天司がいるという手紙だった。やってきた堕天司、ピズマはサンダルフォンをかつての叛乱で共に戦った同朋と呼び、再会を喜ぶ。しかしサンダルフォンは天司長として、堕天司であるピズマの目的を問う。するとピズマは、サリエルの願いである『虹』を共に探していると答えるのだった。,某日，姬塔与圣德芬收到了沙利叶的来信。信中写道，有一位堕天司想见圣德芬。前来的堕天司皮兹玛称圣德芬为昔日叛乱中并肩作战的同胞，为重逢而喜悦。但作为天司长的圣德芬，质问身为堕天司的皮兹玛的目的。于是皮兹玛回答，他正与沙利叶一同寻找其心愿所在——『虹』。
8,,ある日の事、空の旅を続ける\n姬塔達に一通の手紙が届く。,某日，依旧在继续空之旅途的\n姬塔一行人收到了一封信。
9,,宛名は姬塔とサンダルフォン。\nその差出人は──,收件人是姬塔与圣德芬。\n而其寄信人是——
10,,こんにちは。\nおはようだったらごめんなさい。\n手紙を書けと言われたので書きました。,你好。\n如果应该说早上好那就抱歉了。\n因为被要求写信所以就写了。
11,,僕は『虹』を探す旅の途中で\nピズマという堕天司に出会い、\n一緒に旅をしています。,我在寻找『虹』的旅途中\n遇到了一位名叫皮兹玛的堕天司，\n现在正一起旅行。
12,,ピズマがサンダルフォンに\n会いたがっています。\nよろしくお願いします。,皮兹玛很想见\n圣德芬。\n拜托了。
13,ビィ/碧,──で、後は場所の指定が\n書いてあるだけだもんな。,——然后，后面就只写了\n见面的地点而已嘛。
14,ビィ/碧,なんつーか、この手紙\nすっげぇサリエルだな……,该怎么说呢，这封信\n真是超级有沙利叶的风格啊……
15,ルリア/露莉亚,あはは……\nで、でも旅の仲間ができたのは\n良い事ですよね！,啊哈哈……\n但、但是能交到旅伴\n是件好事呢！
16,ルリア/露莉亚,ピズマさん……\nサンダルフォンさんも知らない\n堕天司さんなんですよね？,皮兹玛先生……\n是连圣德芬先生也不认识的\n堕天司对吧？
17,サンダルフォン/圣德芬,そんな名前の堕天司がいた気はするが、\n話をした覚えはないな。,我记得是有叫这个名字的堕天司，\n但我不记得有跟他说过话。
18,サンダルフォン/圣德芬,おそらくは\nパンデモニウムに収監されていた\n堕天司のひとりなのだろうが……,恐怕是\n曾被监禁在万魔殿的\n堕天司之一吧……
19,ビィ/碧,ああ、そういやあれ\nなくなっちまったもんな……,啊，说起来那个\n已经没了啊……
24,,輪廻の大星晶獣パンデモニウム。,轮回的大星晶兽万魔殿。
25,,それは赤き地平と空の世界を跨ぐ\n唯一の存在にして、数多の星晶獣を\n封じる巨大な監獄であった。,那是横跨赤色地平与空之世界的\n唯一存在，亦是囚禁着众多星晶兽的\n巨大牢狱。
