id,name,text,trans
0-chapter_name,,第5話 古の獣,第5话 古兽
0-synopsis,,モルドレッドにすげなくあしらわれていら立つロウリーをアレイスがなだめようとするが、ロウリーはとりつくしまもない。部屋を荒らしてロウリーが去っていった後、母親だからとひとり片づけるアレイスの元にモーガンが顔を出す。モーガンに尋ねられて「ウリエンス王の魂はまだ見つけられていない」と言うアレイスは、その肉体が残っていれば降霊術の成功率も上がったのに、と歯噛みする。相変わらず不安定な様子のアレイスに、モーガンは母親というものの理不尽さと矛盾を感じていた。,罗利被莫德雷德冷漠对待，怒不可遏。艾蕾丝试图安抚他，但罗利毫不领情。罗利把房间弄得一片狼藉后离去，留下艾蕾丝独自收拾残局，因为她认为这是母亲应该做的。这时摩根现身询问她进展，艾蕾丝回答说「还没有找到乌里恩斯王的灵魂」，并不甘地表示若其肉体尚存，降灵术的成功率本可提高。看到艾蕾丝依然是那副略显偏激的样子，摩根感到了「母亲」的不合理和矛盾。
1,ロウリー/罗利,クソ！\nクソクソクソクソ……\nクソがっ！！,可恶！\n可恶可恶可恶可恶……太可恶了！！
4,,ロウリーは、モルドレッドから\n受けた仕打ちに苛立ち、\n部屋中のものに当たり散らしていた。,罗利对莫德雷德的态度感到恼火，将怒火发泄在房间的每件物品上。
5,ロウリー/罗利,はぁっ、はぁっ、はぁっ……,哈啊，哈啊，哈啊……
6,ロウリー/罗利,なんで俺が\nこんな扱いを受けるんだよ！\n俺ばっかりがいつもいつもいつも……！,凭什么我要遭到这种对待！！总是只有我，一直一直一直……！
7,ロウリー/罗利,目障りなあの人形が、やっと\n消えてくれたってのに！！,那个碍眼的人偶好不容易才消失！！
11,アレイス/艾蕾丝,<span class='scene-font-4'>ロウリー！？</span>\n大きな音がしたけどどうしたの！？\n大丈夫なの！？,<span class='scene-font-4'>罗利！？</span>\n刚才好大动静，怎么了！？你没事吧！？
12,ロウリー/罗利,っ、勝手に入ってくんな！！,啧、别随便进来啊！！
13,アレイス/艾蕾丝,ごめんなさい。\nでもお母さん、心配して……,对不起。但妈妈是担心你……
14,ロウリー/罗利,うるさいっ！！,吵死了！！
15,アレイス/艾蕾丝,きゃっ！？,呀！？
16,,ロウリーの投げつけた本は\nアレイスのすぐ脇をかすめて\n壁にぶつかった。,劳里扔出的书与艾蕾丝擦身而过，砸在墙上。
17,アレイス/艾蕾丝,落ち着いて、ロウリー……\nね？　お母さんがなんでも話を聞くわ。\nだから……,冷静点，罗利……好吗？妈妈会听你说的。所以……
18,ロウリー/罗利,はっ！\nじゃあ言ってやるよ！,哈！那我就说给你听！
19,ロウリー/罗利,目障りで気持ち悪いんだよ、お前！\n何度言わせるんだ！\n俺はお前の息子じゃない！！,你这家伙真是又碍眼又恶心！要我说多少次！我不是你儿子！！
20,アレイス/艾蕾丝,っ……どうして？　どうしてお母さんに\nそんな酷いことを言うの？\nロウリー……！,……为什么？为什么要对妈妈说那么过分的话？罗利……！
21,ロウリー/罗利,あ～～～もうっ！！,啊～～～真是的！！
22,ロウリー/罗利,お前の顔を見てると\n余計に苛々する！,一看到你的脸我就更加火大！
26,,ロウリーは部屋を飛び出し、\n後にはアレイスだけが残された。,罗利冲出房间，房间里只剩下艾蕾丝一人。
27,アレイス/艾蕾丝,はぁ……,唉……
28,,ため息を吐いたアレイスは、\nロウリーの散らかした部屋を\nのろのろと片付け始める。,艾蕾丝叹了口气，从容不迫地开始收拾罗利弄乱的房间。
29,アレイス/艾蕾丝,どうしてなの……いつになったら、\nアナタは……,为什么……你到底要到什么时候……
30,アレイス/艾蕾丝,──ウィリー,——威利
32,,アレイスの呟きに、\n部屋の空気が微かにざわめいた。,艾蕾丝的低语让房间里的空气微微躁动起来。
33,アレイス/艾蕾丝,ああ、忌々しい……,啊，真是令人厌恶……
34,アレイス/艾蕾丝,やめてちょうだいっ！！,快给我停下！！
35,？？？,うわ、今日は一段と\n機嫌が悪いねぇ？,哇，今天心情格外差呢？
38,モーガン,あちゃー\nひどい有様だ。\n部屋中ぐっちゃぐちゃじゃないか。,哎呀，真是惨不忍睹。房间里一片狼藉啊。
39,アレイス/艾蕾丝,モーガン……なにかしら？\n用がないのなら出ていってちょうだい。\nここはあの子の部屋なのよ。,摩根……有什么事吗？没事的话就出去吧。这里是那孩子的房间。
40,モーガン,えー？　そう言うきみだって、\n勝手に入るなって\n言われてなかったっけ？,哎——？ 说这话的你，不是也被他说不要擅自进来吗？
41,アレイス/艾蕾丝,……アタシはいいのよ。\n母親なんだから。\n母親だから、片付けてあげないと……,……我没关系的。因为我是母亲。既然是母亲，就得帮忙收拾……
42,モーガン,あんな理不尽な罵声をぶつけられても\nその相手に尽くそうとするとはね。,即便遭到那般过分的斥骂，也要为对方付出啊。
43,アレイス/艾蕾丝,当たり前でしょう！？\nそれが母親よ！\nそれが親子なのよ！！,这不是理所当然的吗！？这就是母亲啊！这就是亲子啊！！
44,モーガン,そうやって感情的になると、必死に\n不幸を隠そうとしているようにしか\n見えないよ。,你如此情绪化，反倒更像在拼命掩饰自己的不幸。
45,アレイス/艾蕾丝,っ……,呃……
46,アレイス/艾蕾丝,……モーガン、本当にアナタ\n何をしに来たのかしら？,……摩根，你到底是来做什么的啊？
47,モーガン,んふふふ！\n様子をうかがいに来たんだよ。,呵呵呵！我是来看看情况的。
48,モーガン,マーリンが以前の工房から\nこのヒベルグライフ城に\n戻ってきてしばらく経っただろう？,梅林从以前的工房回到海伯格莱夫城堡这里已经有一段时间了吧？
49,モーガン,だから、きみの研究の方は\nどんな調子かな、と思ってさ。,所以，我想知道你的研究进展如何。
50,アレイス/艾蕾丝,まだ……相変わらずよ。\nウリエンス王の魂は\n見つかっていないわ。,还是……老样子啊。乌里恩斯王的灵魂还没找到呢。
51,モーガン,ふぅん……そう。\n降霊術というのは、それほど\n便利なものではないのだね。,嗯……是吗。看来降灵术并不是那么方便的东西啊。
52,アレイス/艾蕾丝,冥界は広く、深く、昏いのよ。\n目当ての魂を探り出すのは\n簡単なことではないわ。,冥界广阔、深邃、黑暗。要找到特定的灵魂并非易事。
53,アレイス/艾蕾丝,でも……ウリエンス王も、\nお身体だけでも残っていれば……,如果……如果乌里恩斯国王的肉身尚存……
54,モーガン,ふふ……そうだねぇ。,呵呵……是啊。
55,モーガン,本人の肉体があれば、それに符号する\n魂を呼び出せる可能性が\nぐっと高くなるのだものね？,如果有本人的肉体，召唤出与与之契合的灵魂的可能性就会大幅提升，对吧？
56,アレイス/艾蕾丝,そうよ！　ウィリー……いえ、\nロウリーも、あの子の身体が\nあったから、魂を呼び戻せた！,没错！威利……不，罗利也是，因为那孩子的身体在，才能召回灵魂！
57,アレイス/艾蕾丝,あの子は、還ってきたのよ！,那孩子，他回来了啊！
58,モーガン,……還ってきた、ね。,……回来了，么。
59,,含んだように笑うモーガンの目は\nアレイスではなく、その背後を\n見つめていた。,摩根带着意味深长的笑容，目光并未落在艾蕾丝身上，而是凝视她的身后。
60,,しかしアレイスは\nそれには気が付かず、\n独り言のようにぶつぶつと呟く。,然而，艾蕾丝并没有注意到这一点，只是不停地喃喃自语。
61,アレイス/艾蕾丝,だからウリエンス王も……\nご本人でなくとも……せめて血縁……\nあの王子様の肉体で……,所以乌里恩斯王……即便非他本人……至少有血缘相连的……那位王子殿下的肉体……
62,アレイス/艾蕾丝,マーリン様はなぜ、\n彼を使うことを\n許可されないのかしら……,梅林大人为什么不允许我使用他呢……
63,アレイス/艾蕾丝,マーリン様が求めていらっしゃるのは\nあの王子様ではなく、\nウリエンス王そのものなんだから……,因为梅林大人寻求的不是那位王子殿下，而是乌里恩斯王本人……
64,モーガン,おっと、アレイスアレイス！\n彼はもう王子様じゃなくて\n王様になったんだよ。,哎呀，艾蕾丝艾蕾丝！他不是王子殿下，已经是国王了哦。
65,アレイス/艾蕾丝,あら、そうだったわね。\nでもどうだっていいわ。\n所詮は代わりでしょ。,哎呀，是呢。不过无所谓吧。反正只是个替代品罢了。
66,モーガン,んふふ……\nきみは本っ当に面白いね。\n僕、きみのこと結構好きだよ。,呵呵呵……你真的很有趣呢。我挺喜欢你的。
67,アレイス/艾蕾丝,気味が悪いことを\n言わないでちょうだい。,别说这种让人不舒服的话。
68,アレイス/艾蕾丝,さぁ、用はすんだでしょう？\nさっさと出ていって。,好了，你没别的事了吧？快点出去。
69,アレイス/艾蕾丝,アタシは、息子の部屋を\n片付けなくちゃいけないんだから。,我还得收拾儿子的房间呢。
73,モーガン,んふふ……\nアレイスは相変わらずだったなぁ。,呵呵呵……艾蕾丝还是老样子啊。
74,モーガン,母親、ねぇ……,母亲，啊……
76,モーガン,母親というものは、どこまでも\n愛情深く、盲目で、理不尽で……\n矛盾に満ちている。,母亲这种存在，无论何时都充满爱意、盲目、不讲理……充满了矛盾。
77,,そう呟いたモーガンの声には、\nまるで別人のように色がなく、\n表情もぽかりと抜け落ちていた。,摩根喃喃自语的声音仿佛变了个人，毫无感情，表情也变得空洞。
78,,しかし、一瞬の後には\nいつもの笑顔に戻る。,然而转瞬之后，她又恢复了往常的笑容。
