id,name,text,trans
0-chapter_name,,第6話 綴命,第6话 缀命
0-synopsis,,日記帳の中に引きずり込まれた一行は、筆冥と名乗る化け物と出会う。その傍らには消えたはずの太上老君が居た。そして筆冥によって、一行はジョカがシュエンであったこと、スェンが太上老君であったこと、全ての異変の元凶は筆冥であることを知る。,被拖入日记本中的一行人，遇到了自称笔冥的怪物，身旁还带着本应消失的太上老君。通过笔冥，一行人得知了女娲即是叙文，而司文即是太上老君，而所有异样的元凶正是笔冥。
1,,言葉を失う一行を見て、\n怪異はほくそ笑みながら\n口を開く。,看着众人哑口无言的模样，诡怪窃笑着开口。
2,筆冥,スェンが太上老君になる。\nそれが手前の夢でね。\n正直な話──……,让司文成为太上老君。这就是我的梦想啊。\n说实话──……
3,筆冥,空の死滅やら\n黒麒麟やらはどうでもいい。\nこの美しい末路の副産物さ。,空之世界的死灭、黑麒麟什么的都无所谓。\n不过是这美丽结局的副产品罢了。
4,コク,待て……,等等……
5,筆冥,しかしテメェらもいい子育てをするね。\nテメェらのスェンも中々愛らしい。\n手前の理想には微塵も敵わないが。,不过你们也挺会养孩子的嘛。\n你们养出来司文也相当可爱。\n但是比起我的理想型还差得远。
6,筆冥,特にあの家族ごっこは笑えたよ。\n人の育みはどうも回りくどくて\nいけないね。,尤其是你们的过家家游戏真是笑死人了。\n人类的养育方式总是拐弯抹角的，真不行啊。
7,筆冥,理想が手に入らないかも\nしれないというのにさ。\nまぁ、無力な人故、か。,用那种方式搞不好都没办法实现理想。\n唉，毕竟你们只是无力的人类。
8,コク,待てと言っているだろうが！\nなんだ、なんなのだ貴様は！,我不是叫你等等吗！\n你这家伙，到底是什么！
9,アミ,貴様の唾棄すべき理屈はどうでもいい。\nスェンのことを\n一切考えていないのはよく分かった。,你那套令人唾弃的理论怎样都无所谓。你完全没把司文放在心上这一点，我已经很清楚了。
10,シュシュク,スェンを太上老君にするのが\nおぬしの夢だと……？\nその理想をスェンは望んだのか！？,让司文成为太上老君就是你的梦想……？\n你所谓的理想司文想要吗！？
11,ウルキ,スェンの命を弄んで……\n許せない……,玩弄司文的生命……不可原谅……
