id,name,text,trans
0-chapter_name,,第5話 アベルと緋色の刃,第5话 亚伯与绯色之刃
0-synopsis,,極秘任務に就いていたアベルは、看守からの手紙で、トリッド王国軍司令部の大佐が星晶獣パレタの身の安全を保障する約束を反故にしたことを知り、憤った。その後悔から命を賭けてハルヴァーダ王子を守ろうとしたとカインは察する。星晶獣パレタがアベルの死を乗り越えられれば、七級軍武島に色彩が戻るはずだというカイン。しかし、傭兵団リフノスはカインの意見に反対し、星晶獣パレタを狙う真の目的を語り始めるのであった。,正在执行机密任务的亚伯从看守的信中得知，特里德王国军司令部上校背弃了保障帕雷塔安全的承诺，这使他感到愤怒。该隐察觉到，正是出于心中的悔恨，亚伯才不惜牺牲性命也要保护哈尔瓦达王子。该隐认为，如果星晶兽帕雷塔能克服亚伯之死，七级军武岛理应能够恢复色彩。然而，佣兵团利弗诺斯反对该隐的意见，并开始阐述他们追击星晶兽帕雷塔的真正目的。
7,看守,アベル中尉。\n私は貴殿に謝らなければならない。,亚伯中尉。我必须向您道歉。
8,看守,貴殿が島を発ったあの日……\n星晶獣パレタの研究を\n次に進める指示が下されていたのだ。,在您离岛的那天……长官便下达了将针对星晶兽帕雷塔的研究推进到下一阶段的指示。
9,看守,確保した星晶獣パレタを破壊し、\n星晶に戻すという指示が。,以及要求破坏已捕获的星晶兽帕雷塔，将其还原为星晶的指示。
10,看守,にもかかわらず、\n大佐はあのような嘘を……,尽管如此，上校却对您说了那样的谎言……
11,看守,上官の命に逆らえない、\nしがない一兵卒である私を蔑んでくれ。,请您鄙视我这个无法违抗上级命令、微不足道的一介士兵吧。
12,アベル/亚伯,…………！,…………！
15,,アベルは激しい憤りから、\n手紙を乱暴に破り捨てる。,亚伯燃起强烈的怒火，粗暴地将信撕碎丢弃。
20,アベル/亚伯,この先……\n辛いことがあるかもしれないが、\n俺はずっと一緒だからな。,往后……你或许会遇到艰辛痛苦的事，但我会一直陪在你身边。
25,パレタ,なぁ、\n小型艇に乗ってどこに向かうんだ？,亚伯，我们要坐小型艇要去哪里啊？
26,アベル/亚伯,そうだな……,这个嘛……
28,アベル/亚伯,この島を出て、\n俺の家族に会いにいかないか？,离开这座岛，去和我的家人见个面怎么样？
32,アベル/亚伯,パレタ……\nすまない……,帕雷塔……对不起……
33,アベル/亚伯,俺は……\nなんてこと……,我都……做了些什么……
34,,スケッチブックから伝わってくる\nアベルの嘆きを、カインは\n我がことのように胸を痛める。,亚伯的叹息从速写本中传来，让该隐感同身受地无比揪心。
40,緋色の騎士/绯色骑士,私は貴方と\n話をしに来たのではありません。,我并非是来与你交涉的。
41,緋色の騎士/绯色骑士,ハルヴァーダを出してください。\nあの子で最後ですから……,请交出哈尔瓦达。那孩子就是最后一个了……
44,使用人/佣人,アベル様。\nハルヴァーダ殿下をお連れし──,亚伯大人。我将哈尔瓦达殿下带来了——
45,アベル/亚伯,逃げろッ！！,快逃！！
51,アベル/亚伯,あんな幼い子供を犠牲にして、\n何を守ろうと言うんですか！,连那样年幼的孩子都要牺牲，你究竟想要以此来守护什么！
52,緋色の騎士/绯色骑士,っ……！,……！
53,アベル/亚伯,空を守ろうと誰かを犠牲にして……\nそれでその空には誰が残るんですか？,为了守护空之世界就要牺牲某人……如此下去，这片天空下还会剩下谁？
54,アベル/亚伯,トリッド王国が\nナル・グランデの盟主として、\n本当に守らなきゃいけないものは──,特里德王国作为纳尔·格兰德的盟主，真正必须守护的是——
58,アベル/亚伯,──がふっ。,——呃呜。
64,カイン/该隐,…………,…………
65,ラインハルザ/莱茵哈萨,おい、カイン。,喂，该隐。
66,カイン/该隐,あ、ああ……大丈夫だ。,嗯……我没事。
67,カイン/该隐,（パレタへの後悔があったからこそ、\n兄さんは決死の想いで……）,（正是因为对帕雷塔心怀悔恨，哥哥才抱着必死的决心……）
68,カイン/该隐,（緋色の騎士とギルベルトから\nハルヴァーダ王子を\n守ろうとしたんだろうな）,（试图从绯色骑士和吉尔伯特手中保护哈尔瓦达王子吧）
69,,カインは深く息を吸い、\n改めてリフノスの面々に向き直る。,该隐深深吸了一口气，重新面向利弗诺斯的一众人。
70,カイン/该隐,パレタはきっと……\n兄さんを失ったことだって\n乗り越えられる。,帕雷塔一定能……从失去哥哥这件事中走出来。
71,カイン/该隐,そうすれば、\nモノクロになったこの島に\nふたたび色彩が戻るはずだ。,那样的话，这座变成黑白世界的岛屿理应也能重新恢复色彩。
72,,気持ちはわかるが納得はできないと、\nリフノスの面々は一様に反対する。,利弗诺斯的成员们一致反对，表示虽能理解他们心情但无法认同。
73,リフノスの指揮官,君達は過去に\n重きを置いているようだが……\n我々は未来を向いている。,你们似乎更看重过去……但我们着眼于未来。
74,リフノスの指揮官,我々の……\n真の目的について聞かせよう。,就让我说说我们……真正的目的吧。
75,ラインハルザ/莱茵哈萨,パレタを狙ってるのは、\nこの島に色彩を\n取り戻すためじゃねぇってのか？,你们追击帕雷塔，难道不是为了让这座岛恢复色彩吗？
76,リフノスの指揮官,もちろん、\nそれも目的のひとつだが……\nそれだけではない。,当然，那也是目的之一……但不仅如此。
77,カイン/该隐,……話してくれ。,……请说。
78,,決意を受け止めてくれたカイン達に\nリフノスの指揮官は\n秘めた思いを語りだすのであった。,眼见该隐等人理解了他的坦白也需要决心，利弗诺斯的指挥官终于开始述说深藏心底的想法。
info,,,scene_evt251128_cp5_q2_s10
译者,,,朔夜Rei
