id,name,text,trans
1,？？？,────！！,────！！
2,,突然現れた怪物は\n驚くべき俊敏さで、\n姬塔達のもとに迫る──！,突然出现的怪物以惊人的迅猛速度逼近姬塔等人──！
7,ランスロット/兰斯洛特,ハッピーハロウィン！\n驚いたか？,万圣节快乐！吓到了吗？
8,ビィ/碧,って、ランスロット！？\nおどかすんじゃねぇよ！,喂，兰斯洛特！？别吓唬人啊！
9,ランスロット/兰斯洛特,ははっ、悪い悪い。\n姬塔達がハロウィンの\n話をしているのが聞こえてな。,哈哈，抱歉抱歉。我听到姬塔你们在讨论万圣节的事情。
10,セワスチアン/塞瓦斯蒂安,それよりも、姬塔殿、\nちょうどよいのではありませんかな？,话说，姬塔阁下，这不正好吗？
11,セワスチアン/塞瓦斯蒂安,ランスロット殿ならば、\nなにか悪戯の良いアイデアを\nお持ちになっているかもしれません。,兰斯洛特阁下，说不定会有什么恶作剧的\n好点子。
12,ランスロット/兰斯洛特,うん？　もしかして、\n姬塔達も悪戯を\n計画してるのか？,嗯？难道说，姬塔你们也在策划恶作剧吗？
18,ランスロット/兰斯洛特,なるほど。\n最強の初代闘神に通用する\n悪戯か……面白そうだな！,原来如此。必须是对最强的初代斗神也管用的恶作剧吗……听起来很有趣！
19,ラジエル,今話していたのが、\n落とし穴、のっぺらぼうメイク……\nあと激辛ですね！,刚才讨论过的有，陷阱、无脸怪的装扮……\n还有超辣甜品！
20,ランスロット/兰斯洛特,ふむ……悪くないと思うぞ。,唔……我觉得不错。
21,ランスロット/兰斯洛特,ただ、悪戯の内容だけじゃなく、\n相手をどうやって油断させるかも\n合わせて考えるべきだろう。,但是，不光要思考恶作剧的内容，也应该考虑如何让对方放松警惕。
22,ランスロット/兰斯洛特,どれだけ手の込んだ悪戯でも、\n相手が警戒してちゃ\n驚かせるのは難しいだろうし。,无论怎样精心设计的恶作剧，如果对方保持警惕，想吓到他也很难吧。
23,ビィ/碧,油断って言っても、\nそんな簡単に気ぃ抜く相手とは\n思えねぇんだよなぁ。,你说放松警惕啊，我不觉得他是那种容易松懈的家伙。
24,ランスロット/兰斯洛特,やり方はいろいろあるさ。\n美味しいお菓子に夢中にさせるとか──,方法有很多哦。比如让他沉浸在甜点的美味之中——
25,セワスチアン/塞瓦斯蒂安,…………,…………
26,ランスロット/兰斯洛特,他にも、一度全部の悪戯を\n防ぎきったと思わせてから、\n本命の悪戯を仕掛ける、とかな。,还有，先让他以为已经防住了所有恶作剧，之后再使出真正的王牌恶作剧，之类的。
27,,その後、ランスロットと共に、\n姬塔達は悪戯のアイデアを\nあれこれと話し合うのだった。,之后，姬塔等人和兰斯洛特一起就恶作剧的点子进行了各种各样的讨论。
28,ヴァジラ/瓦姬拉,──そういえば、\nなんでハロウィンって\n悪戯するんだろうな。,──说起来，为什么万圣节要恶作剧呢。
29,ラジエル,お教えしましょう！\nそれはですね──,我来告诉你吧！那是因为呢——
30,ランスロット/兰斯洛特,……平和の証、かもしれないな。,……我想，或许是和平的证明吧。
31,セワスチアン/塞瓦斯蒂安,平和、というと？,和平，怎么说？
32,ランスロット/兰斯洛特,悪戯ができるってことは、その行為が\n笑って許される環境であることの\n何よりの証明だからな。,能够恶作剧，就证明在当下的环境中，恶作剧不过是能够笑着原谅的行为而已。
33,ヴァジラ/瓦姬拉,平和、か……,和平、吗……
34,ヴァジラ/瓦姬拉,（バサラ兄が生きていたころは、\n平和とは程遠い世の中だったはずだ。）,（巴萨拉哥活着的时代，应该是个离和平相去甚远的世界）
35,ヴァジラ/瓦姬拉,（今の十二神将は平和に暮らせているが\nバサラ兄はたぶん今もまだ、\nずっと警戒し続けてるんだろう。）,（虽然现在的十二神将过着和平的生活，但巴萨拉哥恐怕直到现在也一直保持着警戒吧）
36,ヴァジラ/瓦姬拉,（だったら、今のわしに\nできることは……？）,（那么，现在的我能做的事情是……？）
37,ビィ/碧,おい、どうしたんだよヴァジラ？\n急に黙っちまって……,喂，你怎么了瓦姬拉？突然不说话……
38,ヴァジラ/瓦姬拉,よし、決めたぞ！\nわしのハロウィンパーティーは──,好，我决定了！我的万圣节派对要——
info,,,scene_evt20251017_cp5_q1_s10
译者,,,朔夜Rei
