id,name,text,trans
0-chapter_name,,第2話 苦闘,第2话 苦斗
0-synopsis,,戦場では徐々に混乱が収まり、モニカの統率による秩序の騎空団は反転攻勢に打って出る機会を窺う。しかし突如ハイネが最前線に現れ、一気呵成に騎空団員達を惨殺。秩序の騎空団はもちろん、アガルタ猟団さえもハイネの出陣に驚いており、戦場は再び混乱に陥る。,战场上的混乱逐渐平息，在莫妮卡的指挥下，秩序骑空团正伺机发起反击。然而海涅突然现身于最前线，一气呵成地屠杀骑空团员。不仅是秩序骑空团，连阿加森猎团也对海涅的出战感到惊讶，战场再度陷入混乱。
1,,諜報部の参戦に、\nモニカの戦線復帰。,随着谍报部的参战与莫妮卡重返战线……
2,,アガルタ猟団の戦略は狂い、\n反対に秩序の騎空団の混乱は収まり、\n防戦一方だった戦況は拮抗を見せる。,阿加森猎团的战略被打乱，相反，秩序骑空团的混乱得以平息，此前一味防守的战况开始变得势均力敌。
3,モニカ/莫妮卡,伝令班！\n各方面に指示を！,传令小队！向各方下达指示！
4,モニカ/莫妮卡,左翼は現状維持！\nリーシャ達は猟団を！\n諜報部は支援を頼む！,左翼维持现状！莉夏等人对付猎团！谍报部负责支援！
5,モニカ/莫妮卡,右翼は魔物の対処に尽力せよ！\n今頃ダーント達が加勢している筈だ！,右翼全力应对魔兽！\n旦特等人正在前往支援！
6,モニカ/莫妮卡,正面は……\nすまないがニレの対応は、\n姬塔ひとりに任せる他ない！,正面……抱歉，但尼雷只能交给姬塔一个人对付了！
7,モニカ/莫妮卡,<span class='scene-font-4'>いいか！</span>\n精鋭達には十字砲火を徹底するんだ！\nはずせば一瞬で距離を詰めて来るぞ！,<span class='scene-font-4'>听好了！</span>对于精锐要贯彻交叉射击的策略！如果失手，他们瞬间就会拉近距离！
13,リーシャ/莉夏,トワイライトソード！,暮光之剑！
18,弐班の猟団兵１,ウオォ……──！？,呜哦……──！？
19,アンリエット/安丽特,アルフィーネソード！,曲终之剑！
21,弐班の猟団兵２,ガハッ…………──！,嘎啊……────！
23,リーシャ/莉夏,はぁ……はぁ……！\nモニカさんの指揮の御陰で、\nなんとか対抗できてますね。,哈啊……哈啊……！多亏了莫妮卡小姐的指挥，我们总算能与他们抗衡了。
24,アンリエット/安丽特,さすがモニカちゃんね。\nやっぱりヒロインの風格って──,不愧是莫妮卡。果然有女主角的风范啊──
25,アンリエット/安丽特,…………！\nリーシャ！,…………！\n莉夏！
28,キョウ,増援に船長代理の生存……\n姬塔という最大戦力の存在……\n我々の戦略は阻止されたという訳だ。,增援以及代理船长的生还……\n姬塔这个最强战力的存在……\n看来我们的战略被阻止了呢。
29,リーシャ/莉夏,キョウ……！,乔……！
30,キョウ,だが……\nお前達も魔禍津日によって、\n数的有利は活かせんだろう。,但是……你们也因为魔祸津日而无法发挥数量上的优势吧。
31,キョウ,つまり戦略では互角。\n次は戦術の差で決まるだろう。,也就是说战略势均力敌。\n接下来就要靠战术上的差距来决出胜负了。
36,キョウ,ふたりで掛かって来い。\nお互い左翼においては、\n被害を最小限に抑えたい筈だ。,你们两个一起上吧。彼此应该都想在左翼战场把损害降到最低。
37,キョウ,現場指揮官同士で、\n決着するのは本望だろう？,作为现场指挥官来做个了结也正合你意吧？
38,リーシャ/莉夏,人に自爆特攻をさせるあなた達が、\n被害を抑えたいと考えるんですか。,让同伴进行自爆袭击的你们，竟然会考虑要抑制损害吗？
39,キョウ,ああ。\n何か矛盾でも？,是啊。有什么矛盾吗？
40,アンリエット/安丽特,矛盾はないわ。\nでも良心の呵責さえ見えない……\nアガルタの思想は話に聞いた以上ね。,没有矛盾。但你连良心的苛责都没有……\n阿加森的思想比传闻中还要厉害呢。
41,リーシャ/莉夏,やはりあなた達とは……,果然和你们……
42,キョウ,わかりあえるとでも思ったか。\nお前の頭の中を見てみたいものだ。\nお花畑はアガルタにはないのでな。,你难道还幻想能互相理解吗？\n真想看看你脑子里装的是什么。\n毕竟阿加森可看不到花田那种东西。
43,リーシャ/莉夏,…………！\n<span class='scene-font-4'>はあぁぁぁ！</span>,…………！\n<span class='scene-font-4'>哈啊啊啊！</span>
49,,戦場の右翼──,战场的右翼──
52,魔物,ガァァァ…………──！,嘎啊啊啊……────！
55,ダーント/旦特,なんとか右翼は持ち直せたか……,右翼这边总算稳住了吗……
56,ウィル/威尔,みたいだね。\n色々観察できて良かったよ。,看来是的。能观察到各种情况真是太好了。
57,ウィル/威尔,やっぱり例の赤い風は危険だ。\n魔匕人同様魔物の寿命を縮めるだろう。\n僕達普通の人間にも影響がある筈だよ。,果然那阵红色的风很危险。和魔人一样，它应该也会缩短魔物的寿命吧。对我们普通人应该也有影响。
58,ダーント/旦特,うむ……\nでは急ぎ秩序の指揮官と合流せねば。\n右翼の戦列をまとめるのだ。,唔……那么必须赶快与秩序骑空团的指挥官会合。要整顿右翼的战列才行。
59,ウィル/威尔,うん。\nあと一息で逆転──,嗯。再加把劲就能逆转──
61,秩序の騎空団員達/秩序骑空团员,…………──！,…………──！
62,ダーント/旦特,…………！？,…………！？
63,騎空団員バッツ,ウ……ウゥ……\nなんでアイツが最前線に……,呜……呜……\n那家伙为什么会来最前线……
65,ダーント/旦特,バッツ！,巴茨！
66,騎空団員バッツ,ダーントさん……\nありゃあヤバ過ぎる……\nあまりにも強すぎますぜ……,旦特先生……那家伙太危险了……强得离谱啊……
71,ハイネ,御機嫌よう……\n空の民の諸君。,你们好啊……\n各位空之民。
72,ハイネ,私は不機嫌だ。\n君達の無駄なあがきが不愉快でね。,我现在心情不好。你们那无谓的挣扎让我很不愉快。
73,,悠々と闊歩するハイネ。\nその背後には幾つもの、\n無惨に殺された団員が転がっていた。,海涅悠然自得地阔步而行。\n他身后横七竖八地躺着多名被残忍杀害的团员。
74,ダーント/旦特,あの者は……\nまさかアガルタ猟団総帥の……,那个人是……难不成是阿加森猎团的总帅……
75,ウィル/威尔,ハイネ……\n見た所ひとり？\n総大将が単独で最前線に来るなんて。,海涅……看起来是一个人？总帅竟然独自来到最前线。
77,ハイネ,君達、死刑。,你们，死刑。
info,,,scene_evt260129_cp2_q3_s10
译者,,,朔夜Rei
