id,en,jp,trans
0-chapter_name,,Voice of the Heart,心的声音
0-synopsis,,異空間がパレスと似ていることから、ジョーカー達は「オタカラ」を盗み出せばこの異空間も消滅し、異空間の主にされてしまったビィを救い出せると推測する。周囲の風景から、自分の正体がわからないことへの不安と、正体を知ったとき仲間達が離れてしまうのではという孤独を感じていると知った姬塔達は、必ずビィを救い出すと決意するのだった。,因异空间与殿堂相似，Joker他们认为只要盗取「宝物」就能让异空间消失，从而又推断出这需要把被做出空间主人的碧解救出来。了解到独自在这个空间彷徨的碧孤独而不安的心情后，众人都下定了必须把它救回来的决心。
1,,星晶獣がパレスを作っただと……？,你说是星晶兽制造了殿堂……？
2,,ないし、パレスに近い空間だな。,应该是和殿堂接近的空间。
3,,パレスとしては違和感がある以上、<br>完全とは言えないだろう。,因为和殿堂有违和感，<br>所以不能断言。
4,,<span class='scene-font-katari'>思いもよらぬ、</span><br><span class='scene-font-katari'>しかし、筋の通った結論に、</span><br><span class='scene-font-katari'>一行は困惑しながらも状況を整理する。</span>,<span class='scene-font-katari'>还真是意想不到，<br>但这个结论很合乎情理。<br>一行人困惑之余重新整理起目前的状况。</span>
5,,星晶獣というのは、<br>割と何でもアリなんだろう？,不是说星晶兽什么<br>都能做到吗？
6,,それなら、<br>こういうことも<br>あり得るんじゃないのか？,既然如此，<br>这种事也可以做的到吧？
7,,いや、何でもアリっつーか……<br>まぁでも、<br>神サマみたいなもんだからな……,不，也不是什么都行吧……<br>不过确实是和神一样的存在……
8,,その星晶獣によって、<br>ビィ君はこの異空間の主に<br>されてしまっているのか……,然后那个星晶兽就把碧弄<br>成这个异空间的主人吗……
9,,まさかビィ君が失踪したのも、<br>それが理由か？<br>星晶獣に連れ去られて……,难道这也是碧失踪的理由？<br>它被星晶兽带走了……
10,,そこだ。<br>パレスの基準で考えるなら、<br>そこにどうにも違和感がある。,就是这个。<br>如果以殿堂为基准考虑的话，<br>这里就很违和。
11,,これはワガハイ達の持っている情報と、<br>オマエ達の持っている情報の、<br>両面から考えるべきだな……,这就应该从双方所持<br>的情报中一起考虑啊……
12,,<span class='scene-font-katari'>一行はまず、</span><br><span class='scene-font-katari'>ルリアが感じたという</span><br><span class='scene-font-katari'>星晶獣の気配について確認する。</span>,<span class='scene-font-katari'>众人首先从露莉亚感受<br>到的星晶兽气息开始确认。</span>
13,,気配がしたのは本当に一瞬でした……<br>でも……,那个气息只有一瞬间……<br>但是……
15,,集中すれば、<br>いまも少しだけ気配が……,集中精神的话，<br>现在也能感受到一些……
16,,その星晶獣の居場所は探れそうか？,能找到那个星晶兽<br>的位置么?
17,,ううん……<br>気配は空間全体に広がってて……<br>どこにいるのかまでは……,不行……<br>气息遍布整个空间……<br>不能确定具体在哪儿……
19,,しかし、どう攻略したものか……<br>本物のパレスなら話は早いんだが……,这到底该从哪儿做起啊……<br>如果真的是殿堂的话倒好办……
20,,ここはパレスに似ている。<br>なら同じような方法で<br>攻略も可能なんじゃないか？,这里和殿堂很像。<br>所以也可以用相同办法攻略吧？
21,,つったらやっぱオタカラ、だよな。<br>ここがパレスっぽい場所なら、どっかに<br>オタカラみてぇのがあるはずだぜ。,还是要找宝物吧？<br>这里是类似殿堂的场所，<br>应该会藏着宝物。
22,,オタカラはパレスの核だからな。<br>それを盗み出せば、<br>パレスは自ずと消滅する。,宝物是殿堂的核心。<br>只要找出那个殿堂就会自己消灭。
23,,それが君達の言う<span class='scene-font-spword'>「改心」</span>か。<br>ビィ君に何か<br>改心が必要だとは思えないが……,就是你们说的<span class='scene-font-spword'>「改心」</span>吗？<br>我可不觉得碧哪里需要改心……
24,,しかし、異空間の主、<br>という立場から解放されれば、<br>ビィ君を取り返せるかもしれないな。,但是要以解放异空间主<br>人为立场考虑的话，<br>应该是要把碧夺回来。
25,,オタカラの在処を知るためには、<br>まず、この異空間の主が、<br>ここをどう認識しているかだ。,要想知道宝物的位置，<br>首先得知道异空间的主<br>人对这里的认知。
26,,<span class='scene-font-katari'>一行は進んできた空間の情報を</span><br><span class='scene-font-katari'>今一度整理する。</span>,<span class='scene-font-katari'>一行人又把目前所知的异<br>空间情报整理了一遍。</span>
27,,この村はアイツにとっての故郷。<br>そうだったよな？,这个村子对那家伙来说是<br>故乡对吧？
28,,そういや、自分でも<br>居場所だとか何とか<br>言ってたっけか。,说起来，<br>它自己也说过容身之所之类的话。
29,,あと、あのでっかい艇……<br>グランサイファーもね。,然后还有那艘大船……<br>格兰赛法。
30,,故郷、居場所……<br>ある種<span class='scene-font-spword'>「家」</span>とでも定義できるな。,故乡，容身之所……<br>那就可以定义为<span class='scene-font-spword'>「家」</span>了。
31,,あながち間違いじゃないと思うぜ。,吾辈觉得应该没错。
32,,ビィの奴、グランサイファーのことを<br>そんな風に思ってたのか……,碧那家伙，<br>对格兰赛法抱着这种想法吗……
33,,しかし、座礁したグランサイファーは<br>どう解釈する？,可是，<br>触礁的格兰赛法要怎么解释？
34,,これは想像だが……これ以上<br>旅を続けることを恐れてるんだろう。,这只是吾辈的猜想……<br>它可能是在害怕再继续旅途。
35,,恐れてる……？<br>なんでだ、そりゃつまり<br>俺達と旅をしたくないってことか？,害怕……？<br>为什么啊，<br>它不想再和我们继续旅行了？
36,,いや、むしろ逆だ。<br>ずっと一緒に旅をしたいから、<br>先に進むことを恐れてるのさ。,不，不如说正好相反。<br>正因为想一直一起旅行，<br>才会害怕继续下去。
37,,アイツはワガハイと同じように、<br>自分の正体について<br>不安に思っているんだろう。,那家伙和吾辈一样，<br>因为自己的真实身份不安着。
38,,正体ね……たしかにビィと<br>同族ってのは見たことないが、<br>それを知るのが怖いことなのか？,真实身份啊……<br>我们确实没见过它的同类，<br>它在害怕知道这个吗？
39,,当然だ！　オマエ達は、自分の中に<br>自分の知らない存在があるのかも<br>って思っちまったらどうする？,当然！如果你们感觉到自己身上<br>有着自己未知的存在，<br>你们会怎么想？
40,,どうって、そんなの……,怎么办……<br>这……
41,,それはすごく、辛いんだ。<br>自分の中で信じていたものが<br>勝手に崩れていくというか……,那样会很痛苦。<br>坚信的东西随意崩溃……
42,,ワガハイには、痛いほどわかる……,吾辈非常感同身受……
43,,モナ……,Mona……
44,,アイツには他に居場所がないんだ……<br>この島とグランサイファーだけが<br>密接に結びついていた。,那家伙没有其他容身之所了……<br>只有这个岛和格兰赛法与它紧密相关。
45,,裏を返せば、<br>これより外に居場所がない<br>ってことだ。,换个角度说，<br>它没有这里以外的其他容身之所。
46,,アイツはきっと、<br>不安に押し潰されそうになりながら、<br>この空間をひとりで彷徨ってるんだ。,那家伙肯定正在被不安冲击，<br>在这个空间里独自彷徨着。
47,,そんな……<br>私達はビィさんを<br>ひとりぼっちになんてしません！,这怎么行……<br>我们可不能让碧自己去面对！
47-sel1_txt,,<span class='scene-font-katari'>必ずビィを迎えに行こう</span>,<span class='scene-font-katari'>一定要把碧救回来</span>
48,,<span class='scene-font-katari'>異空間を通し、</span><br><span class='scene-font-katari'>ビィの孤独を知った一行は、</span><br><span class='scene-font-katari'>ビィを助け出す決意を新たにする。</span>,<span class='scene-font-katari'>明白碧的孤独心情后，<br>一行人重新燃起营救碧的决心。</span>
49,,<span class='scene-font-katari'>一行の前に横たわっていた謎達は、</span><br><span class='scene-font-katari'>ひとつひとつ、その本当の意味を、</span><br><span class='scene-font-katari'>一行に示していくのだった。</span>,<span class='scene-font-katari'>横在众人面前的谜团也<br>在逐渐露出真实面貌。</span>
info,,1,scene_evt180618_cp3_q3_s10
