id,name,text,trans
0-chapter_name,,第6話 決戦ヴァーサタイル,第6话 决战巴萨泰尔
0-synopsis,,第零拠点から退避した姬塔一行。直後、第零拠点が崩壊し、14番目の機神ヴァーサタイルとなったアランドゥーズが姿を現す。理性もなくただ破壊衝動に従い暴走を始めたヴァーサタイルを止めるため、一行は戦いを挑む。,姬塔一行人逃离了第零据点。随后，第零据点崩毁，已经化作第14号机神巴萨泰尔的阿兰多斯现出身形。为了阻止毫无理性、遵循破坏冲动开始失去控制的巴萨泰尔，一行人向其发起了挑战。
9,イルザ/伊尔莎,<span class='scene-font-4'>全員、退避！　退避だ！！</span><br>戦闘員は非戦闘員を<br>優先的に脱出させろ！,<span class='scene-font-4'>全员，撤退！快撤退！！</span><br>战斗人员让<br>非战斗员先撤离！
10,イルザの部下達,<span class='scene-font-4'>イエス・マム！</span>,<span class='scene-font-4'>遵命，女士！</span>
16,,<span class='scene-font-katari'>建物が崩れる中、イルザと部下達と</span><br><span class='scene-font-katari'>一行の迅速な対応により、拠点に居た</span><br><span class='scene-font-katari'>全ての者達の避難は終わる。</span>,<span class='scene-font-katari'>建筑物不断崩塌，但由于伊尔莎和部下们</span><br><span class='scene-font-katari'>与一行人的迅速应对，据点里的</span><br><span class='scene-font-katari'>所有人都已经成功撤离了。</span>
18,ビィ/碧,な、なんとか<br>みんな逃げ切れたか……,总、总算是<br>大家都逃出来了……
19,ルリア/露莉亚,さ、流石イルザさ──,不、不愧是伊尔莎——
22,ビィ/碧,<span class='scene-font-4'>う、うわぁぁぁぁぁ！？</span>,<span class='scene-font-4'>呜、呜哇啊啊啊啊！？</span>
23,,<span class='scene-font-katari'>荒れる息を整えようとした一行だが、</span><br><span class='scene-font-katari'>島が落ちる程の激しい揺れを感じ、</span><br><span class='scene-font-katari'>戦慄する。</span>,<span class='scene-font-katari'>正当一行人喘息未定的时候，</span><br><span class='scene-font-katari'>突然感觉整座岛突然像是要</span><br><span class='scene-font-katari'>坠落了一样激烈晃动，让人为之战栗。</span>
24,？？？,<span class='scene-font-4'>オォ、ォォォオオオォォ！</span>,<span class='scene-font-4'>哦哦……喔哦哦哦哦哦哦！</span>
26,,<span class='scene-font-katari'>続いて空を揺らす大声が、</span><br><span class='scene-font-katari'>響いた瞬間、第零拠点が</span><br><span class='scene-font-katari'>轟音と共に崩壊し始めた。</span>,<span class='scene-font-katari'>随后，随着震撼天空的咆哮声，</span><br><span class='scene-font-katari'>第零据点发出巨响，</span><br><span class='scene-font-katari'>开始崩塌。</span>
34,,<span class='scene-font-katari'>崩れ落ちる瓦礫の中から、</span><br><span class='scene-font-katari'>ゆっくりと変貌した</span><br><span class='scene-font-katari'>アランドゥーズが姿を現す。</span>,<span class='scene-font-katari'>剥落的瓦砾中，</span><br><span class='scene-font-katari'>慢慢地、</span><br><span class='scene-font-katari'>改变了外形的阿兰多斯现出了身影。</span>
36,？？？,ハァ……,哈啊……
37,ビィ/碧,いまの地下の場所が<br>全部ぶっ壊れちまった……！<br>なんなんだよ、アイツは……！,刚才还是地下室的地方已经全被摧毁了……！<br>到底是怎么回事啊，那家伙……！
38,カシウス/卡西乌斯,あれこそがヤツが望んだ神。<br>機神ヴァーサタイルだ。,那个就是他所冀望的神明。<br>机神巴萨泰尔。
39,ヴァーサタイル,<span class='scene-font-4'>アァアアアァ！！</span>,<span class='scene-font-4'>啊啊啊啊啊啊！！</span>
40,,<span class='scene-font-katari'>一行は第零拠点を破壊した</span><br><span class='scene-font-katari'>巨大なアランドゥーズを</span><br><span class='scene-font-katari'>呆然とした様子で見上げた。</span>,<span class='scene-font-katari'>一行人目瞪口呆的看着</span><br><span class='scene-font-katari'>将第零据点完全摧毁了的</span><br><span class='scene-font-katari'>巨大的阿兰多斯。</span>
41,,<span class='scene-font-katari'>ヴァーサタイルは虚空を見つめ、</span><br><span class='scene-font-katari'>うめき声をあげるばかりで、</span><br><span class='scene-font-katari'>しばらくの間、静止していた。</span>,<span class='scene-font-katari'>巴萨泰尔凝望着虚空，</span><br><span class='scene-font-katari'>只是不断发出呻吟声，</span><br><span class='scene-font-katari'>一动也不动。</span>
42,バザラガ/巴萨拉卡,なぜ、動かない？,为什么，不动？
43,イルザ/伊尔莎,わからないが、<br>皆を避難させるなら今のうち──,不知道，<br>但是要让大家撤离的就趁现在——
45,,<span class='scene-font-katari'>イルザがそう言いかけた瞬間、</span><br><span class='scene-font-katari'>機神は片腕を持ち上げ、</span><br><span class='scene-font-katari'>前へと突き出した。</span>,<span class='scene-font-katari'>伊尔莎话音未落，</span><br><span class='scene-font-katari'>机神抬起了一只手，</span><br><span class='scene-font-katari'>笔直地伸向了前方。</span>
46,,<span class='scene-font-katari'>掌からチリチリという音が鳴り、</span><br><span class='scene-font-katari'>僅かに輝き始める。</span>,<span class='scene-font-katari'>手掌传出哔哩哔哩的声音，</span><br><span class='scene-font-katari'>开始发出淡淡的光芒。</span>
48,ユーステス/尤斯缇斯,まさか……！？<br>伏せろ！！,难道说……！？<br>趴下！！
50,,<span class='scene-font-katari'>ユーステスの大声に</span><br><span class='scene-font-katari'>一行は驚愕し、慌てて</span><br><span class='scene-font-katari'>彼の言葉通りに従う。</span>,<span class='scene-font-katari'>尤斯缇斯一声大吼，</span><br><span class='scene-font-katari'>惊愕的一行人赶忙</span><br><span class='scene-font-katari'>遵从了他的指示。</span>
51,ヴァーサタイル,<span class='scene-font-4'>ガァアアアァァアアァ！！</span>,<span class='scene-font-4'>嘎啊啊啊啊啊啊啊啊！！</span>
57,,<span class='scene-font-katari'>次の瞬間、ヴァーサタイルは</span><br><span class='scene-font-katari'>閃光と共に掌から</span><br><span class='scene-font-katari'>巨大な青白い光線を放出した。</span>,<span class='scene-font-katari'>下个瞬间，</span><br><span class='scene-font-katari'>伴随着强烈的闪光，</span><br><span class='scene-font-katari'>巴萨泰尔的手掌放出了巨大的蓝白色光线。</span>
58,ルリア/露莉亚,<span class='scene-font-4'>きゃぁぁぁぁっ！！</span>,<span class='scene-font-4'>呀啊啊啊啊！！</span>
59,,<span class='scene-font-katari'>直撃していないのにも関わらず、</span><br><span class='scene-font-katari'>近場にいる全ての者は、</span><br><span class='scene-font-katari'>肌を焼かれる痛みを感じた。</span>,<span class='scene-font-katari'>虽然没有被正面命中，</span><br><span class='scene-font-katari'>但是附近的所有人都感受到了</span><br><span class='scene-font-katari'>烧灼肌肤的疼痛。</span>
65,,<span class='scene-font-katari'>しばらくして閃光が消えると、</span><br><span class='scene-font-katari'>一行は崩してしまった</span><br><span class='scene-font-katari'>体勢を立て直す。</span>,<span class='scene-font-katari'>过了一段时间，闪光消失，</span><br><span class='scene-font-katari'>狼狈不堪的一行人</span><br><span class='scene-font-katari'>才开始重整态势。</span>
66,,<span class='scene-font-katari'>そして、今の光線が</span><br><span class='scene-font-katari'>何をもたらしたのかを理解し、</span><br><span class='scene-font-katari'>戦慄した。</span>,<span class='scene-font-katari'>然后，终于理解了刚才的光线</span><br><span class='scene-font-katari'>到底带来了什么，</span><br><span class='scene-font-katari'>并为之战栗。</span>
67,,<span class='scene-font-katari'>光線は大地に直撃し、</span><br><span class='scene-font-katari'>地平線の遥か彼方まで続く</span><br><span class='scene-font-katari'>巨大な亀裂を生んでいたのだ。</span>,<span class='scene-font-katari'>光线直接命中了大地，</span><br><span class='scene-font-katari'>产生了一条一直延伸到远方地平线的</span><br><span class='scene-font-katari'>巨大的裂谷。</span>
68,イルザ/伊尔莎,な、なんだその威力は……<br>下手したら、この島が沈むぞ！？,这、这是什么威力……<br>搞不好的话，这座岛会沉的吧！？
