id,name,text,trans
0-chapter_name,,第1話 お料理バトル開幕であります！,第1话 料理比赛开幕了！
0-synopsis,,シャルロッテの自室にて、セワスチアンとシャルロッテは懐かしの再会を果たす。リュミエール聖騎士団を抜けたことを咎めないのかと問うシャルロッテに、セワスチアンはシャルロッテの正義を疑う事はないと断言。クッキングバトルの経緯を話し、シャルロッテも皆に協力して楽しむようにと告げ、祖父の様な眼差しで見守るセワスチアンなのだった。,在夏洛特的房间，塞巴斯蒂安终于与她怀念地相逢了。面对夏洛特不责骂她离开卢米埃骑士团么的疑问，塞巴斯蒂安断言他并不怀疑夏洛特的正义。塞巴斯蒂安向她说明厨艺大赛的来龙去脉，并让她享受大家的帮忙吧，用祖父般的目光守护着夏洛特。
2,シャルロッテ/夏洛特,ふあ……あぁ……<br>あれ？　ここは自分の部屋……,呼啊……啊……啊咧？这里是在下的房间……
3,セワスチアン,ようやくお目覚めですね。<br>お嬢様、お加減はいかがですか？,终于醒了啊。大小姐，您感觉身体如何了？
4,シャルロッテ/夏洛特,なんと！<br>じいやではないでありますか！<br>どうしてここに……！,怎么会！这不是爷爷吗！为什么会在这里……！
5,セワスチアン,お嬢様が姬塔さんの艇で<br>お世話になっていると風の噂で<br>聞きましてね。様子を見に参りました。,听了大小姐在姬塔的船上叨扰的传言，便过来看看情况。
6,シャルロッテ/夏洛特,噂になってるでありますか……！,听了传言过来的吗……！
7,セワスチアン,ふふふ。さて、どうでしょう。<br>しかしお子様ランチ断ちとは、<br>また随分と無茶をなさって……,呵呵呵，那么，究竟是怎样呢。不过戒食儿童午餐什么的，还真是又在胡来了啊……
8,シャルロッテ/夏洛特,うぅ……<br>それは言わないで欲しいので<br>あります……,呜……请别提这件事了……
9,セワスチアン,まったく、ご自分の身の丈に<br>合った事をなさらないと、<br>いつか足元をすくわれますよ。,真是的，净是做些和自己体型不符的事情，迟早有一天会阴沟里翻船的哦。
10,セワスチアン,貴女は十分、<br>身の丈以上の頑張りを<br>していらっしゃるのですから。,你可是已经非常的努力的去跨越体型这道坎了。
11,シャルロッテ/夏洛特,あ、ええと……じいやは、その……<br>自分が聖騎士団を抜けていることを<br>怒らないのでありますか？,啊，那个……爷爷，那个……在下擅自脱离圣骑士团，你不生气吗？
12,セワスチアン,ん、リュミエール聖騎士団が<br>どう思うかは存じませんが……<br>私がお嬢様の正義を疑うとでも？,……卢米埃圣骑士团那边是怎么想的先不论……要是连我也怀疑大小姐的正义那怎么行呢？
13,セワスチアン,貴女には貴女の考えがあっての事。<br>それを私からとやかく言うつもりは<br>僅かもございません。,你也有你自己的考虑。我要说的就只有这些而已。
14,シャルロッテ/夏洛特,じいや……,爷爷……
15,セワスチアン,さて、それよりも──,好了，比起这个——
16,,<span class='scene-font-katari'>セワスチアンは、この騎空艇内で</span><br><span class='scene-font-katari'>クッキングバトルが勃発している事を</span><br><span class='scene-font-katari'>説明する。</span>,<span class='scene-font-katari'>塞巴斯蒂安向夏洛特说明了骑空艇上热火朝天地举行厨艺大赛的事。</span>
17,シャルロッテ/夏洛特,なんでそんなことに……！,为什么要做这种事……！
18,セワスチアン,貴女は相変わらず愛されるお方だ。<br>皆様、貴女を元気づけたいと<br>一生懸命のご様子です。,你还是老样子被大家爱着呢。大家好像都为了让你恢复精神而在拼命努力着。
19,シャルロッテ/夏洛特,そんな……自分が不甲斐ないばかりに<br>皆に迷惑を掛けて<br>しまっているとは……！,怎么会……因为在下不中用给大家添了这么多麻烦……！
20,セワスチアン,そう言うと思って、<br>賞品を用意しました。,就猜到你会这么说，我已经准备好奖品了。
21,シャルロッテ/夏洛特,賞品、でありますか？,奖品？
22,セワスチアン,元気を失くした貴女をゲームに<br>使ってしまったようになり、<br>少し気が引けましたが……,为了给没精神的你举办一场小游戏，虽说稍微有点难为情……
23,セワスチアン,皆様には全力で戦っていただきたく、<br>勝者には<span class='scene-font-spword'>『リュミエールグルメ』</span>の<br>レシピを伝授致します。,我会在大家全力奋战的终点处，传授胜者<span class='scene-font-spword'>『卢米埃美食』</span>的食谱。
24,セワスチアン,どうせやるなら愉快がモットーです。<br>どうぞ貴女もお楽しみください。<br>皆様を手伝ってもよろしいですよ。,反正要做的话不如开心点，希望你也能乐在其中。要去帮大家的忙也可以的哦。
