id,en,jp,trans
0-chapter_name,,第5話 古竜の祠,第5话 古龙祠堂
0-synopsis,,崩れ落ちた祠から、突如骨竜と骸の魔物達が姿を現す。それはかつて討伐された古竜と、その古竜との戦いで命を落とした騎士達が蘇った姿であった。ランスロットとヴェインは姬塔に受験生達の避難の先導を頼み、時間稼ぎのため魔物達を食い止めにかかる。,塌陷的祠堂中突然出现古龙和骸骨魔物。那是曾经被讨伐的古龙，和为讨伐古龙丧命的骑士们。兰斯洛特、维恩、姬塔为让考生们避难与魔物对峙。
6,,フシュルル……,呼咻噜噜……
7,,<span class='scene-font-katari'>立ち込める砂塵の中から、</span><br><span class='scene-font-katari'>突如、骨竜が立ち上がった。</span>,<span class='scene-font-katari'>四散尘嚣中，一副龙骨出现。</span>
8,,<span class='scene-font-katari'>突然の事態に、辺りは</span><br><span class='scene-font-katari'>騒然となるのだった。</span>,<span class='scene-font-katari'>这突如其来的一幕令周围一片哗然。</span>
9,,うぇええっ！<br>なんだこのホネホネは！,呜诶诶诶！<br>这是什么玩意儿啊！
10,,まさか……<br>伝説の古竜が蘇ったのか……？,难道……<br>是传说中的古代龙苏醒了……？
11,,フシュルル……,呼咻噜噜……
18,,<span class='scene-font-katari'>苦しそうに呻き声を上げる</span><br><span class='scene-font-katari'>骨竜の頭部から黒い霧が吹きだし</span><br><span class='scene-font-katari'>辺り一面を包み込む。</span>,<span class='scene-font-katari'>骨龙痛苦地呻吟着，</span><br><span class='scene-font-katari'>头部弥漫起黑色的雾气。</span>
22,,<span class='scene-font-katari'>黒い霧に反応する様に</span><br><span class='scene-font-katari'>辺りから次々と蘇る骸達。</span>,<span class='scene-font-katari'>黑雾中又不断有苏醒</span><br><span class='scene-font-katari'>的骸骨站起。</span>
23,,ウァァ……,呜啊啊……
24,,これは……<br>かつて古竜と戦い敗れた<br>騎士達の骸なのか……？,这些是……<br>与古代龙搏斗中丧命<br>的骑士们的尸骸……？
25,,アァァァ！,咕啊啊啊！
28,,<span class='scene-font-katari'>突如現れた骸の騎士が</span><br><span class='scene-font-katari'>近くに立っていた試験官に</span><br><span class='scene-font-katari'>襲い掛かる。</span>,<span class='scene-font-katari'>突然出现的骑士骸骨</span><br><span class='scene-font-katari'>冲过去袭击站在旁边的考官。</span>
30,,ぐぁっ……,咕啊……
32,,<span class='scene-font-4'>はぁぁぁっ！</span>,<span class='scene-font-4'>哈啊啊！</span>
35,,……ウァ……,……呜啊……
37,,大丈夫か！,没事吧！
38,,は、はい……<br>かすり傷です。,啊，没……<br>只是擦伤。
39,,くそっ……<br>一体何がどうなっている！,可恶……<br>到底怎么回事！
40,,こんな時のためについて来たんだ！<br>オイラ達も戦うぜ！,我们就是为了防止特殊<br>情况才来这儿！<br>我们也来帮忙！
41,,……その気持ちは有難いが、<br>ここは俺達が食い止める！,虽然很感谢……<br>但这里请交给我们吧！
42,,姬塔達は、<br>退路を断たれる前に受験生達を<br>先導して避難してくれるか？,姬塔你们帮忙在退路<br>被截断之前带考生们<br>撤退可以吗？
42-sel1_txt,,<span class='scene-font-katari'>任せてくれ！</span>,<span class='scene-font-katari'>交给我们了！</span>
42-sel2_txt,,<span class='scene-font-katari'>……でも</span>,<span class='scene-font-katari'>但是……</span>
43,,姬塔、<br>恩に着る！,姬塔<br>多谢！
44,,頼んだぜ！　<br>姬塔！,拜托了！　<br>姬塔！
45,,へへっ！　大丈夫大丈夫！<br>俺達なら心配いらねぇって！,嘿嘿！没事的没事的！<br>不用担心我们！
46,,ああ、俺達のことはいいから<br>先に行ってくれ！,啊啊，别管我们，快走！
47,,行きましょう！<br>姬塔！,走吧！<br>姬塔！
48,,<span class='scene-font-katari'>ルリアの言葉を受けて</span><br><span class='scene-font-katari'>力強く頷く姬塔。</span>,<span class='scene-font-katari'>听到露莉亚的话后，姬塔点点头。</span>
49,,ヴェイン班長！<br>俺たちが加勢します！,维恩班长！<br>我们也来帮忙！
50,,ああ！<br>こんな奴ら、脆そうだし余裕だぜ！,啊啊！<br>这些家伙看上去很脆，<br>对付起来应该很简单。
51,,えっと……<br>僕は……その……,那个，我，那个……
52,,……いつでも行ける。,我随时可以上。
53,,……ダメだ！,不行……！
54,,気持ちは嬉しいが……<br>お前らじゃ足手まといだ！,虽然我很欣慰……<br>但你们帮不上忙！
