id,name,text,trans
0-chapter_name,,第3話 壁,第3話 壁
0-synopsis,,グランサイファー内に残り力を温存するサンダルフォン。これまでに焦りを見せていたサンダルフォンに、ミカエルは「貴様はまわりが見えていない。ルシフェル様の心にはいつも何が映っていた？」と説く。そこに防壁突破の合図が来て、一行はグランサイファーでパンデモニウムに突入しようとする。しかし倒したはずのケルブが立ち塞がり、一行は武器を取るのだった。,圣德芬在格兰赛法内保存着实力。对于一直焦躁不安的圣德芬，米迦勒以「你从来不看四周，而路西菲尔的心中一直映照着什么」来说服他。就在这时，防壁被突破的信号来了。一行人乘坐格兰赛法准备冲入伏魔殿。但是本应被击退的基路伯挡在了前方，一行人应战。
2,,<span class='scene-font-katari'>赤い空に反撃の狼煙があがり、</span><br><span class='scene-font-katari'>パンデモニウム上陸作戦が展開する。</span>,<span class='scene-font-katari'>赤红天空中升起了反击的狼烟，</span><br><span class='scene-font-katari'>伏魔殿登陆作战拉开序幕。</span>
3,,<span class='scene-font-katari'>力を温存するため、</span><br><span class='scene-font-katari'>グランサイファーに残った面々は、</span><br><span class='scene-font-katari'>逸る心を抑えて合図を待っていた。</span>,<span class='scene-font-katari'>为保留力量留在格兰赛法上的一行人，</span><br><span class='scene-font-katari'>抑制着急躁的心情等待信号到来。</span>
4,サンダルフォン/圣德芬,…………,…………
5,ミカエル/米迦勒,…………,…………
6,ルリア/露莉亚,あ、あの……<br>おふたりとも体調はいかがですか？<br>お腹とか空いてませんか？,那，那个……<br>两位身体状况怎么样？<br>肚子饿不饿？
7,ルリア/露莉亚,実はさっき連合の皆さんに、<br>非常食というのを貰ったんです！,联合军的人刚才给了<br>我们一些应急食物！
8,ルリア/露莉亚,こっちはサンダルフォンさんに……<br>白竜騎士団の副団長ヴェインさんが、<br>味にもこだわって作ったそうですよ。,这个是圣德芬的……<br>是白龙骑士团副团长维恩在味道上<br>下了很大功夫做出来的。
9,サンダルフォン/圣德芬,……頂こう。,我收下了……
10,ルリア/露莉亚,こっちはミカエルさんに……<br>ノイシュさんの仕える方々が、<br>健康にいい食材を選んだみたいですね。,这个给米迦勒……<br>似乎是诺伊修侍奉的各位大人<br>严选出来的对健康有益的食材。
11,ミカエル/米迦勒,……感謝する。,感谢……
12,ルリア/露莉亚,うんうん。<br>副団長さんの想い、主君さんの想い……<br>おふたりにもきっと伝わると思います！,嗯嗯。<br>副团长的心意，主君的心意……<br>一定也能传达到二位心里的！
13,ルリア/露莉亚,では張り切って頂きましょう！,那么就加油吃光光吧！
14,サンダルフォン/圣德芬,……フッ。,呵……
15,ミカエル/米迦勒,……フフフッ。,呵呵呵……
16,ルリア/露莉亚,うん？<br>なんですか、おふたりとも？,嗯？怎么了，两位？
17,サンダルフォン/圣德芬,失礼。<br>ただ随分とわかりやすい主張をする。,失礼了，<br>只是你这提议还真是简单易懂啊。
18,ミカエル/米迦勒,そうだな。<br>まぁ此奴に気を遣わせる妾達が悪い。,是啊。<br>该怪我们俩，还要麻烦她来照应。
19,ルリア/露莉亚,あ、あはははは……<br>すみません、色々だめだめで……,啊，啊哈哈哈哈……<br>对不起，是我太笨了……
20,サンダルフォン/圣德芬,ミカエル。<br>君が俺を認めない理由はわかっている。,米迦勒。<br>我明白你为什么不认同我。
21,サンダルフォン/圣德芬,ただ後継者であるという一点で、<br>敬意と信頼など持てる筈もない。,只是作为继承者，<br>没有必要予以敬意和信赖。
22,サンダルフォン/圣德芬,何より災厄の罪がある……<br>そのせいでルシフェル様は……,最重要的是还有灾厄的罪行……<br>路西菲尔大人也是因为这个……
23,ミカエル/米迦勒,誤解するな。<br>後継者の件はルシフェル様の御意思だ。,不要误会，<br>继承者是路西菲尔大人的意志。
24,ミカエル/米迦勒,故に異存はないが……<br>貴様はあまりにまわりが見えておらぬ。,所以我没有任何异议……<br>只是你过于不在意周围。
25,サンダルフォン/圣德芬,まわりだと……？,周围……？
26,ミカエル/米迦勒,贖罪、復讐、約束……,赎罪、复仇、约定……
27,ミカエル/米迦勒,貴様の瞳に映っているのは常に己自身。<br>その心には人々も世界も映っておらぬ。,你眼里映照着的总是只有你自己。<br>心灵没有映照人们和世界。
28,ミカエル/米迦勒,ルシフェル様の心には、<br>いつも何が映っていた？,路西菲尔大人的心中，<br>总是映照着什么？
29,ミカエル/米迦勒,天司長の座と力を引き継いだ貴様に、<br>その心も教えるのが副官の責務でな。,将那心灵传达给继承<br>天司长身份和力量的你，<br>正是我身为副官的责任。
30,サンダルフォン/圣德芬,…………,…………
31,ミカエル/米迦勒,フ……<br>説教などする気はなかったが……,呵……<br>我没打算对你说教的……
32,ビィ/碧,お～い！<br>防壁突破の合図が届いたぞ！,喂！<br>突破防壁的信号到了！
33,ルリア/露莉亚,ほ、本当ですか！？,真，真的吗！？
34,サンダルフォン/圣德芬,来たか……<br>急ぎ上陸するぞ、姬塔！,来了吗……<br>赶紧登陆吧，姬塔！
35,ミカエル/米迦勒,道中の雑魚共は妾が潰す。<br>貴様達はラカムの操舵を補助せよ！,路上的杂鱼就由我来击溃。<br>你们去辅助拉卡姆操舵！
36,ビィ/碧,おう、任せろぃ！,哦，交给我了！
41,？？？,ゴホッゴホッ……,咳咳……
43,ロゼッタ/萝赛塔,イオちゃん……？<br>皆、どこにいるの！？,小伊欧……？<br>大家，都在哪里！？
45,イオ/伊欧,うぅん……？<br>あ、ここだよロゼッタ……<br>カリオストロさんも隣にいるわ。,嗯……？<br>啊，我在这里萝赛塔……<br>卡莉奥斯特萝也在旁边。
