id,name,text,trans
0-chapter_name,,第6話 アタシの大切な,第6话 我最重要的
0-synopsis,,フレイを倒したメドゥーサとバアル。姬塔とルリアも力を合わせ、残りの星晶獣を打ち倒す。するとジオはフレイ達をその身に取り込む。そしてメドゥーサから無理やりステンノのコアを奪うと、エウリュアレーのコアと同時に自身へ取り込み、ナタクとサテュロスを石化させてしまう。姉達の力を仲間に向けられたメドゥーサは激昂し、ジオに戦いを挑むのだった。,美杜莎和巴尔打败了弗雷。姬塔和露莉亚也合作打败了其他星晶兽。随后吉欧将弗雷他们吸收到体内，还从美杜莎手中夺走斯忒诺的核心，连同尤瑞艾莉的核心一起吸收进体内，用她们的力量石化了哪吒和萨蒂尔。看到姐姐们的力量被用来对付同伴，激怒的美杜莎与吉欧对峙。
1,フレイ/弗雷,ぐっ……ここまで、か……,唔……到此为止了吗……
4,サテュロス/萨提洛斯,きゃー！<br>ふたりともさっすが！！,啊！<br>你们两个太棒了！！
5,ビィ/碧,ったく、すげぇ連携だったぜ！<br>言い争いばっかりだった<br>アイツらとは思えねぇな！,配合太默契了！<br>明明总是在吵，真是没想到！
6,ナタク/哪吒,やる時はやる奴らだからな。,他们两个，关键时刻还是很可靠的。
7,ビィ/碧,オイラ達も負けてらんねぇぜ！<br>姬塔！,咱们也不能输啊，姬塔！
8,,<span class='scene-font-katari'>頷いた姬塔は、</span><br><span class='scene-font-katari'>残った星晶獣に向かって</span><br><span class='scene-font-katari'>武器を振りかぶる。</span>,<span class='scene-font-katari'>姬塔点头，向剩下的星晶兽发动攻击。</span>
14,スノウホワイト/白雪,うっ！？,呜！？
15,ナタク/哪吒,畳み掛ける！,上吧！
16,サテュロス/萨提洛斯,はーいっ！,好的！
26,ザオシェン/灶神,────！？,——！？
27,ルリア/露莉亚,私、も……！,我也……！
28,ビィ/碧,ルリア！<br>無理するな！,露莉亚，别太勉强了！
29,ルリア/露莉亚,もう、大丈夫です。<br>私も、力になりたいから……！,已经没事了。<br>我也想帮上忙……！
34,ルリア/露莉亚,闇の炎の子……,暗炎之子……
35,ルリア/露莉亚,汝の名は……,汝名为……
36,ルリア/露莉亚,バハムート！,巴哈姆特！
50,星晶獣達,────……,——……
54,ビィ/碧,やったぜルリア！,成功了，露莉亚！
55,サテュロス/萨提洛斯,さすがに、もう復活しない……？,这下应该，不会再复活了吧……？
56,ナタク/哪吒,コアに内蔵されているエネルギーも<br>無限ではないからな……,毕竟核心内的能量也不是无限的……
57,ジオ/吉欧,そうだね……,是啊……
59,,<span class='scene-font-katari'>溜息を吐いたジオは、</span><br><span class='scene-font-katari'>倒れ伏した星晶獣達へ歩み寄る。</span>,<span class='scene-font-katari'>吉欧叹息道，走到倒下的星晶兽身边。</span>
60,ジオ/吉欧,……ごめんね。<br>やっぱり戦いは悲しくて無駄なものだ。,……对不起。<br>果然，战斗总是悲哀而徒劳的。
61,フレイ/弗雷,う、ぅ……<br>ジオ、世界に……<br>星の獣達に、どうか、安寧を……,呜……<br>吉欧，为世界……<br>为星晶兽，带来安宁……
63,ジオ/吉欧,大丈夫。あとはもう俺に任せて。<br>君は俺の中でその安寧に<br>まどろむといいよ。,没事的。剩下的就交给我吧。<br>你就在我体内，在安宁中小睡一会儿。
64,サテュロス/萨提洛斯,やっ……また！？,啊……又来！？
75,,<span class='scene-font-katari'>姬塔達の目の前で、</span><br><span class='scene-font-katari'>ジオは３体の星晶獣をあっと言う間に</span><br><span class='scene-font-katari'>自らに取り込んでしまった。</span>,<span class='scene-font-katari'>姬塔等人眼睁睁地看着吉欧一瞬间就吸收了三只星晶兽。</span>
76,メドゥーサ/美杜莎,<span class='scene-font-4'>だからっ！</span><br>ソレやめなさいって<br>言ってんのよ！！,<span class='scene-font-4'>所以说！</span>我叫你别再做这种事了啊！！
77,バアル/巴尔,……不快極まりない。,……太令人不快了。
78,ジオ/吉欧,どうやら君達は、<br>わかってくれないみたいだ。<br>……悲しいけど、仕方ない。,看来你们还是不明白。<br>……虽然我很伤心，但也没办法。
79,,<span class='scene-font-katari'>物憂げに息を吐いたジオは</span><br><span class='scene-font-katari'>掲げた人差し指を</span><br><span class='scene-font-katari'>ひょいと振る。</span>,<span class='scene-font-katari'>吉欧消沉地叹了口气，举起食指轻轻一晃。</span>
82,メドゥーサ/美杜莎,……あっ！,……啊！
84,,<span class='scene-font-katari'>ジオの指に操られるように、</span><br><span class='scene-font-katari'>メドゥーサの腕からステンノのコアが</span><br><span class='scene-font-katari'>浮かび上がる。</span>,<span class='scene-font-katari'>美杜莎怀中斯忒诺的核心像被操纵了一般浮至半空。</span>
85,メドゥーサ/美杜莎,ステンノお姉ちゃん！<br>待って！！,斯忒诺姐姐！<br>等一下！
86,,<span class='scene-font-katari'>慌てて伸ばされたメドゥーサの</span><br><span class='scene-font-katari'>指先はコアに届かず空を切った。</span>,<span class='scene-font-katari'>美杜莎慌忙伸出手，但扑了个空。</span>
89,ジオ/吉欧,もらうね。,我收下了。
90,メドゥーサ/美杜莎,なんで……！？<br>お姉ちゃん！！,为什么……！？<br>姐姐！！
91,ジオ/吉欧,忘れたかい？<br>このコアを見つけてあげたのは<br>俺だったよね。,你忘了吗？<br>帮你找到核心的，可是我啊。
92,ジオ/吉欧,その時にちょっと<br>仕込んでおいたからね。<br>これくらい簡単さ。,那时我做了点手脚。<br>这点小事轻而易举。
93,ナタク/哪吒,不覚だったか……！,大意了……！
94,サテュロス/萨提洛斯,ど、どうするつもりなの！？,你、你想干什么！？
95,ジオ/吉欧,本当はメドゥーサのことも<br>待ちたかったなぁ。三姉妹<br>揃えられなかったのは残念だけど……,其实我也很想等美杜莎的。<br>没能凑齐三姐妹真是遗憾啊……
119,ジオ/吉欧,とりあえずふたり分、<br>先にもらっておくことにしよう。,总之，我先收下两人的核心吧。
120,メドゥーサ/美杜莎,<span class='scene-font-4'>嫌だああぁぁぁっ！！</span>,<span class='scene-font-4'>不要啊啊啊啊啊！！</span>
129,,<span class='scene-font-katari'>制止の絶叫も空しく、</span><br><span class='scene-font-katari'>ふたつの琥珀色はジオの中へと</span><br><span class='scene-font-katari'>消えていった。</span>,<span class='scene-font-katari'>试图制止吉欧的惨叫无济于事。两颗琥珀色的核心消失在吉欧体内。</span>
130,ルリア/露莉亚,そ、そんな……<br>メドゥーサちゃんのお姉さんが！,怎、怎么会……<br>美杜莎的姐姐！
131,メドゥーサ/美杜莎,おねえ、ちゃ……,姐姐……
133,,<span class='scene-font-katari'>崩れ落ちるように膝をついた</span><br><span class='scene-font-katari'>メドゥーサをちらりと見下ろして</span><br><span class='scene-font-katari'>ジオは悠然と微笑む。</span>,<span class='scene-font-katari'>美杜莎崩溃地跪倒在地。而吉欧只是看着她悠然微笑。</span>
134,ジオ/吉欧,これが魔眼の力か……<br>はは、なかなか良さそうだ！,这就是魔眼的力量吗……<br>哈哈，感觉很不错！
135,ジオ/吉欧,ちょっと試してみるかな。,先来试试吧。
138,サテュロスとナタク,<span class='scene-font-4'>っ！？</span>,<span class='scene-font-4'>！？</span>
145,,<span class='scene-font-katari'>瞬きする間もなく、</span><br><span class='scene-font-katari'>サテュロスとナタクは</span><br><span class='scene-font-katari'>石と化した。</span>,<span class='scene-font-katari'>不到一眨眼的工夫，萨提洛斯和哪吒就变成了石头。</span>
146,バアル/巴尔,ナタク！<br>サテュロス！,哪吒！<br>萨提洛斯！
147,ルリア/露莉亚,今の、メドゥーサちゃんの<br>石化の力と同じ……！？,刚才的，和美杜莎的石化之力一样……！？
148,ビィ/碧,ひょっとして<br>吸収した姉ちゃんの力を<br>使ったってことか！？,难道说他使用了美杜莎姐姐的力量！？
149,サテュロスとナタク,…………,
150,メドゥーサ/美杜莎,なんて、ことを……,你都、做了些什么……
151,メドゥーサ/美杜莎,アタシの大好きなお姉ちゃんの力を……<br>アタシ達の誇り高き魔眼の力を……,用我最喜欢的姐姐的能力……<br>用我们自豪的魔眼之力……
152,メドゥーサ/美杜莎,そんな風に、よりによって<br>アタシの仲間に向かって<br>使うなんて……！,偏偏用在我同伴身上……！
153,メドゥーサ/美杜莎,<span class='scene-font-4'>絶対に許さないっ！！</span>,<span class='scene-font-4'>绝对饶不了你！！</span>
info,,,scene_evt190430_cp6_q3_s20
