id,name,text,trans
0-chapter_name,,第4話 精霊の夢,第4話 精灵之梦
0-synopsis,,目が覚めたリリィは、不思議な夢を見せたのは『炎神ヤリーラ』かもしれないと知る。一方、軍議が終わったゲルラは一行に「共存会談を承諾する」旨を伝える。それには条件が課されるものの、一行は平和に向かって一歩前進したことを喜ぶのだった。,醒来的莉莉知道了让自己做梦的是'炎神亚莉拉'。另一方，结束会议的盖尔拉告诉众人将会进行共存会谈。虽然条件苛刻，但一行人还是为前进的一步而感到欣喜。
0,,<span class='scene-font-katari'>突如として眠り込んだリリィは、</span><br><span class='scene-font-katari'>狼炎府の一室に担ぎ込まれていた。</span>,<span class='scene-font-katari'>突然陷入沉睡的莉莉，</span><br><span class='scene-font-katari'>被放到狼炎府的一室。</span>
1,,<span class='scene-font-katari'>ふと目の覚めたリリィは、</span><br><span class='scene-font-katari'>ぼんやりと天井を見つめて欠伸をする。</span>,<span class='scene-font-katari'>醒来的莉莉，</span><br><span class='scene-font-katari'>呆呆地看着天花板。</span>
2,リリィ,ふわあ……<br>おはよ……ございます……？,呼啊……<br>早上……好……？
3,スヴァルの尖兵,やっと起きたか……<br>いきなりどうしたんだよ、オイ。,终于醒了……<br>怎么一下子就倒了。
4,スヴァルの尖兵,……あ？<br>なんだァ、頬に涙の跡がついてんぞ。<br>怖い夢でも見たのかよ？,……啊？<br>怎么了，脸上有泪痕哦。<br>做了什么恐怖的梦吗？
5,リリィ,涙？<br>あ、ほんとなの。<br>でも夢……覚えてない、です。,泪？<br>啊，真的。<br>但是梦……我已经不记得了。
6,リリィ,でも、えと……<br>とっても不思議な……<br>悲しい景色を見た気がするの。,但是……<br>我看到了不可思议的……<br>悲伤的事情。
7,スヴァルの尖兵,ふ～ん……？<br>そいつぁ「炎神ヤリーラ」様かもなァ。,哼～……？<br>那也许是'炎神亚莉拉'大人。
8,リリィ,えんしんヤリーラ？,炎神亚莉拉？
9,スヴァルの尖兵,狼炎府にいた、<br>スネグラーチカ的な存在だよ。<br>百年以上前に消えたそうだがな。,在狼炎府，<br>和斯涅格拉奇卡一样的存在。<br>似乎在百年前就消失了。
10,スヴァルの尖兵,テメェ、クリスタリアの姫だろ？<br>交信できるスヴァルが残ってねェから、<br>特別になんか伝えたかったのかもなァ。,你这家伙，不是克里斯塔利亚的公主吗？<br>因为能与之通信的斯瓦尔没有了，<br>所以想告诉你一些东西吧。
11,リリィ,ヤリーラさまがリリィに……,亚莉拉大人给莉莉……
12,スヴァルの尖兵,敵の神にも「様」かよ？<br>まぁ適当な想像だ、マジになるな。,连敌人的神也称作'大人'？<br>那只是适当的想象，别当真。
13,スヴァルの尖兵,で、体はもういいのか？<br>ゲルラ様がテメェの仲間を呼んでたぞ。,身体怎么样了？<br>盖尔拉大人把你的伙伴叫走了哦。
14,リリィ,わあ、ほんとに！？<br>きっと共存会談の話なの！,哇啊、真的！？<br>一定是共存会谈的事！
15,スヴァルの尖兵,客間だぜ。<br>そこの角を曲がって突き当たりだ。,在客房。<br>转过那个角就到了。
16,リリィ,ありがとなの、行ってみる！,谢谢你，我走了！
18,スヴァルの尖兵,あ、そうだ、木の実のパイを……<br>ってオイ、もう行っちまったのかよ。,啊，对了，果子派……<br>喂，这就走了啊。
19,スヴァルの尖兵,まぁ、また今度でいいか……,算了，下次再说吧……
20,スヴァルの尖兵,あ？<br>「また今度」っつったか、オレ……？,啊？<br>我刚刚，说'下次'……？
23,ルリア/露莉亚,そ、それで……<br>結論は出たんですよね？,那，那么……<br>结论出来了吧？
24,ゲルラ,……ああ。,……嗯。
25,ビィ/碧,じゃ、じゃあさっさと言えよぉ……<br>なんだか緊張してきたじゃねぇか。,那，那就快说吧……<br>不觉得有些紧张吗。
26,ゲルラ,フ、緊張？<br>騎空団には直接関係ないはずだが……<br>変わった連中もいるものだ。,哼，紧张？<br>和骑空团应该没有直接关系吧……<br>奇怪的家伙啊。
27,ゲルラ,では、結論を伝えよう。,那么，结论是这样的。
28,ゲルラ,我らスヴァルは……<br>戦の準備を一時的に停止する。,我们斯瓦尔……<br>将会暂停战争的准备。
29,ゲルラ,そして氷晶宮の提案である、<br>共存会談に条件付で応じるつもりだ。,我们会等着，<br>冰晶宫的共存会谈的条件。
30,ルリア/露莉亚,……っ！,……！
31,ビィ/碧,や、やったぜ！<br>男に二言はねぇな……！？<br>話のわかるヤツだと思ってたぜ！,太，太好了！<br>君子一言驷马难追……！？<br>你真是个明事理的家伙！
32,ゲルラ,取り違えるな。<br>戦を止めると誰が言った？,别瞎嚷嚷。<br>说要停战的不是你们吗？
33,ゲルラ,前族長の死には不審がある。<br>暗殺者の正体は未だ不明なのだ。,前族长的死亡很诡异。<br>现在还没有查明是谁下的手。
34,ゲルラ,よって最初の共存会談は、<br>この真相の究明を第一義とする。<br>この条件に妥協の余地は皆無だ。,所以最初的共存会谈，<br>将会把查明真相作为第一条件。<br>这个条件没有妥协的余地。
35,ゲルラ,人間とクリスタリア双方に承諾させろ。<br>認めねば、その陣営を暗殺者と断ずる。<br>つまり戦を始める大義ともなる条件……,人类和克里斯塔利亚都要承认。<br>谁不承认，谁就会被当做暗杀者阵营。<br>我们就会开战……
