id,name,text,trans
0-chapter_name,,第2話 セン、自己紹介をする,第2话 千，自我介绍
0-synopsis,,若い猫に連れて行かれた雑居房には、また他の猫達がずらりと並んでいた。古株の猫の説明によるとここはマオ・メラの檻と呼ばれる監獄で、トラジロウ達が配下を増やす為の矯正施設らしい。リベラ達の自己紹介を聞いて「名有り」「人に飼われた軟弱モノ」とバカにする檻の猫達。不穏な空気の流れる中、自己紹介を始めたセンに、猫達の注目が集まるのだった。,年轻的猫带他们来到集体牢房，里面还有其他猫咪。这里的猫告诉他们，这里是名叫玛奥·梅拉的监狱，是虎次郎等猫为增加手下而设置的矫正设施。听完利贝拉等猫的自我介绍，牢房的里的猫纷纷笑它们是「有名字的」「被人类饲养的软蛋」。紧张的气氛中，千开始了自我介绍，吸引了猫咪们的注意。
1,,<span class='scene-font-katari'>若い猫に先導されて辿り着いたのは、</span><br><span class='scene-font-katari'>先程よりも少し広い部屋だった。</span>,<span class='scene-font-katari'>年轻的猫带着他们来到比原先房间更宽敞的地方。</span>
2,古株の猫,そいつらが新入りか？,这些是新人？
3,若い猫,はい。,是的。
4,セン,わぁ……<br>ここにも猫さんがいっぱいですね。,哇……<br>这里也有好多猫啊。
5,ムクタ,……どういう状況だ？,……什么情况？
6,,<span class='scene-font-katari'>そこには、数多くの猫達が</span><br><span class='scene-font-katari'>ずらりと並び、一様に</span><br><span class='scene-font-katari'>リベラ達を見つめている。</span>,<span class='scene-font-katari'>很多猫咪排成一排看着利贝拉他们。</span>
7,セン,猫さんの集会……ですかね？,这是猫咪集会……吗？
8,ヴァパウス,なぁなぁ、何コレ？<br>コレ何の集まり？,这是啥啊？<br>是什么集会吗？
9,古株の猫,自分達の立場も状況も<br>わかってねぇって間抜け面だな。,是一群还没弄清楚状况的傻瓜啊。
10,セン,私、ここにいても<br>いいのかな……？,我，可以呆在这里吗……？
11,アファカ,ふぁ……,哈……
13,古株の猫,<span class='scene-font-4'>おいテメェ！</span><br>ふざけてんのか！？,<span class='scene-font-4'>喂你这家伙！</span><br>你搞什么！？
14,エレフセリア,あくびをしただけ<br>じゃないですか……,不就是打了个哈欠吗……
15,古株の猫,新入りのクセに<br>デカい顔してんじゃねぇって<br>言ってんだよ！,新来的少摆臭架子！
16,古株の猫,<span class='scene-font-4'>礼儀ってもんを</span><br><span class='scene-font-4'>知らねぇのか！？</span>,<span class='scene-font-4'>不懂什么叫礼仪吗？</span>
17,ムクタ,初対面でいきなりデカい顔して<br>怒鳴り散らしてくる奴に<br>礼儀を説かれるとは驚いたな。,对初次见面的猫大吼大叫的家伙还提什么礼仪，真是令我震惊。
19,古株の猫,<span class='scene-font-4'>ンだとぉ！？</span>,<span class='scene-font-4'>你说什么！？</span>
20,赤毛の猫,まぁまぁ。<br>イキがってる奴を教育するってのも<br>一興ってもんです。,算了算了，慢慢教育这些自我感觉太好的家伙也是一种乐趣啊。
21,痩せた猫,そうですよ。<br>いつまでこの威勢を保てるか<br>見物じゃないですか。,没错。<br>看看他们能保持着势头到什么时候。
22,ヴァパウス,なぁなぁ、<br>なんで君達そんな整列してんの？<br>なんでぴしっと座ってんの？,我说，你们为什么排着队？<br>为什么都坐得那么端正啊？
23,毛の長い猫,な、なんだって？,你、你说什么？
24,ヴァパウス,変わってんね。<br>それ、俺もやんなきゃダメ？,真奇怪啊。<br>我也要这样才行？
25,ヴァパウス,あ、あの台とかイイ感じじゃない？<br>俺、あの上に乗りたいな！,那台子感觉不错。<br>我想到那上面去！
27,古株の猫,<span class='scene-font-4'>勝手にしゃべるな！</span><br>うろちょろすんな！<br>テメェらにその自由はねぇ！！,<span class='scene-font-4'>谁让你说话了！</span><br>少给我上蹿下跳的！<br>你们没有那种自由！
28,,<span class='scene-font-katari'>ヴァパウス達を威嚇するような</span><br><span class='scene-font-katari'>怒鳴り声を上げる猫に、</span><br><span class='scene-font-katari'>センは戸惑って首を傾げる。</span>,<span class='scene-font-katari'>看着朝巴帕乌斯他们怒喝的猫，千感到很疑惑。</span>
