id,name,text,trans
0-chapter_name,,第3話 もうひとりのユリウス,第3话 另一个尤里乌斯
0-synopsis,,『あの日』起こったすべての出来事を語ったアルベール。マイムはその話に驚きを隠せない。アルベールはその事件以来、嘘を感じ取り雷を発する不思議な力が発現するようになったという。アルベールがユリウスを追うのは、ユリウスを反逆者として捕らえるためでなく、自らの手で討つ為だと語る。そこへ合流した姬塔は意外な人物を連れていた。それは他ならぬユリウスだった。,听阿尔贝尔讲完『那一天』的经过，麦姆震惊不已。自那次事件以来，阿尔贝尔发现天雷剑觉醒了感知到谎言便放出雷击的力量。他告诉麦姆，他寻找尤里乌斯并不是为了捉拿反贼，而是为了亲自讨伐他。然而姬塔等人带来一个意外的人物。那正是尤里乌斯。
1,,<span class='scene-font-katari'>ユリウスが起こした事件について</span><br><span class='scene-font-katari'>全てを語ったアルベールは</span><br><span class='scene-font-katari'>深く息を吐いた。</span>,<span class='scene-font-katari'>讲完尤里乌斯引发的那次事件，阿尔贝尔深深地叹了口气。</span>
2,アルベール /阿尔贝尔,……後は、お前も知っての通りだ。,……之后的事你也知道。
3,マイム/麦姆,知りませんでした……<br>団長が『天雷剣』を預かって<br>レヴィオンを出たのは……,我还以为……<br>团长带着『天雷剑』离开雷维翁……
4,マイム/麦姆,王国の危機を救ったという<br>その剣の伝説になぞらえての<br>こととばかり……,是在模仿『天雷剑』拯救了王国的传说……
6,アルベール/阿尔贝尔,……あのまま、この剣と<br>レヴィオンにとどまったところで<br>意味はなかったからな。,……毕竟，和这把剑一起留在雷维翁也没有意义。
7,アルベール/阿尔贝尔,旅の最中、『天雷剣』は<br>言葉の嘘を感じ取り雷を発する<br>不思議な力を発現した。,旅行中，『天雷剑』觉醒了一种感知到谎言就会放出雷击的力量。
8,アルベール/阿尔贝尔,……存外、俺の決意に<br>呼応してくれたのかもしれんな。,……意外地，积极回应了我的决意啊。
9,マイム/麦姆,決意……ですか。,决意……吗。
11,アルベール/阿尔贝尔,騎士団長を辞してまで俺が旅に出たのは<br>ユリウスを反逆者として<br>捕えるためではない。,我辞掉骑士团长的职位也要离开的目的并不是要捉拿尤里乌斯。
12,アルベール/阿尔贝尔,力が満ちる前に、あいつを見つけ出し<br>今度こそ、この手で討つためだ……！,而是在他的力量变得完全之前找出他，亲手讨伐……
13,マイム/麦姆,アルベール団長……,阿尔贝尔团长……
14,アルベール/阿尔贝尔,……長い間、<br>黙っていてすまなかったな。,……抱歉，我这么久都没告诉你。
15,アルベール/阿尔贝尔,だが、できることならお前達には<br>知られずにすませたかった……,不过，我还是想尽量在你们知道之前把一切解决……
16,アルベール/阿尔贝尔,ユリウスをよく知っていた<br>お前達にはな……,毕竟你们和尤里乌斯也很熟……
17,マイム/麦姆,……だ、団長……！,……团、团长……！
18,マイム/麦姆,そんな事情があったとも知らず……<br>私は、私は、なんと無神経な……！,我都不知道发生了那种事……我、我实在太莽撞了……！
20,アルベール/阿尔贝尔,いいから、膝をつくな！<br>ともかく……,好了，别再下跪了！<br>总之……
21,アルベール/阿尔贝尔,……時が満ちれば、ユリウスは必ず<br>レヴィオンに戻ってくる。,……只要时机一到，尤里乌斯肯定会回到雷维翁。
22,アルベール/阿尔贝尔,それは、おそらく<br>『星の眼』が、再び動き出した、<br>今この時だ……,大概就是『星之眼』再次启动的现在吧……
23,マイム/麦姆,まさか……！<br>では、ユリウス様は<br>すでにこのレヴィオンに……！？,什么……！<br>那么，尤里乌斯大人已经来到雷维翁了吗……！？
25,アルベール/阿尔贝尔,ああ。間違いない……<br>『天雷剣』もまた、そう示している……,嗯。肯定没错……<br>『天雷剑』也有反应……
26,アルベール/阿尔贝尔,星の力に魅せられ、野心を抱き、<br>力に呑みこまれ……,被星之力吸引，因为野心而被星之力吞没……
27,アルベール/阿尔贝尔,王を亡き者にした今、あいつは<br>この王国を……そして、この俺を<br>滅ぼすことを、強く望んでいるはず……,杀害了国王之后，他的企图……应该是毁灭这个王国，杀了我吧……
28,ルリア/露莉亚,そんなこと、ありません！,没有这回事！
29,マイム/麦姆,な、お、お前達……！？ 　<br>いったい、どこから聞いて……！,什么、你、你们……！？<br>你们听到了多少……！
30,ビィ/碧,あー……悪ぃな。<br>ここにくるまでに話はだいたい<br>全部、聞こえちまったぜ……,啊……抱歉。<br>咱们在半路上就差不多，都听到了……
31,ルリア/露莉亚,すっごく響きますよね、<br>ここ……,这里回声很大……
32,マイム/麦姆,"んなぁあ……っ！？ ",什么……！？
33,ビィ/碧,そんなことより、<br>ユリウスの話だけどよぅ！,比起这个，咱们想说的是尤里乌斯！
34,ルリア/露莉亚,そうですよっ！<br>あのっ、アルベールさん……！,是的！<br>那个，阿尔贝尔先生……！
35,ルリア/露莉亚,実は、今のユリウスさんは、<br>本物のユリウスさんじゃなくて……！,其实，现在的尤里乌斯，不是真正的尤里乌斯……！
36,ルリア/露莉亚,いえ、本物の<br>ユリウスさんなんですけど……<br>ええっと……,不对，虽然也是真正的尤里乌斯……<br>唔……
37,ルリア/露莉亚,とにかく、アルベールさんの<br>知っているユリウスさんじゃ<br>ないんです……！,总之，不是阿尔贝尔先生熟知的那个尤里乌斯……！
38,マイム/麦姆,何が言いたいんだ！<br>お前は……！,你到底想说什么……！
39,ルリア/露莉亚,私達、会ったんです！<br>ユリウスさんに！,我们遇到尤里乌斯了！
40,マイム/麦姆,な……なんだとっ！？,什……什么！？
41,アルベール/阿尔贝尔,馬鹿な……ユリウスは、<br>あいつは、もう人ではない！,不可能……尤里乌斯，他已经、不是人类了！
42,アルベール/阿尔贝尔,邪心に呑まれた異形の獣だ！<br>もし、あいつに会ったのなら<br>ただですむはずが……！,他被邪念侵蚀，变成了怪物！<br>如果你们真的遇到他，他不可能这么简单地放过你们……！
43,男の声/男人的声音,やれやれ……<br>好きに言ってくれるものだ。<br>私は、暴虐の塊か？,哎呀哎呀……<br>你还真敢说。<br>我有那么残暴吗？
44,アルベール/阿尔贝尔,な……！？<br>お前は……！！,什么……！？<br>你是……！
info,,,scene_evt170131_cp3_q3_s10
