id,name,text,trans
0-chapter_name,,第5話 ザベられても折れねー心,被当成空气也不气馁的心
0-synopsis,,夜も更けてきた頃、一同の話題は、最近できた後輩力の高い友人・タイアーに及ぶ。学業を捨ててまでヴィーラを追ってきたというタイアーの話に、興味を示すスーテラ。尊敬できるのは真面目な人だというスーテラの言葉を受けて、一同は真面目な男であるジンの存在を思い出すのだった。,夜深了，众人的话题转移到最近加入他们的友人·体贴后辈泰亚身上。泰亚不惜放弃学业追维拉的事迹引起了斯黛拉的兴趣。斯黛拉表示她很尊敬认真的人，于是众人想起了认真的男人仁。
0,ラムレッダ/拉姆蕾塔,くかー……<br>やだ、あたしの女子力……<br>むにゃむにゃ……,呼哈……<br>讨厌，我的女子力……<br>唔唔……
1,,<span class='scene-font-katari'>夜も更けてきた頃、</span><br><span class='scene-font-katari'>ふとローアインは</span><br><span class='scene-font-katari'>最近知り合った者の名を口にした。</span>,<span class='scene-font-katari'>夜深后，罗艾因突然提到一个最近认识的人。</span>
2,ローアイン/罗艾因,しっかしアレな。ここまで<br>会のバイブスアガってくるとやっぱ、<br>ターくんＪＯＩＮが望まれるわ。,不过话说啊，联谊这么热闹，我真希望阿泰也来参加啊。
3,スーテラ/斯黛拉,ターくん……？,阿泰……？
4,エルセム/艾尔塞姆,最近できたダチ公に<br>ターくんってのがいるんスよ。<br>わりかし後輩力高めな奴。,阿泰是我们最近交到的朋友。<br>感觉是个很体贴的后辈啊。
5,トモイ/托莫伊,あー、あのアゴな。,啊，那个下巴。
6,ローアイン/罗艾因,そうそう。<br>やったら濃い顔してるんすよ。,对对，他的五官好立体啊。
7,エルセム/艾尔塞姆,それな。ケツアゴ、まつ毛長くて<br>オメメパッチリの……,那个吧，屁股下巴，还浓眉大眼的……
8,エルセム/艾尔塞姆,あ、すいません<br>食事中にケツとか汚いワード出して。,啊，抱歉，吃饭的时候说了屁股这种词。
9,,<span class='scene-font-katari'>ローアインらが話題に上げたのは、</span><br><span class='scene-font-katari'>タイアーという名の青年である。</span>,<span class='scene-font-katari'>罗艾因等人提到一个名叫泰亚的青年。</span>
15,？？？,<span class='scene-font-4'>たのも～う！</span>,<span class='scene-font-4'>打扰了！</span>
16,,<span class='scene-font-katari'>ある日、</span><br><span class='scene-font-katari'>彼はグランサイファーを</span><br><span class='scene-font-katari'>訪れた。そして……</span>,<span class='scene-font-katari'>某一天，他突然来到格兰塞法，然后……</span>
26,タイアー,失礼しますッ！<br>自分はタイアーと申しますッ！,失礼了！<br>我叫做泰亚！
27,ローアイン/罗艾因,ウイッス。ローアインっす。<br>何用っすか？,你吼。我叫罗艾因。<br>你有什么事吗？
28,タイアー,自分はヴィっ！,我喜！
29,タイアー,ヴィヴィヴィ……！<br>ヴィヴィヴィヴィヴィヴィ！,喜欢维维维……！<br>维维维维维维！
30,ローアイン/罗艾因,ちょ、落ち着けし。<br>オメなんか怪しい土産物みてーに<br>なってっから。,你、你冷静点。<br>你这样看起来就像个奇怪的特产。
31,エルセム/艾尔塞姆,<span class='scene-font-4'>ぶはは！</span><br>確かにこんな音が鳴る奴<br><span class='scene-font-place'>ギュステ</span>で売ってたわ。,<span class='scene-font-4'>哈哈哈！</span><br><span class='scene-font-place'>古斯特</span>的确有卖能发出这种声音的东西。
32,エルセム/艾尔塞姆,で、何用よ的な？,那你到底有什么事？
33,タイアー,こちらの騎空団に、とあるお方が<br>いらっしゃると聞いて！,我听说某个人就在这个骑空团！
34,トモイ/托莫伊,あー、それがそのヴィヴィヴィな感じ？<br>で、誰よ的な。,啊，就是你说的维维维？<br>到底是谁啊？
35,タイアー,それは……,这个……
36,タイアー,<span class='scene-font-4'>いやッッッ！</span><br>自分ごときがあのお方の名を口にするとは<br>おこがましいッッ！,<span class='scene-font-4'>不！</span><br>我根本不配说出她的名字！
37,エルセム/艾尔塞姆,めんどくせえ……これ情報引き出すのに<br>クッソ時間かかるパティーンじゃね？,好麻烦啊……感觉要花好久才能打听出来？
38,ローアイン/罗艾因,とりま連行すっか。,那总之先让他入伙呗。
39,エルセム・トモイ,<span class='scene-font-4'>りょ。</span>,<span class='scene-font-4'>了解。</span>
45,ローアイン/罗艾因,最初インペソの手先かと思って<br>正体掴むために<br>一緒にシーメー食ったんスけど……,一开始我们怀疑他是帝国的间谍，为了套话和他一起饭了一顿……
46,エルセム/艾尔塞姆,聞いてみりゃ<br>ヴィーラちゃんの後輩って話で。,原来他是维拉的后辈来着。
47,トモイ/托莫伊,その情報引き出すのに半日かかったとか<br>マジウケんだけど。<br>俺らマーヒーすぎっしょ。,花了半天才问出来的，真是醉了。<br>虽然我们也是无事闲来。
50,タイアー,失礼しますッ！<br>自分は<span class='scene-font-place'>アルビオン</span>の士官学校から<br>参りました、タイアーと申しますッ！,失礼了！<br>我是从<span class='scene-font-place'>阿尔比昂</span>士官学校来的泰亚！
51,,<span class='scene-font-katari'>迎えに出た姬塔へ</span><br><span class='scene-font-katari'>彼は溌剌とした声で自己紹介する。</span>,<span class='scene-font-katari'>他用充满活力的声音向出来迎接的姬塔介绍自己。</span>
52,,<span class='scene-font-katari'>聞けば、彼は</span><span class='scene-font-place'>アルビオン</span><span class='scene-font-katari'>の前領主</span><br><span class='scene-font-katari'>ヴィーラの後輩であり、</span><br><span class='scene-font-katari'>彼女を追ってやってきたという。</span>,<span class='scene-font-katari'>原来他是</span><span class='scene-font-place'>阿尔比昂</span><span class='scene-font-katari'>前领主维拉的后辈，追着她来这里。</span>
53,タイアー,姬塔殿の騎空団に、<br>自分を加えていただけませんかッ！<br>雑用係でもなんでも構いませんッ！,可以让我加入姬塔你的骑空团吗？<br>当个打杂的也没问题！
57,,<span class='scene-font-katari'>そうして甲板の掃除から始まった</span><br><span class='scene-font-katari'>彼の雑用は多岐にわたり──</span>,<span class='scene-font-katari'>于是他在船上兼任甲板清扫及其他多项杂务——</span>
61,ローアイン/罗艾因,ちょ、ターくん！<br>ワリ！　ゴボウ刻んでくんね！,喂，阿泰！<br>可以帮我切一下牛蒡吗？
62,タイアー,承知致しましたッッ！,了解！
63,エルセム/艾尔塞姆,ねぇねぇ、ターくん！<br>イモ運ぶの手伝ってくんね！,喂，阿泰！<br>帮我搬一下土豆！
64,タイアー,お任せくださいッ！,交给我吧！
