id,name,text,trans
0-chapter_name,,第5話 作戦会議はなによりも大事,第5话 最重要的是作战会议
0-synopsis,,一行は、シェロカルテが主動する化け物の討伐作戦の集まりに向かう。シェロカルテによると、討伐作戦にはある程度実力が必要なため、有名な実力派の騎空団に声を掛けたという。その時、丁度とある騎空団が現れ、その姿に銀時は驚愕するのだった。,一行人去往榭洛科特主办的怪物讨伐作战集会。据榭洛科特所说，因为讨伐作战需要一定实力，所以她喊来了有名的强大骑空团。这时恰好其中一个骑空团到了，银时看到来人十分吃惊。
10,,姬塔達は\nシェロカルテが指定した\n待ち合わせ場所に訪れる。,姬塔他们来到了榭洛科特指定的集合地点。
11,,姬塔一行はすぐさま、\n謎の化け物について弱点を\n共有した。,姬塔一行立刻告知了榭洛科特迷之怪物的弱点。
12,シェロカルテ/榭洛科特,ふむふむ～\n水が弱点なんですね～,嗯嗯~弱点是水啊~
13,ビィ/碧,ああ、万事屋の兄ちゃんが\n偶然だけど見つけてくれたんだ。,嗯，是万事屋的小哥偶然发现的。
14,シェロカルテ/榭洛科特,それはそれは～！\nとても大きな一歩ですよ～！\nありがとうございます～！,那可真是~！非常重要的一步呢~！\n谢谢你们~！
15,神楽/神乐,ふーん……,嗯……
16,シェロカルテ/榭洛科特,むむむ～？\nどうされましたか～？,嗯~？有什么事吗~？
17,神楽/神乐,オマエが\nこの世界のよろず屋アルか。\nふーん、ちんちくりんアルな。,你就是这个世界的万事屋吗阿鲁。\n嗯，真是个小矮子呢阿鲁。
18,坂田銀時/坂田银时,同業者がガキだったとはな。\nほんとにコイツが\n討伐作戦なんて仕切れんのか？,没想到我们的同行居然是个小鬼。\n这家伙真的能处理好讨伐作战吗？
19,ビィ/碧,おいおい、失礼なこと言うなよな。\nよろず屋の嬢ちゃんはな、確かに\n見た目は小さいけどしっかりしてんだ。,喂喂，别说那么冒犯的话啊。\n万事屋小姑娘虽然外表看上去很小但却很可靠。
20,ビィ/碧,オイラ達もそうだけど、\n色んな人達が\n助けられて来てんだよ。,不只是我们，她还帮助过很多人呢。
21,シェロカルテ/榭洛科特,うふふ～\n別に大丈夫ですよ～\nハーヴィンだけに慣れっこですから～,呵呵~\n没事的~\n身为哈文族我已经习惯了~
22,神楽/神乐,ふ～ん。\nでも、ほかに誰もいないネ。\nたくさん集まるんじゃなかったアルか？,哼~\n但是没有别的人了诶。\n不是聚集了很多人吗阿鲁。
23,ビィ/碧,ありゃ。\nまだオイラ達しかきてねぇのか？,哎呀。\n现在只有我们到了吗？
24,ルリア/露莉亚,他にも騎空団さんに\n声をかけていたんですよね？,是有叫其他骑空团来的吧？
25,シェロカルテ/榭洛科特,もちろんです～\nそろそろ集まる頃かと\n思いますよ～,当然了~\n我想他们应该差不多快到了~
26,ビィ/碧,どんな奴らに声かけたんだ？,你叫了些什么人啊？
27,シェロカルテ/榭洛科特,今回の討伐作戦では\nある程度実力がいるかと\n思いましたので～,我认为这次的作战需要一定的战斗力~
28,シェロカルテ/榭洛科特,有名な実力派の騎空団の方に\nお声がけしました～！,所以喊来了有名的强大骑空团的人~！
30,シェロカルテ/榭洛科特,お～１組目が来たみたいですよ～！,噢~第1组好像来了呢~！
32,シェロカルテ/榭洛科特,彼らはとある異教の神を崇める、\n信心深い者達の集い～！,他们是一群崇拜异教神明的虔诚信徒~！
33,ビィ/碧,大層な肩書きだな……\nいったいどんな奴らなんだ……？,好厉害的名号啊……\n到底会是什么样的人呢……？
34,坂田銀時/坂田银时,はァァァァ……！？\nお、お前は──……！！,哈啊啊啊啊……！？\n你，你是——！！
info,,,scene_evt211015_cp5_q1_s10
译者,,,凛
