id,name,text,trans
1,サイレンススズカ/无声铃鹿,これが……\n走艇ナイトサイファー……！,这就是……\n赛艇奈特赛法……！
2,,スカイレース用に整備された\n姬塔の走艇を見て、\nサイレンススズカ達は目を輝かせる。,无声铃鹿一行双眼放光地\n看着被整备成天空竞赛用的、\n姬塔的赛艇。
3,スペシャルウィーク/特别周,かっこいいなぁ……！\nこれに乗って空をびゅんびゅん\n駆け抜けるんですね！,好帅啊……！\n坐上这个在空中嗖嗖地\n跑过呢！
4,ビィ/碧,おうよ！\nオイラ達はコイツに乗って\nPSCって大会にも出たんだぜ！,おうよ！\n我们坐着这家伙\n参加过PSC大会噢！
5,ルリア/露莉亚,楽しかったですよね！\n特にラストスパートの時は、\n本当にギリギリの勝負になって……,非常开心呢！\n尤其是最后冲刺的时候、\n真的是极限的胜负呢……
5-sel1_txt,,ドキドキしたよね！,心脏扑通扑通地跳呢！
7,スペシャルウィーク/特别周,あ、それわかりますっ！\nゴール前って、きゅ～って集中して……\n風を切る音も聞こえなくなったりして！,啊、我懂那种感觉！\n在终点前、一下集中起来……\n变得连呼啸而过的风声都听不见了！
8,サイレンススズカ/无声铃鹿,そうね……\nスピードの向こう側の景色は、\nきっとスカイレースにもあるんだわ。,是呢……\n速度另一侧的景色、\n肯定天空竞赛也有。
9,サイレンススズカ/无声铃鹿,ねぇ、ナイトサイファーって、\nどれくらいの速度が出るのかしら？,喂、奈特赛法、\n能跑出怎么样的速度？
9-sel1_txt,,乗ってみる？,要坐坐看吗？
11,サイレンススズカ/无声铃鹿,えっ……！？\nい、いいの？　私が乗っても……,诶……！？\n可、可以吗？　我也可以坐吗……
12,ビィ/碧,レーシングスーツさえ着りゃ、\n姬塔の隣に座るくらい\n問題ないだろうぜ！,穿上赛车服、\n坐在姬塔的旁边\n还是没有问题的！
13,スペシャルウィーク/特别周,わぁ……！\n楽しみですね、スズカさん！,哇……！\n真期待呢、铃鹿！
14,サイレンススズカ/无声铃鹿,ええ……！\nどんな景色が見られるのかしら……！,是……！\n能看见怎样的景色呢……！
20,,その後、ナイトサイファーに\n乗ったふたりは、風すら追い越すような\n猛スピードに魅せられ──,那之后、坐上了奈特赛法的两人\n被仿佛连风都能超越的\n极快的速度迷住了──
26,,操縦する姬塔が\nヘトヘトになるまで、\n何度も何度も、空を駆けたのだった。,在操纵赛艇的姬塔\n精疲力尽为止、\n一次又一次地、在天空疾驰着。
info,,,scene_evt220208_cp17_q1_s10
译者,,,はとうまい
