id,name,text,trans
0,シルヴァ/席尔瓦,姬塔、<br>お誕生日おめでとう。<br>またお祝いを言えて嬉しいよ。,姬塔，<br>生日快乐。<br>真高兴还能再为你庆生。
1,シルヴァ/席尔瓦,姬塔とは<br>もう随分長く<br>一緒に旅を続けてきた。,已经和姬塔<br>一起旅行了<br>很长时间了。
2,シルヴァ/席尔瓦,昔から君はしっかりしていたけれど……<br>最近は本当に、団長として騎空士として<br>周囲に頼られる存在になったな。,从以前开始你就很靠得住……<br>但是最近，真的变成了让大家<br>都信赖的团长和骑空士。
3,シルヴァ/席尔瓦,今や大人も同然の姬塔には<br>明かせぬ胸の内も、<br>ひとりで抱える悩みもあるだろう。,也许现在已经和大人<br>没什么两样的姬塔的内心深处，<br>也有不能为他人所知的烦恼。
4,シルヴァ/席尔瓦,それら全てを、口にしろとは言わない。<br>言葉にしない自由も人にはあるものだ。<br>そして、だからこそ……,我不会让你，把这些都说出来。<br>避而不谈，也是人们的自由。<br>所以，正因如此……
5,シルヴァ/席尔瓦,君が考え込んだり悩んだりする余裕を<br>作るためにも、私は全力をもって<br>姬塔を守ろう。,为了让你有<br>烦恼的思考的空闲，我会竭尽所能<br>守护姬塔。
6,シルヴァ/席尔瓦,無理をしなければならない時も、<br>意地を張らなければならない時も、<br>君の背中を必ず守るよ。,在你必须拼命的时候，<br>在你必须孤注一掷的时候，<br>我都一定会是你的后盾。
7,シルヴァ/席尔瓦,また次も、それから先も<br>おめでとうと言うために……<br>それくらいのことは、させてほしい。,为了在下次，以及这之后的时间里<br>都能为你庆生……<br>希望你至少，让我做到这些事情。
info,,,scene_s5_birthday_3041_v2_0_2006_5_3040187000
译者,麻友桑的话筒,,
