id,en,jp,trans
0-chapter_name,,その威を示し、王たれと,王者，示其威也。
0-synopsis,,十天衆の誰より強いことを証明するため、他の十天衆に戦いを仕掛けるソーン。そんなソーンの前に、カトルが現れる。身内まで見境なく攻撃するソーンの蛮行に、カトルは激昂していた。暴走するソーンを止めるべく、カトルはソーンに襲い掛かる。,为了证明自己比十天众任何人都要强的索恩，向其他十天众发起了挑战。在这样的索恩面前，卡托尔出现了。面对索恩连自家人都攻击的野蛮行径，卡托尔表现得十分激动。为了阻止索恩的暴走，卡托尔向索恩攻了过来。
2,,ソーンさん、少し話を。,索恩，稍微听我几句话。
3,,あら、カトル。,啊啦，卡托尔。
4,,どうにも解せません。<br>あなたは今、その力を<br>何のために使っているんです？,我无论如何也无法理解，<br>你现在到底是为了什么<br>去使用自己的力量？
5,,あら、動機によっては<br>私がしている事に<br>理解を示してくれるの？,啊啦，就算你知道我的动机<br>你能够理解我所做的事情吗？
6,,……は？<br>何甘いこと抜かしてるんですか？<br>頭湧いてるんですか？,……哈？<br>你在说些什么天真的话呢？<br>脑袋进蛆了吗？
7,,今のあなたは……<br>ヤケになってスラムを荒らし回る<br>クソ虫共と変わりません。,现在的你和那群……<br>在贫民街上横行霸道的<br>粪虫混混没有什么区别。
8,,身内まで見境なく襲うゴミ虫の<br>落とし前をどうつけるか、<br>そのために聞いてるんです。,连自家人都不分的臭虫<br>在被击倒之前想被如何泡在水里，<br>我只是为了确认这个才想问你。
9,,そうね……<br>私に勝ったら教えてあげる。,也是啊……<br>如果你能赢了我的话就告诉你。
13,,ハッ……せいぜい後悔してください。<br>連中がどう裁くか知りませんが、<br>少なくとも僕は容赦しません。,哼……请尽情的后悔去吧。<br>其他人会怎么惩罚你我不知道，<br>但是至少我是绝对不会手下留情的。
14,,大人しく捕まるか……<br><span class='scene-font-4'>さもなきゃここで死ね！</span>,老老实实束手就擒……<br><span class='scene-font-4'>要不然就给我死在这里！</span>
info,,1,scene_ult_chr129_q4_3_s10
