id,name,text,trans
0-chapter_name,,全ては祖国の為に,一切为了祖国
0-synopsis,,一行が山小屋に移動した後、マイムは、ガリア卿によってとある噂が国内で急激に広まり、過激派の民衆が決起したと話す。それはユリウスが先王を殺害し、その事実を隠す為にアルベールがカバーストーリーを流布させたという噂であった。事実が明るみに出てしまったことを悔いながらも、解決策を探るアルベールとユリウス。しかし折り悪く、頭痛がユリウスを襲うのだった。,一行人转移到山上的小屋后，麦姆诉说起来。由于高卢勋爵在国内广泛传播的一个谣言，激起了过激派民众的起义。传言说尤里乌斯杀害了先王，阿尔贝尔散布了虚假的故事进行掩盖。阿尔贝尔和尤里乌斯对事实被揭发一事而懊悔，思考起对策来。但是，不巧尤里乌斯又开始头痛了。
1,,<span class='scene-font-katari'>山中で待ち伏せしていたマイムは、</span><br><span class='scene-font-katari'>周囲を警戒しながらアルベールと</span><br><span class='scene-font-katari'>ユリウスを山小屋に案内する。</span>,在山中隐蔽的麦姆一边警戒着四周，一边把阿尔贝尔和尤里乌斯带往山上的小屋。
2,マイム/麦姆,外交の帰りだというのに、<br>このような場所しかなく<br>申し訳ございません。,十分抱歉，你们明明还在外交的归途中，却只有这样的地方可以待。
3,アルベール/阿尔贝尔,そんなことよりも……<br>話を聞かせてくれないか？,不提这个，你要说的话是？
4,マイム/麦姆,……はい。,是。
5,,<span class='scene-font-katari'>マイムは悔しそうに</span><br><span class='scene-font-katari'>唇を噛みしめながら、</span><br><span class='scene-font-katari'>アルベールとユリウスの前に跪く。</span>,麦姆懊悔地咬住了嘴唇，跪在阿尔贝尔和尤里乌斯面前。
6,マイム/麦姆,……レヴィオン国内で<br>由々しき事態が起きております。,雷维昂国内发生了严重的事态。
7,マイム/麦姆,ユリウス様が<br>先王を殺害したという噂が……<br>国内全土に急激に広まったのです。,尤里乌斯杀害先王的传言在全国范围内急剧扩散。
8,アルベール/阿尔贝尔,…………！,…………！
9,ユリウス/尤里乌斯,フン、事実というものはいつか<br>明るみにでるものだからね。<br>致し方ないことだ。,呼，事实总有一天会被揭露，这也是没办法的事。
10,マイム/麦姆,……それだけではありません。,不止如此。
11,マイム/麦姆,その事実を隠す為に、<br>団長がカバーストーリーを<br>流布させた事も一緒に……,为了隐藏这一事实，团长散布了掩盖事实的故事也一并被揭露……
12,アルベール/阿尔贝尔,そうか……,这样啊……
13,ユリウス/尤里乌斯,すまない。<br>親友殿を<br>巻き込んでしまったようだね。,对不起，把我的挚友也卷了进来。
14,アルベール/阿尔贝尔,いや、確かに驚きはしたが……<br>そんなに気に病むことじゃないだろう？,不，虽然我确实被这个消息吓了一跳，但是没什么好担心的，对吧？
15,アルベール/阿尔贝尔,レヴィオンの為に尽力し続ける<br>俺達の姿を見れば、そんな噂話なんか<br>すぐに忘れ去られるはずだ。,他们看到为雷维昂如此尽心尽力的我们，那些传言很快就会被遗忘了。
16,マイム/麦姆,いえ……<br>そう簡単な話ではないのです。,不……事情没那么简单。
17,ユリウス/尤里乌斯,でなければ、こんな山中で<br>待ち伏せなどするはずがない、か……,不然的话，你怎么会在这种山里面潜伏着，是吧。
18,,<span class='scene-font-katari'>マイムは悲しげな表情を見せ、俯いた。</span>,麦姆露出悲伤的表情，低下了头。
19,マイム/麦姆,私が調査したところ……<br>今回の件……,根据我的调查，这次的事件……
20,マイム/麦姆,団長とユリウス様が諸国を<br>まわっていた間に、諸侯達によって<br>計画されたものと思われます。,我认为这是诸侯们在团长和尤里乌斯大人巡游各国期间策划的。
21,マイム/麦姆,その中で陣頭指揮をとり、<br>国内全土に噂を流布したのが……,其中打头阵向全国散布谣言的就是……
24,マイム/麦姆,有力諸侯のひとり、ガリア卿。,有权有势的诸侯之一，高卢卿。
29,アルベール/阿尔贝尔,…………,…………
30,ユリウス/尤里乌斯,ガリア卿とは以前、観光地開拓の件で<br>和解したが……私達のことを<br>よく思っていないことは明白。,高卢卿之前在开发观光地的事上与我们和解了，我们也没有深究。
31,,<span class='scene-font-katari'>アルベールとユリウスは以前、</span><br><span class='scene-font-katari'>温泉娯楽施設の投資に関して、</span><br><span class='scene-font-katari'>ガリア卿と対立した。</span>,阿尔贝尔和尤里乌斯以前就因为温泉娱乐设施投资的事和高卢卿起了冲突。
32,,<span class='scene-font-katari'>だが、ガリア卿の私兵・ガリア隊による</span><br><span class='scene-font-katari'>妨害工作を跳ね除け、</span><br><span class='scene-font-katari'>事なきを得たのだが──</span>,但是，躲过高卢卿的私兵的妨碍后，暂时没发生什么大事。
35,アルベール/阿尔贝尔,…………,…………
36,ユリウス/尤里乌斯,あの時は和解したが……<br>私達のことを<br>よく思っていないことは明白。,当时虽然和解了，但很明显他们仍心存芥蒂。
37,ユリウス/尤里乌斯,マイム君の見立ては<br>間違っていないだろうね。,麦姆的判断确实很对。
38,マイム/麦姆,その後、噂を受けて決起した<br>過激派の民衆が、半ば暴徒化して<br>城下町へと押し寄せてきました。,那之后，被传言激起的民众像暴徒似的向城外涌来。
39,マイム/麦姆,彼らは……先王殺しの反逆者として、<br>団長とユリウス様を<br>断罪すべきと声を上げています。,他们喊着要对杀害先王的反叛者——团长和尤里乌斯大人予以制裁。
40,マイム/麦姆,このまま帰国しては、<br>おふたりの身に危険が……,就这样回国的话，二位可能会遇到危险……
41,アルベール/阿尔贝尔,くそっ……！<br>甘く考えすぎていたか……,可恶！是我们想的太简单了吗！
42,ユリウス/尤里乌斯,落ち着け、親友殿。<br>相手がわかれば、<br>成すべきことも見えよう。,冷静一下，我的挚友。既然知道对手是谁，就该想想我们能做什么。
43,アルベール/阿尔贝尔,ああ、まずは……<br>ガリア卿と話すべきだな。,啊啊，首先……应该和高卢卿谈谈吧。
47,,<span class='scene-font-katari'>アルベールがそう決意したその時、</span><br><span class='scene-font-katari'>ユリウスはこめかみを押さえ、</span><br><span class='scene-font-katari'>苦悶の表情を見せる。</span>,正在阿尔贝尔做出这番决定的时候，尤里乌斯按住太阳穴，露出痛苦的表情。
48,ユリウス/尤里乌斯,ぐぅっ……！,唔……！
49,アルベール/阿尔贝尔,っ！？<br>ユリウス！？,！？<br>尤里乌斯！？
50,マイム/麦姆,ユリウス様！？,尤里乌斯大人！？
51,ユリウス/尤里乌斯,はぁ……はぁ……,哈……哈……
52,ユリウス/尤里乌斯,……そんな顔をするな。<br>じき治まる……,……别露出那种表情，很快就会恢复了……
53,アルベール/阿尔贝尔,そうか……,是吗……
54,,<span class='scene-font-katari'>ユリウスの症状が徐々に</span><br><span class='scene-font-katari'>治まっていくのを見て、</span><br><span class='scene-font-katari'>アルベールはゆっくりと口を開く。</span>,看到尤里乌斯的症状逐渐平息，阿尔贝尔缓缓开口。
55,アルベール/阿尔贝尔,親友殿が話してくれるのを待っていた。<br>だが……いまはもう、その時ではない。,我会等你亲口告诉我，但现在不是时候。
56,アルベール/阿尔贝尔,お前が背負っているものを<br>俺にもわけてくれないか？,让我也分担些你所背负的东西好吗？
57,ユリウス/尤里乌斯,…………,…………
58,,<span class='scene-font-katari'>真剣な表情で迫るアルベールに</span><br><span class='scene-font-katari'>ユリウスは折れ、</span><br><span class='scene-font-katari'>降参だとばかりに軽く両手をあげる。</span>,屈服于阿尔贝尔认真的表情，尤里乌斯投降般轻轻举起双手。
