id,name,text,trans
0-chapter_name,,新たな誓いと、これから,新的誓言，从现在起！
0-synopsis,,錬成した<span class='scene-font-spword'>「フィギュア」</span>の悉くを<span class='scene-font-spword'>「存在崩壊」</span>の力で破壊され、敗北を認めるハロルドとプロメティア。そしてクラリスは新たな当主と相成った。その事実に喜ぶクラリスと、珍しく素直にほめるカリオストロ。その後、クラリスは新たな当主として「開祖を狙わないし、討たない！」と宣言、家の方針を変えることに成功するのであった。,哈罗德和普罗米蒂亚被“存在崩坏”的力量摧毁了所有炼成的“人偶”，并承认失败。然后克拉莉丝成为新的家主。克拉莉丝对这个事实感到高兴，卡莉奥斯特萝罕见地直言不讳地称赞她。后来，克拉莉丝成功地改变了家庭的政策，宣布他们不会狙击或讨伐始祖。
14,,クラリスの使う「存在崩壊」の力の前に\nフィギュア達はなすすべもなく\n消滅していく。,在克拉莉丝使用的\n“存在崩坏”的力量面前，\n人偶们无可奈何地消失了。"
15,クラリス/克拉莉丝,これでうちの勝ちだよっ！\nお父様っ！　お母様っ！,这下小女赢了！\n爸爸！妈妈！
16,プロメティア/普洛美缇娅,私達の完敗……ですね。,我们的完败……呢。
17,ハロルド/哈罗德,ああ……\nまさか、ここまでとはな……,啊……没想到会这样……
18,プロメティア/普洛美缇娅,……クラリス。,……克拉莉丝。
19,クラリス/克拉莉丝,なに、お母様。,什么，妈妈。
20,プロメティア/普洛美缇娅,現当主である私は、\n貴方を新たな当主として認めましょう。,作为现任家主，\n我承认你是新的主人。
21,クラリス/克拉莉丝,それって……,那是……
22,プロメティア/普洛美缇娅,今、この時をもって、\n我が家の当主は貴方になった……\nそういうことです。,现在，从此刻起，\n我们家的主人就是你了……\n就是这么回事。
23,クラリス/克拉莉丝,やったーっ！,太好了！
25,,喜びの雄たけびをあげると同時に\nクラリスは地面へと\nへたり込んでいく。,在欢乐的呐喊声中，\n克拉莉丝瘫倒在地。
26,プロメティア/普洛美缇娅,……クラリス。\n本当に強くなりましたね。,……克拉莉丝……\n你真的变强了。
27,ハロルド/哈罗德,クラリス、よく頑張ったな。,克拉莉丝，\n你做得很好。
28,,そういうとプロメティアとハロルドは\nクラリスの頭に手を伸ばし、\n優しく撫でていく。,说着，普罗米蒂亚和哈罗德伸出手，\n温柔地抚摸着克拉莉丝的脑袋。
