id,name,text,trans
0-chapter_name,,厳しくも優しき世界,厳しくも優しき世界
0-synopsis,,老女は暗示と幻覚作用を持つ毒を用いて村民に溶け込んでいた。その手口の陰湿さに嘆息するカヲルとルシウス。一方でルシウスはカヲルに対しても独断での行動に憤っていた。この空の世界は過酷であり、危険と隣り合わせだという真摯な言葉にうなずくカヲル。その様子を見てルシウスはひとまず納得し、旅の続きに戻るカヲルを見送るのだった。,老妇用具有暗示和致幻作用的毒药融入村民当中。薰和卢修斯对她的阴险手段感到叹息。一方面，卢修斯对薰擅自行动感到愤怒。薰点头接受了他关于这片天空充满严酷和危险的告诫。看到薰的态度，卢修斯暂时接受了，目送他继续踏上旅程。
1,,夜の森での大立ち回りの翌日、\nルシウスとカヲルは村に戻り、\n後始末を行っていた。,在夜晚的森林里交锋的第二天，\n卢修斯和薰回到村子里进行善后工作。
2,カヲル,あ、ルシウス君。\n村の人達の様子は？,啊，卢修斯君。\n村民们怎么样了？
3,ルシウス/卢修斯,妹の見よう見まねの魔法だが、\n一応、暗示は解けたようだ。\n皆、あのババアには仰天していた。,虽然是模仿我妹妹的魔法，\n但暗示似乎已经解开了。\n大家都对那个老太婆的事感到惊讶。
4,カヲル,まさか村の人達全員にスープと魔法で\n暗示をかけて村に溶け込んで\nいたなんてね……,没想到她居然用汤和魔法\n给所有人施加暗示，\n然后融入了村子……
5,カヲル,人が少ないからって全員をわざわざ\n洗脳するなんて、\nよくあることなのかい？,因为人少就特意\n给全村人洗脑，\n这种事很常见吗？
6,ルシウス/卢修斯,あまり聞かん話ではあるが……\n露見していないだけかもしれんな。,虽然很少听说……\n但可能只是没被发现而已。
7,カヲル,ああ、そうか……\n暗示が解けない限り、自力で\n何が起きたかは気付けないんだ。,啊，这样啊……\n只要暗示没有解除，\n他们自己就察觉不到发生了什么。
8,ルシウス/卢修斯,そうだ。もしかするとこういう手口が\n裏社会ではびこっているのかもな。,是啊。说不定这种手段\n在暗地里相当猖獗。
9,ルシウス/卢修斯,ま、それを追究するのは、\n俺や姬塔ではなく、\n秩序の騎空団あたりの仕事だが……,不过，追究这个不是我和姬塔的职责，\n而是秩序骑空团的工作……
10,カヲル,……そんな恐ろしいことを、\nあんなおばあさんが\n企てていたなんてね。,……这么可怕的事情，\n居然是那样的老婆婆策划的呢。
11,ルシウス/卢修斯,ろくでもない奴はどこにでもいるし、\n年恰好も関係ない。奴らは常に\n獲物に目を光らせている。,人渣到处都有，\n跟年龄无关。\n他们总是对猎物虎视眈眈。
12,ルシウス/卢修斯,俺達がやってくるのがもう少し\n遅ければ、子供ごと雲隠れされて\nいただろう、ここは運がよかった。,如果我们来得再晚些，\n恐怕她和孩子们都会消失得无影无踪。\n这次算是运气好。
13,ルシウス/卢修斯,……まあ、運がいいのは、\nお前にも言えることだがな。\n一歩間違えれば連れ去られていた。,……不过，说到运气好，\n对你来说也一样。\n要是稍有偏差就被带走了。
14,カヲル,そのことに関しては、\n申し訳ないと思っているよ。\nルシウス君に相談するべきだった。,关于这件事，我很抱歉。\n应该先和卢修斯君商量的。
15,ルシウス/卢修斯,全くだ。\n俺が間に合ったからよかったものを、\nもしお前に魔法が直撃していたら……,真是的。\n幸好我及时赶到，\n要是那魔法直接击中你的话……
16,ルシウス/卢修斯,エヴァンゲリオンとやらの力は\n相当なものなのだろうが、降りたお前は\n所詮ただの人間であることを忘れるな。,那个什么EVANGELION\n的力量或许很强大，\n但别忘了离开驾驶舱的你终究只是普通人。
17,カヲル,……そうだね、君の言う通りだ。\n人間は脆いものだからね。,……是啊，你说得对。\n人类确实很脆弱呢。
18,ルシウス/卢修斯,……わかっているならいい。\nそれに、今回は相手がその人間で、\n幸運だったとも言える。,……你明白就好。\n而且这次对手是人类，\n也算是不幸中的万幸。
19,ルシウス/卢修斯,この空には有無を言わさず人に\n害を与える魔物や星晶獣もいる。\n奴らに人の理は通じん。,这片天空存在着不由分说\n伤害他人的魔物和星晶兽。\n跟它们讲不通道理。
20,ルシウス/卢修斯,お前のいたところがどうかは知らんが、\nこの空は、弱いものに優しくはないぞ。,不知道你来自怎样的世界，\n但这片天空对弱者并不友善。
21,カヲル,それは……今回のことで、\nよくわかったよ。,这一点……通过这次经历，\n我已经深刻体会到了。
22,カヲル,でも、艇に来い、だとかは\n言わないんだね。,不过你并没有说\n跟我回艇上这种话呢。
23,ルシウス/卢修斯,俺はお前の父親じゃない。\nそこまで束縛する義務も、権利もない。,我又不是你的父亲。\n既没有约束你的义务，也没有这个权利。
24,ルシウス/卢修斯,それに……俺も長らく、\n艇を離れていた時期があったからな。\nあまり人のことは言えん。,而且……我也曾经\n很长一段时间不在艇上。\n没什么资格说别人。
25,カヲル,ルシウス君も\n世界が見たかったのかい？,卢修斯君也曾经\n想看看这个世界吗？
26,ルシウス/卢修斯,いや……ただの復讐だ。\n家族の仇を探していたんだ、ずっとな。,不……只是为了复仇。\n我一直在寻找杀害家人的仇人。
27,ルシウス/卢修斯,……まあ、それと比べれば、\nカヲルの世界を見て回りたい、\nという目的はマシだ。,……嘛，比起这个，\n薰想要环游世界的目的要强得多。
28,ルシウス/卢修斯,ただ、危険に首を突っ込まない、\nという条件付きでな。,不过，前提是不要主动冒险。
29,ルシウス/卢修斯,その時は\n姬塔に連絡を取るなり\n周りの人間を頼れ。,到时候\n记得联系姬塔，\n或者依靠身边的人。
30,ルシウス/卢修斯,この空にはろくでもない連中も多いが、\n負けない程度にはお人好しもいる。,这片天空虽然有很多人渣，\n但也有不输给他们的好人。
31,カヲル,周りを頼る、か……\nルシウス君のような人と会えたら\nそれはすごく喜ばしいことだしね。,依靠身边的人，吗……\n如果能遇到卢修斯君这样的人\n那确实是件值得高兴的事呢。
32,ルシウス/卢修斯,そもそも首を突っ込むな、\nというのは大前提だが……,说到底，大前提是不多管闲事……
33,ルシウス/卢修斯,……まあ、今回の事件をスムーズに\n解決できたのはお前の力に\nよるところが大きかった。,……不过，这次事件能顺利解决，\n很大程度要归功于你的能力。
34,ルシウス/卢修斯,俺単独では、あのババアは早々に\n警戒を強めて退散していただろう。,如果只有我一个人，\n那个老太婆恐怕早就\n提高警惕提前逃走了。
35,ルシウス/卢修斯,奴をここで捕らえられたのは、\nお前の度胸や機転があってこそだ。\nその点は掛け値なしに評価できる。,能在这里抓住她，\n全靠你的胆量和机智。\n这点值得充分肯定。
