id,name,text,trans
0-chapter_name,,全ては祖国の為に,一切为了祖国
0-synopsis,,隣国で開催されていた諸国との会談に、レヴィオン王国の代表として出席していたアルベールとユリウス。長きに渡る会談を終えたアルベールとユリウスは、新王に一刻も早く吉報を届ける為、月明かりの中、レヴィオンに向かって山野を駆ける。アルベールとユリウスがレヴィオンの領地に差し掛かったその時、山中で待ち伏せしていたマイムが現れ、急報を告げるのだった。,阿尔贝尔和尤里乌斯作为雷维昂的代表出席了在邻国举办的诸国会谈。结束会谈后，他们为了能尽早把好消息告诉新王，趁着月色在山中向雷维昂赶路。就在阿尔贝尔和尤里乌斯进入雷维昂领地的时候，在山中藏匿着的麦姆出现，并向他们发出急报。
2,,『星の零涙』に封じられていた\n星晶獣の力に呑まれ、\nレヴィオン王家に背いたユリウス。,被星之零泪封印的星晶兽的力量所吞噬，<br>背叛了雷维昂王室的尤里乌斯。
7,,アルベールはそんな彼を追い求め、\n旅を続けていた。,阿尔贝尔追寻着这样的他，持续着旅程。
8,,だがある日、\nレヴィオン騎士団・団長代理の\nマイムから急報を受ける。,但是有一天，<br>雷维昂骑士团团长代理·麦姆发来了急报。
9,マイム/麦姆,一刻も早く、お戻りを……！\n今、レヴィオン王国は、\n存亡の淵に立たされております……！,请尽快返回……！<br>现在雷维昂王国正处于存亡边缘……！
14,,解決に向けて動き出したアルベール達は\nサントレザン城内でユリウスの残影と\n出会い、知ることとなる。,为了解决这个问题而去往雷维昂的阿尔贝尔他们，<br>在圣莱森城内见到了尤里乌斯的残象。从而得知了真相。
15,,ユリウスの真意。\nそして、レヴィオン王がユリウスを\n謀殺しようとしていたという、真実を。,尤里乌斯的真意，<br>以及雷维昂王想要谋杀尤里乌斯的真相。
20,,アルベールと姬塔一行は、\nその後、領内の上空で災厄を\n振り撒いていた『星の眼』を撃破。,在这之后，阿尔贝尔和姬塔一行击破了<br>在雷维昂领土上空散布着灾厄的“星之眼”。
21,,そしてついに、\n星晶獣に寄生され異形の者と化した\nユリウスと対峙した。,最终，他们对峙了被星晶兽寄生<br>而变成异形的尤里乌斯。
22,,こうしてユリウスは正気を取り戻し、\nルリアの力によって\nもとの肉体に戻るのだった。,就这样，尤里乌斯恢复了理智，<br>在露莉亚力量的帮助下恢复了原来的身体。
26,,事件解決後、\nアルベールは国民に対し──,事件解决后，<br>阿尔贝尔对民众宣称——
27,,「先王は星の眼による事故死であり、\nユリウスは後処理に\n当たっていただけで潔白である」,“先王是由于星之眼意外死亡，<br>尤里乌斯只是负责善后，他是无辜的。”
28,,──という、\nカバーストーリーを流布した。,——就这样，这个掩饰了部分真相的故事散布了出去。
29,,お陰でユリウスは国民に受け容れられ、\n復興を推進する対策本部・室長に\n任命されることとなった。,于是尤里乌斯便被国民所接受，<br>并被任命为复兴祖国对策本部的室长。
30,,こうして彼らは国民の支持を背景に、\n有力諸侯がひしめく議会でも\n中心となり、復興を推し進めていく。,<span class='scene-font-katari'>就这样，在公众支持下，</span><br><span class='scene-font-katari'>他们在诸侯云集的议会成为中心，推动复兴。
35,アルベール/阿尔贝尔,さすがは親友殿。\n商売上手と言ったところか。,不愧是我的亲友，<br>非常擅长做生意呢。
36,ユリウス/尤里乌斯,せっかく諸国と友好関係を結んだんだ。\nレヴィオンの名産を\n売り込まない手はないだろう？,好不容易和各国建立了友好关系，<br>怎么能不推销雷维昂的名产呢？
37,,隣国で開催されていた諸国との会談に、\nレヴィオン王国の代表として\n出席していたアルベールとユリウス。,<span class='scene-font-katari'>阿尔贝尔和尤里乌斯作为雷维昂的代表</span><br><span class='scene-font-katari'>出席了邻国举办的各国会谈。</span>
38,,彼らはその合間にも、レヴィオンが\n誇る温泉地への投資やぶどう酒の\n商談も行い、成果を得ていた。,<span class='scene-font-katari'>他们在这段时间里</span><br><span class='scene-font-katari'>以雷维昂自豪的温泉投资和葡萄酒进行商谈，</span><br><span class='scene-font-katari'>并取得了成果。</span>
39,アルベール/阿尔贝尔,長きに渡った会談もこれで終わりだ。\nさて、レヴィオンに帰るとするか。,漫长的会谈终于结束了，<br>我们回雷维昂吧。
40,ユリウス/尤里乌斯,こんな夜更けに発つつもりかい？,你打算这么晚还赶路吗？
41,アルベール/阿尔贝尔,新王に一刻も早く、\n吉報を届けたいじゃないか。,你不想尽快给新王带来好消息吗？
42,ユリウス/尤里乌斯,雷迅卿殿は\n相変わらず仕事熱心だね。,雷迅卿大人还是那么热心工作啊。
43,アルベール/阿尔贝尔,それはお互い様だろう？,这一点你也一样，不是吗？
44,アルベール/阿尔贝尔,今回の会談も最初は\nどうなるかと思ったが杞憂に終わった。\n全ては親友殿のお陰だ。,我在会谈的开始时的担心全部烟消云散了，<br>能有这样的成果全都多亏了你。
